answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,2.6357765000138897,1155,1.0,347
A,A,True,2.4007527999929152,1205,1.0,335
D,D,True,1.609201099985512,1010,1.0,181
C,C,True,2.261384999990696,1121,1.0,255
A,A,True,6.053898200014373,1756,1.0,951
D,D,True,1.482167300011497,970,1.0,166
B,B,True,1.531501199991908,975,1.0,197
C,C,True,2.5189610000234097,1141,1.0,344
A,A,True,2.5542474999965634,1135,1.0,316
B,B,True,2.7565495999879204,1145,1.0,341
D,D,True,1.73906680001528,1045,1.0,209
D,D,True,300.4363983000221,63692,,62911
A,A,True,3.2979625999869313,1263,1.0,425
B,B,True,3.004006399976788,1210,1.0,410
D,D,True,1.9833757000160404,1066,1.0,239
B,B,True,1.700926999998046,983,1.0,184
D,D,True,2.7635549000115134,1174,1.0,364
A,A,True,18.031309000012698,3827,1.0,2977
C,C,True,2.6056996999832336,1220,1.0,383
B,B,True,2.5732000000134576,1163,1.0,310
D,D,True,4.095162999990862,1543,1.0,638
A,A,True,6.642935799987754,1708,1.0,933
D,D,True,3.328638500010129,1366,1.0,443
D,D,True,4.795843800005969,1707,1.0,779
C,C,True,2.6037229000066873,1166,1.0,327
D,D,True,3.9302016000146978,1339,1.0,506
A,A,True,8.587448300007964,2292,1.0,1418
B,B,True,5.022013399982825,1645,1.0,707
C,C,True,13.575056400004542,2921,1.0,2126
B,B,True,2.918112299987115,1165,1.0,376
B,B,True,4.0292966999986675,1443,1.0,592
B,B,True,9.042895000020508,2146,1.0,1308
D,D,True,3.758093899989035,1459,1.0,594
C,C,True,3.3201718000054825,1341,1.0,471
A,A,True,3.0229032000061125,1291,1.0,409
B,B,True,4.781709400005639,1646,,725
C,C,True,3.07675229999586,1331,1.0,423
C,C,True,13.832849600003101,2900,1.0,2070
C,C,True,3.556079999980284,1453,1.0,523
B,B,True,3.505048099992564,1382,1.0,500
D,D,True,4.361855099996319,1772,1.0,634
C,C,True,286.358628099988,63727,,62912
B,B,True,3.102823499997612,1231,,424
C,C,True,3.0766450999944936,1309,1.0,438
B,B,True,3.4566956000053324,1430,1.0,516
C,C,True,3.242282499995781,1282,1.0,435
C,C,True,3.429877899994608,1389,1.0,506
C,B,True,41.70591009999043,7964,1.0,7077
A,A,True,3.7436338999832515,1287,1.0,515
C,C,True,30.17217000000528,5681,1.0,4904
C,C,True,2.844043099990813,1204,1.0,418
A,A,True,3.7481128000072204,1377,1.0,539
C,C,True,1.9163845000148285,1103,,235
B,B,True,2.4583340999961365,1194,1.0,326
C,C,True,2.983065100008389,1309,1.0,477
C,C,True,26.01779689997784,4939,1.0,4058
B,B,True,48.94341439998243,9630,1.0,8706
C,C,True,2.716251400008332,1156,1.0,330
A,A,True,3.530836799996905,1268,1.0,473
A,A,True,12.227668200008338,2827,1.0,1979
D,D,True,3.0744161999900825,1217,1.0,418
D,D,True,4.493116900004679,1522,1.0,678
C,C,True,9.113114100007806,2219,1.0,1390
C,C,True,2.670725699979812,1272,1.0,397
B,B,True,1.7270936999993864,1015,1.0,194
B,B,True,11.508687299996382,2654,1.0,1807
A,A,True,6.062250799994217,1896,1.0,955
B,B,True,16.750876200007042,3578,1.0,2783
B,B,True,3.7006092999945395,1394,1.0,456
C,C,True,4.091222499992,1444,1.0,563
C,C,True,3.670994099986274,1421,1.0,515
B,B,True,45.39832139998907,8912,,8017
C,C,True,7.066501399996923,1915,1.0,1052
B,B,True,9.496884299995145,2478,1.0,1535
C,C,True,5.685320000018692,1825,1.0,904
C,C,True,6.035676200001035,1854,1.0,977
D,D,True,3.6634368000086397,1322,1.0,504
D,D,True,2.548019400011981,1209,1.0,348
C,C,True,9.005761100008385,2322,1.0,1396
A,A,True,12.591029799979879,3024,1.0,2202
A,A,True,9.383915100013837,2340,1.0,1459
D,D,True,29.938767099985853,5748,1.0,4831
D,A,True,14.975172599981306,3084,1.0,2280
A,A,True,8.272397399996407,2113,1.0,1211
C,C,True,1.8553291000134777,976,1.0,189
C,C,True,3.3382534999982454,1270,1.0,451
C,C,True,4.112548600009177,1515,1.0,630
D,D,True,9.286866699985694,2333,1.0,1504
B,B,True,2.1279869999852963,1100,1.0,279
C,C,True,2.7660608000005595,1338,1.0,394
C,C,True,3.7243882000038866,1404,1.0,530
B,B,True,20.38324759999523,4196,1.0,3187
D,D,True,4.3258751000103075,1680,1.0,665
A,A,True,11.823983999987831,2636,,1835
D,A,True,30.243244700017385,6318,1.0,5414
D,C,True,16.267448700004024,3500,1.0,2704
D,D,True,5.256584999995539,1634,,785
B,B,True,19.969651599996723,4052,1.0,3104
D,B,True,290.6133020000125,63777,,62911
B,B,True,2.347209599975031,1128,1.0,303
A,A,True,296.8656856000016,63789,1.0,62913
A,A,True,3.393751199997496,1421,1.0,528
A,A,True,2.913499399990542,1310,1.0,386
C,C,True,2.6264626999909524,1167,1.0,334
B,B,True,3.7936195000074804,1431,1.0,562
B,B,True,11.756452200002968,2769,1.0,1917
A,A,True,3.5831678999820724,1367,1.0,514
D,D,True,284.30469409999205,63814,,62912
D,B,True,291.3008692000003,63851,,62911
A,A,True,4.13039109998499,1471,1.0,652
B,B,True,5.399009400018258,1737,1.0,908
B,B,True,3.917693199997302,1429,1.0,593
A,A,True,4.066071499983082,1452,1.0,561
B,B,True,3.419766900013201,1315,1.0,464
D,C,True,12.375175399996806,2872,,1988
C,C,True,6.03469950001454,1830,1.0,900
B,B,True,3.7898167000093963,1462,1.0,579
B,D,True,9.129571400000714,2391,1.0,1487
B,B,True,2.7920576999895275,1139,1.0,351
C,C,True,3.5427166000008583,1441,1.0,551
C,C,True,10.95493050001096,2488,1.0,1668
D,A,True,10.693153000000166,2618,1.0,1772
B,B,True,2.384834700002102,1180,1.0,329
