answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,1.0635016998276114,817,2,
A,A,True,1.171519799856469,879,2,
D,"
D",True,1.3837188999168575,839,3,
C,"
C
",True,0.9851867000106722,876,4,
A,A,True,0.7099744998849928,814,2,
D,"
D",True,3.2091461999807507,814,3,0.0
B,"B
",True,1.2121506000403315,788,3,
C,"
C",True,1.5166391001548618,807,3,0.0
A,A,True,1.7351051000878215,828,2,
B,B,True,1.3360576999839395,813,2,
D,"
D",True,1.12613769993186,846,3,
D,"
D",True,0.9477278001140803,791,3,
A,A,True,0.8985536000691354,847,2,
B,"B
",True,0.47680329997092485,810,3,
D,D,True,0.43350569996982813,836,2,
B,"B
",True,0.48827490000985563,809,3,
D,"
D",True,1.2604545000940561,820,3,
A,D,True,0.9224591001402587,859,2,
C,"
C",True,1.0374690000899136,846,3,
B,B,True,0.555069699883461,862,2,
D,"
B",True,1.1294464999809861,915,3,
A,A,True,2.0453461001161486,784,2,
D,"
B",True,1.2896088999696076,933,3,
D,A,True,3.509780699852854,937,2,
C,"
C",True,1.4783402001485229,849,3,0.0
D,"
D",True,3.1077741999179125,843,3,0.0
A,B,True,0.6387285999953747,883,2,
B,"
B",True,2.0335803001653403,948,3,
C,C,True,0.5936777000315487,804,2,
B,"
B",True,2.0323726998176426,799,3,0.0
B,"
B",True,1.1663589000236243,861,3,
B,"
B",True,2.0739849999081343,848,3,0.0
D,"
D",True,1.684083400061354,875,3,0.0
C,"
A",True,2.2598546999506652,880,3,0.0
A,A,True,0.8862840000074357,891,2,
B,"
B",True,1.067908599972725,932,3,
C,"
C",True,1.0484196001198143,918,3,
C,"
D",True,3.165395900141448,840,3,0.0
C,"
C",True,1.8158587999641895,940,3,0.0
B,"
B",True,1.7066873000003397,892,3,0.0
D,D,True,0.4787223001476377,1147,2,
C,C,True,0.471354000037536,825,2,
B,B,True,0.49680829979479313,817,2,
C,"
D",True,0.749409600161016,880,3,
B,B,True,1.174327600048855,923,2,
C,"C
",True,1.7477256001438946,857,3,
C,"
C",True,1.869506300194189,892,3,
C,"
B",True,0.8068609000183642,896,3,
A,"
A",True,3.6838142999913543,782,3,0.0
C,C,True,0.567320599919185,786,2,
C,"
B",True,1.8200748998206109,796,3,0.0
A,A,True,1.2948708001058549,847,2,
C,"
C",True,0.9162876999471337,878,3,
B,"
B",True,1.1505712000653148,878,3,
C,"
C",True,2.4550922999624163,842,3,0.0
C,"
A",True,1.7076433000620455,891,3,
B,"
B",True,0.7971332999877632,933,3,
C,B,True,0.6983076999895275,835,2,
A,"
B",True,1.076345699839294,805,3,
A,"A
",True,0.5550514000933617,858,3,
D,C,True,1.109203499974683,808,2,
D,"D
",True,0.9357022999320179,854,3,
C,"B
",True,0.905960800126195,839,3,
C,"
C",True,6.213224800070748,885,3,0.0
B,B,True,0.4867573999799788,830,2,
B,"
B",True,1.8621076000854373,857,3,0.0
A,A,True,1.2892025001347065,950,2,
B,"
D",True,8.894831100013107,805,3,0.0
B,"
B",True,1.8473060000687838,948,3,0.0
C,C,True,0.9141063001006842,890,2,
C,"
B",True,2.10726339998655,916,3,0.0
B,"
A",True,3.4885497998911887,906,3,0.0
C,"
C",True,2.057101899990812,873,3,0.0
B,B,True,0.9255090998485684,952,2,
C,C,True,0.46111799986101687,930,2,
C,"
C",True,3.3298859000205994,887,3,0.0
D,D,True,0.8983828001655638,827,2,
D,D,True,0.8823927000630647,870,2,
C,C,True,1.110882499953732,935,2,
A,"
A",True,1.8791354999411851,832,3,0.0
A,"
B",True,3.7570009001065046,891,3,0.0
D,D,True,1.1334651000797749,926,2,
D,A,True,0.8698828001506627,813,2,
A,A,True,0.8050383001100272,911,2,
C,"
C
",True,0.8113985999953002,797,4,
C,C,True,0.8900688998401165,828,2,
C,"
C",True,1.0813194999936968,894,3,
D,"
D",True,1.7052762999664992,839,3,0.0
B,"
B",True,2.1475912001915276,831,3,0.0
C,"
C",True,1.4597380000632256,954,3,0.0
C,"
C",True,2.491554500069469,884,3,0.0
B,B,True,0.5178094999864697,1018,2,
D,"
D",True,2.8459066001232713,1025,3,0.0
A,A,True,0.5194272000808269,811,2,
D,C,True,0.584509699838236,913,2,
D,"
C",True,2.002690599998459,806,3,0.0
D,"
D",True,1.8406821000389755,860,3,
B,"
B",True,1.5237960000522435,958,3,0.0
D,"
B",True,2.7935303000267595,876,3,
B,"
B
",True,2.0096098999492824,836,4,0.0
A,"
B",True,0.9128798001911491,885,3,
A,C,True,0.6123424998950213,902,2,
A,"
A",True,0.8195297999773175,933,3,
C,"
C",True,1.1276501000393182,843,3,
B,B,True,1.1181461000815034,878,2,
B,A,True,0.5166931001003832,861,2,
A,"
A",True,1.5048921999987215,863,3,
D,D,True,1.0469949000980705,912,2,
D,"
B",True,2.1083660998847336,951,3,0.0
A,"D
",True,1.2885276000015438,829,3,
B,"
D",True,1.8674129999708384,839,3,0.0
B,"
B",True,1.8742676998954266,846,3,0.0
A,C,True,0.7022393001243472,900,2,
B,C,True,3.160033800173551,860,2,
D,"
D",True,1.6654569001402706,895,3,0.0
C,"C
",True,0.5052713002078235,940,3,
B,B,True,2.1269570000004023,892,2,
B,"D
",True,0.9701514998450875,914,3,
B,"
B",True,3.1999985000584275,798,3,0.0
C,"
C",True,0.9007109000813216,899,3,
C,"
C",True,1.6682251000311226,829,3,
D,"
D",True,1.5911063000094146,856,3,
B,"
B",True,0.6710845998022705,860,3,
C,"
C",True,3.184190500061959,886,3,0.0
A,"
B",True,4.973438499961048,817,3,0.0
B,"

B",True,2.2192887000273913,883,3,0.0
A,A,True,0.4707585000433028,954,2,
A,A,True,7.311270999955013,1062,2,
C,C,True,0.7519163000397384,940,2,
A,A,True,0.5303118000738323,924,2,
D,"
D",True,1.8291800001170486,968,3,
C,C,True,0.9068201000336558,1015,2,
B,B,True,1.2433041001204401,842,2,
D,D,True,0.45226829987950623,1053,2,
D,B,True,1.2413842999376357,891,2,
B,D,True,1.230400500120595,960,2,
C,"
D",True,2.4715265999548137,844,3,0.0
C,"
C",True,1.8480742999818176,832,3,
C,"
C",True,2.378944099880755,894,3,0.0
B,"
B
",True,1.8313793998677284,854,4,
C,C,True,0.4806975000537932,878,2,
D,C,True,0.49496539984829724,912,2,
C,"B
",True,1.0325414999388158,879,3,
A,"
A",True,7.631783500080928,903,3,0.0
B,B,True,1.9314645999111235,938,2,
B,"
C",True,0.8453703999985009,869,3,
B,C,True,1.162244400009513,920,2,
C,C,True,0.5640682000666857,946,2,
A,A,True,0.4929261999204755,804,2,
B,"
B
",True,3.3147108999546617,898,4,
C,D,True,0.8849506000988185,848,2,
B,"

B",True,1.6688719999510795,889,3,0.0
D,D,True,0.993227600120008,1045,2,
B,"B
",True,0.6066325998399407,905,3,
A,"
A",True,3.330366900190711,896,3,0.0
C,C,True,0.5086163999512792,1056,2,
B,D,True,0.6864348000381142,882,2,
C,"
C",True,3.202502900036052,841,3,0.0
C,"
C",True,1.4979362001176924,811,3,0.0
C,"
D",True,2.066919600125402,826,3,
A,"
A",True,1.546784599777311,948,3,0.0
B,"B
",True,2.754169899970293,849,3,
B,"
C",True,3.2024587001651525,863,3,
D,D,True,4.547854300122708,936,2,
D,"D
",True,0.4633847998920828,822,3,
D,A,True,0.8687918002251536,839,2,
A,"
A",True,1.591554299928248,880,3,0.0
D,D,True,0.8844506000168622,951,2,
C,C,True,0.7228892999701202,845,2,
B,"
B",True,0.7624649000354111,1100,3,
D,"
B",True,0.8052610999438912,1041,3,
D,"
D",True,5.266693699872121,970,3,
C,A,True,0.6697825998999178,816,2,
D,D,True,0.9357810001820326,871,2,
D,B,True,1.5053265001624823,861,2,
B,"
B",True,1.4407677999697626,955,3,0.0
C,"
B",True,1.6372563999611884,1050,3,0.0
C,C,True,0.44254230009391904,830,2,
C,C,True,1.6102146999910474,879,2,
A,"
A",True,1.1282279000151902,905,3,
D,"
D",True,1.4216543999500573,939,3,0.0
D,"
D",True,1.9767285999841988,953,3,0.0
B,"
C",True,1.4299691000487655,787,3,0.0
