answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,5.13538549997611,868,73,63
A,A,True,4.239679699996486,986,124,114
D,D,True,2.8873044999781996,850,30,20
C,C,True,2.27575450000586,887,29,19
A,A,True,3.993023000017274,905,104,94
D,D,True,2.4535848000086844,824,27,17
B,B,True,2.435126200027298,796,26,16
C,C,True,1.957951599964872,825,34,24
A,A,True,2.8818650000030175,853,39,29
B,B,True,1.7146165000158362,816,22,12
D,D,True,2.7607752000330947,858,28,18
D,D,True,1.326262400019914,817,42,32
A,A,True,1.8232193000148982,906,73,63
B,B,True,2.3723396999994293,877,78,68
D,D,True,2.4821910000173375,905,83,73
B,B,True,1.815611700003501,832,36,26
D,D,True,2.649971699982416,880,78,68
A,A,True,3.3390118000097573,972,124,114
C,C,True,2.1388842000160366,871,43,33
B,B,True,1.1677896999754012,876,32,22
D,D,True,2.3625310999923386,1017,117,107
A,B,True,2.535791900008917,884,116,106
D,D,True,3.037994999962393,1024,106,96
D,D,True,2.808666999975685,1011,89,79
C,C,True,1.7373726000078022,905,74,64
D,D,True,2.108445399964694,910,84,74
A,A,True,2.4591751000261866,979,110,100
B,B,True,4.55650439998135,1144,212,202
C,C,True,2.6034764000214636,915,121,111
B,B,True,1.9417092999792658,826,45,35
B,B,True,1.4316618000157177,907,55,45
B,B,True,4.960926799976733,1034,203,193
D,D,True,2.6970992000424303,946,86,76
C,C,True,1.5348574999952689,917,54,44
A,A,True,1.9406388999777846,914,39,29
B,B,True,3.385549600003287,1042,124,114
C,C,True,2.238229699956719,1013,99,89
C,D,True,2.3450850999797694,906,84,74
C,C,True,2.47843020001892,1008,88,78
B,B,True,2.5507119999965653,961,83,73
D,D,True,2.345306600036565,1191,67,57
C,C,True,3.0591152999550104,965,156,146
B,B,True,1.9450077000074089,841,37,27
C,B,True,3.7011375000001863,1037,171,161
B,B,True,2.516286099969875,1001,91,81
C,C,True,2.0350820000167005,889,51,41
C,C,True,2.461326300050132,985,111,101
C,B,True,3.197582599997986,1048,165,155
