answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,1.1658141000662,808,1,
A,A,True,1.1584854000248015,870,1,
D,D,True,1.191623899852857,829,1,
C,C,True,1.1142953999806195,866,1,
A,A,True,1.0809337999671698,805,1,
D,D,True,1.043234899872914,804,1,
B,C,True,1.1739009998273104,778,1,
C,C,True,1.0691288001835346,797,1,
A,A,True,1.141344100004062,819,1,
B,B,True,1.1797962000127882,804,1,
D,D,True,1.121090400032699,836,1,
D,D,True,1.0871558000799268,782,1,
A,A,True,1.1678601000458002,838,1,
B,B,True,1.2056293000932783,800,1,
D,D,True,1.1289806999266148,827,1,
B,B,True,1.1623203998897225,799,1,
D,D,True,1.1124428000766784,810,1,
A,D,True,1.0657591000199318,850,1,
C,C,True,1.1775328000076115,837,1,
B,B,True,1.0756004999857396,853,1,
D,B,True,1.1203681000042707,905,1,
A,D,True,1.1144852000288665,775,1,
D,D,True,1.1174370001535863,923,1,
D,D,True,1.1191145000047982,928,1,
C,C,True,1.0220316001214087,839,1,
D,D,True,1.1263625000137836,833,1,
A,C,True,1.0433346999343485,874,1,
B,B,True,1.0919367999304086,938,1,
C,C,True,1.1234756000339985,795,1,
B,B,True,1.0172778000123799,789,1,
B,B,True,1.073833400150761,851,1,
B,B,True,1.1274921000003815,838,1,
D,D,True,1.1666938001289964,865,1,
C,C,True,1.1464203998912126,870,1,
A,A,True,1.056271699955687,882,1,
B,A,True,1.0209208000451326,922,1,
C,C,True,1.1714496000204235,908,1,
C,D,True,1.0178000999148935,830,1,
C,C,True,1.081921000033617,930,1,
B,B,True,1.0599056999199092,882,1,
D,D,True,1.1800111001357436,1138,1,
C,D,True,1.1144383999053389,816,1,
B,B,True,1.1224001001100987,808,1,
C,A,True,1.1369658999610692,871,1,
B,B,True,0.5242713000625372,914,1,
C,C,True,0.504192299908027,847,1,
C,C,True,0.5827641999348998,883,1,
C,B,True,0.5864831998478621,887,1,
A,A,True,0.5808079000562429,772,1,
C,C,True,0.5932066000532359,777,1,
C,C,True,0.5971433999948204,786,1,
A,A,True,0.47408879990689456,838,1,
C,C,True,0.5052738001104444,869,1,
B,B,True,0.5722579001449049,868,1,
C,C,True,0.5786941000260413,832,1,
C,A,True,0.5809317999519408,881,1,
B,B,True,0.47637379984371364,924,1,
C,B,True,0.4962895999196917,826,1,
A,A,True,0.5873008000198752,795,1,
A,A,True,0.4844414999242872,848,1,
D,D,True,0.588046999881044,799,1,
D,B,True,0.5025420999154449,844,1,
C,B,True,0.4860010000411421,829,1,
C,C,True,0.6039621001109481,875,1,
B,B,True,0.5240615999791771,821,1,
B,B,True,0.5907971998676658,847,1,
A,D,True,0.49091060017235577,941,1,
B,B,True,0.5926272000651807,795,1,
B,B,True,0.4949485999532044,938,1,
C,C,True,0.5410350000020117,881,1,
C,C,True,0.48177259997464716,906,1,
B,B,True,0.7216553001198918,896,1,
C,B,True,0.556267499923706,863,1,
B,B,True,0.5902902001980692,943,1,
C,C,True,0.5940115000121295,921,1,
C,C,True,0.4879272999241948,877,1,
D,D,True,0.4884582001250237,818,1,
D,D,True,0.5210918998345733,861,1,
C,C,True,0.48238159995526075,926,1,
A,A,True,0.47065420006401837,822,1,
A,A,True,0.5361502000596374,881,1,
D,D,True,0.5926695999223739,917,1,
D,A,True,0.4849594999104738,804,1,
A,A,True,0.4801312000490725,902,1,
C,C,True,0.5881973998621106,787,1,
C,C,True,0.4655457001645118,819,1,
C,C,True,0.5221978002227843,885,1,
D,D,True,0.6089922999963164,829,1,
B,B,True,0.5311159999109805,821,1,
C,C,True,0.525036099832505,944,1,
C,C,True,0.5421755001880229,874,1,
B,B,True,0.5175933998543769,1009,1,
D,D,True,0.4884852999821305,1015,1,
A,B,True,0.6049805998336524,802,1,
D,C,True,0.5825972999446094,904,1,
D,D,True,0.5853770000394434,796,1,
D,C,True,1.0656509001273662,850,1,
B,B,True,1.07635199977085,948,1,
D,D,True,0.4994391000363976,867,1,
