answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,7.95174750010483,1189,394,384
A,A,True,10.697069100104272,1320,458,448
D,D,True,4.216988499974832,958,138,128
C,C,True,2.8389268999453634,932,74,64
A,A,True,10.131952799856663,1195,394,384
D,D,True,3.2904332999605685,935,138,128
B,B,True,3.6534206999931484,844,74,64
C,C,True,4.209916500141844,993,202,192
A,A,True,4.000565599882975,952,138,128
B,B,True,2.418269599787891,804,10,0
D,D,True,2.9169501999858767,904,74,64
D,D,True,5.190630000084639,977,202,192
A,A,True,4.579681999981403,971,138,128
B,B,True,7.086537699913606,937,138,128
D,D,True,8.143642500042915,1152,330,320
B,B,True,4.916028199950233,1062,266,256
D,D,True,4.470250699901953,1004,202,192
A,A,True,9.071644800016657,1242,394,384
C,C,True,4.027735200012103,1030,202,192
B,B,True,4.170243399916217,982,138,128
D,D,True,6.099236400099471,1294,394,384
A,B,True,5.782385300146416,1034,266,256
D,D,True,8.931586199905723,1312,394,384
D,D,True,6.812840700149536,1252,330,320
C,C,True,7.460472799837589,1097,266,256
D,D,True,6.158504999941215,1092,266,256
A,A,True,9.728920500027016,1455,586,576
B,B,True,7.661177400033921,1262,330,320
C,C,True,18.70139729999937,1764,970,960
B,B,True,5.520025199977681,1047,266,256
B,B,True,5.491616300074384,1054,202,192
B,B,True,12.62005989998579,1673,842,832
D,D,True,5.565708399983123,1126,266,256
C,C,True,4.28415279998444,1065,202,192
A,A,True,6.039909200044349,1141,266,256
B,B,True,7.87256189994514,1312,394,384
C,C,True,5.328314599813893,1116,202,192
C,C,True,21.92924640001729,2112,1290,1280
C,C,True,7.654480299912393,1314,394,384
B,B,True,6.729893899988383,1144,266,256
D,D,True,6.570501199923456,1454,330,320
C,C,True,8.718257599975914,1203,394,384
B,B,True,4.830585000105202,878,74,64
C,C,True,7.5330994999967515,1196,330,320
B,B,True,9.622177100041881,1240,330,320
C,C,True,5.3407494998537,1104,266,256
C,C,True,14.629026100039482,1460,586,576
C,D,True,18.305265299975872,2045,1162,1152
A,D,True,11.357065099989995,1287,522,512
C,C,True,5.061607300071046,1039,266,256
C,B,True,9.198960299836472,1238,458,448
A,A,True,4.61669830000028,1038,202,192
C,C,True,5.038245299831033,1129,266,256
B,B,True,5.469358199974522,1133,266,256
C,C,True,4.889047699980438,1100,266,256
C,C,True,29.155169100034982,2041,1162,1152
B,B,True,13.096010999986902,1645,714,704
C,B,True,13.761759599903598,1660,842,832
A,A,True,4.702094700187445,986,202,192
A,A,True,10.007428199984133,1361,522,512
D,D,True,4.442271600011736,993,202,192
D,D,True,6.650032700039446,1167,330,320
C,B,True,7.025949199916795,1027,202,192
C,C,True,5.594078900059685,1070,202,192
B,B,True,3.3599660999607295,952,138,128
B,B,True,9.33885610010475,1433,586,576
A,A,True,16.862124599982053,2027,1098,1088
B,B,True,13.359511899994686,1567,778,768
B,B,True,4.918534200172871,1128,202,192
C,C,True,5.773681699996814,1076,202,192
C,C,True,5.871975699905306,1232,330,320
B,B,True,27.744187799980864,2115,1226,1216
C,C,True,11.17964949994348,1378,522,512
B,B,True,26.117902500089258,1462,522,512
C,C,True,6.683627899968997,1242,330,320
C,C,True,5.8532953998073936,1263,394,384
D,D,True,9.587060399819165,1140,330,320
D,D,True,4.456163600087166,1056,202,192
C,C,True,5.092582999961451,1184,266,256
A,A,True,15.407309000147507,1913,1098,1088
A,A,True,6.87494509993121,1265,394,384
D,D,True,7.71469849999994,1430,522,512
D,D,True,5.44577719992958,1127,330,320
A,A,True,7.674912100192159,1302,394,384
C,C,True,6.896225000033155,1243,458,448
C,C,True,4.284021100029349,1012,202,192
C,C,True,5.853911800077185,1218,330,320
D,D,True,6.643331800121814,1094,266,256
B,B,True,4.914710800163448,1015,202,192
C,C,True,4.235672699986026,1074,138,128
C,C,True,4.223155000014231,1004,138,128
B,B,True,18.989198900060728,1965,970,960
D,D,True,10.119482100009918,1473,458,448
A,A,True,4.863537799799815,874,74,64
D,A,True,13.182040699990466,1355,458,448
D,D,True,4.918547000037506,989,202,192
D,D,True,6.772926499834284,1170,330,320
B,B,True,12.162870700005442,1602,650,640
D,D,True,9.083249199902639,1384,522,512
B,B,True,4.6163641000166535,1020,202,192
A,B,True,42.288146199891344,3059,2186,2176
A,A,True,6.549835599958897,1163,266,256
A,A,True,4.610096200136468,1055,138,128
C,C,True,4.763042600126937,1029,202,192
B,B,True,10.329325299942866,1449,586,576
B,B,True,7.7739556999877095,1302,458,448
A,A,True,5.817086099879816,1179,330,320
D,D,True,9.97510419995524,1421,522,512
D,B,True,6.951386200031266,1332,394,384
A,A,True,8.949574300087988,1206,394,384
B,B,True,13.662316800095141,1222,394,384
B,B,True,5.997165099950507,1162,330,320
A,A,True,13.109797599958256,1662,778,768
B,B,True,5.4928836999461055,1176,330,320
D,D,True,12.15596119989641,1530,650,640
C,C,True,6.044815800152719,1200,266,256
B,B,True,6.361993199912831,1207,330,320
B,B,True,6.423211900051683,1219,330,320
B,B,True,7.404080299893394,1173,394,384
C,C,True,4.630892900051549,1150,266,256
C,D,True,19.71336599998176,2037,1226,1216
D,A,True,16.546458200085908,2005,1162,1152
B,B,True,4.995120100211352,1108,266,256
C,C,True,4.25255629979074,1006,138,128
A,A,True,3.2294306999538094,936,138,128
B,B,True,10.432219499954954,1260,394,384
A,A,True,4.014472699956968,1074,138,128
A,A,True,14.124939400004223,1697,650,640
C,C,True,6.735696600051597,1192,266,256
A,A,True,8.76326770009473,1366,458,448
D,D,True,7.290643600048497,1344,394,384
C,C,True,9.941063199890777,1319,330,320
B,B,True,3.5954420999623835,970,138,128
D,D,True,9.287014600122347,1498,458,448
D,B,True,5.796971899922937,1211,330,320
B,D,True,5.221085499972105,1232,266,256
C,D,True,31.195028000045568,2371,1546,1536
C,C,True,7.0240826001390815,1210,394,384
C,C,True,8.28873570007272,1274,394,384
B,B,True,4.0393742001615465,974,138,128
C,C,True,4.1994046999607235,1130,266,256
D,D,True,10.748584299813956,1751,842,832
C,C,True,4.68615849991329,1198,330,320
A,A,True,4.327526799868792,1221,330,320
B,B,True,5.097821099916473,1124,202,192
B,C,True,10.745746799977496,1245,394,384
B,B,True,11.934206299949437,1425,522,512
C,C,True,12.024303199956194,1641,714,704
A,A,True,3.399959599832073,991,202,192
B,B,True,18.88383000018075,2300,1418,1408
C,C,True,5.117339399876073,1164,330,320
B,B,True,9.924711599946022,1329,458,448
D,D,True,20.75149799999781,1937,906,896
B,B,True,9.963869200088084,1414,522,512
A,A,True,6.499555499991402,1145,266,256
C,D,True,11.693390800151974,1637,586,576
B,B,True,12.643697899999097,1583,714,704
C,C,True,7.855477500008419,1414,586,576
C,C,True,3.8119032001122832,1060,266,256
C,C,True,8.179899299982935,1335,522,512
A,A,True,16.67973480001092,1772,842,832
B,B,True,5.306332299951464,1097,266,256
B,B,True,11.631876300089061,1369,522,512
D,D,True,5.546567999990657,1327,394,384
D,D,True,5.996089099906385,1137,330,320
D,C,True,5.782058600103483,1089,266,256
A,A,True,6.0129633999895304,1190,330,320
D,D,True,8.227834799792618,1264,330,320
C,C,True,6.34338239999488,1161,330,320
B,D,True,14.822786400094628,1800,714,704
D,D,True,7.2195957999210805,1557,522,512
D,D,True,6.680103900143877,1423,458,448
C,C,True,6.016073600156233,1131,330,320
D,D,True,5.997105999849737,1120,266,256
D,B,True,4.102501600049436,1047,202,192
B,B,True,6.502392600057647,1270,330,320
C,C,True,8.826208899961784,1439,394,384
C,A,True,10.85949070006609,1660,842,832
C,C,True,5.054270500084385,1066,202,192
A,A,True,5.191838199971244,1152,266,256
D,D,True,5.233068800065666,1259,330,320
D,B,True,8.14313009986654,1392,458,448
B,B,True,3.218524399911985,975,202,192
