answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,4.964552399935201,1670,403,384
A,C,True,6.307179499883205,1879,467,448
D,D,True,6.890487099997699,1903,595,576
C,C,True,3.635217299917713,1560,211,192
A,D,True,3.1949930998962373,1477,211,192
D,D,True,5.41642040014267,1662,403,384
B,B,True,3.729777199914679,1495,275,256
C,B,True,9.070441100047901,1910,659,640
A,B,True,5.130229500122368,1498,211,192
B,B,True,4.099577100016177,1544,275,256
D,D,True,2.981312499847263,1391,83,64
D,D,True,12.15945710008964,2219,979,960
A,A,True,5.727293400093913,1775,403,384
B,B,True,4.645332999993116,1566,275,256
D,D,True,4.204181799897924,1653,339,320
B,B,True,5.998471200000495,1762,467,448
D,C,True,11.519362899940461,2412,1107,1088
A,A,True,7.550887300167233,1947,595,576
C,C,True,8.345944199943915,2010,659,640
B,B,True,4.338159500155598,1554,211,192
D,B,True,8.267202500021085,2171,723,704
A,D,True,4.012611399870366,1438,211,192
D,D,True,5.222519299946725,1922,467,448
D,D,True,4.882504599867389,1871,403,384
C,C,True,9.589751800056547,2102,787,768
D,B,True,6.089465800207108,1880,531,512
A,D,True,8.848645800026134,2166,787,768
B,C,True,5.485320900101215,1969,467,448
C,C,True,10.821996900020167,2387,1107,1088
B,B,True,5.113030600128695,1525,275,256
B,B,True,4.742597399977967,1606,211,192
B,B,True,8.281873899977654,2052,723,704
D,D,True,3.751847500214353,1608,211,192
C,A,True,2.8035459998063743,1526,147,128
A,A,True,6.668717400170863,1924,531,512
B,B,True,18.245869599981233,3329,1811,1792
C,C,True,6.4490408999845386,1897,467,448
C,D,True,7.152506700018421,1870,531,512
C,C,True,6.0295295000541955,1912,403,384
B,B,True,8.40010549989529,2099,659,640
D,D,True,11.829418299952522,2718,915,896
C,D,True,9.058352000080049,2166,851,832
B,B,True,3.6580324000678957,1510,211,192
C,B,True,4.1686313999816775,1688,275,256
B,B,True,7.928791799815372,2143,659,640
C,C,True,7.443003399996087,1889,531,512
C,C,True,6.3766354999970645,1925,531,512
C,B,True,10.537860399810597,2492,1043,1024
A,A,True,8.1220772000961,1838,595,576
C,C,True,7.163227900164202,1768,531,512
C,B,True,13.506740800105035,2511,1235,1216
A,A,True,5.473366799997166,1732,403,384
C,C,True,4.269076100084931,1642,275,256
B,B,True,12.205278599867597,2731,1299,1280
C,D,True,7.966690000146627,2051,723,704
C,C,True,8.5594130998943,2154,723,704
B,B,True,9.920898200012743,2294,851,832
C,B,True,3.1384435000363737,1452,147,128
A,A,True,2.095349800074473,1328,83,64
A,A,True,3.343870400218293,1555,211,192
D,D,True,4.217832100111991,1542,275,256
D,D,True,7.0824778999667615,1864,531,512
C,B,True,3.518022600095719,1536,211,192
C,C,True,3.0422104001045227,1568,147,128
B,B,True,3.8806052999570966,1582,275,256
B,B,True,9.014983200002462,2255,915,896
A,D,True,4.534297100035474,1790,339,320
B,B,True,7.725797599880025,1937,659,640
B,B,True,4.82110709999688,1732,275,256
C,C,True,3.5068433999549598,1639,211,192
C,C,True,7.417250700062141,2062,595,576
B,B,True,9.765564099885523,2219,787,768
C,C,True,6.200670599937439,1936,531,512
B,B,True,12.374801700003445,2758,1235,1216
C,C,True,5.123688800027594,1786,339,320
C,C,True,7.855583399999887,1953,595,576
D,D,True,5.0964862001128495,1551,275,256
D,D,True,6.592372099868953,1980,595,576
C,C,True,8.522140100132674,2281,787,768
A,A,True,10.608772499952465,2376,1043,1024
A,A,True,8.432784300064668,1832,467,448
D,D,True,4.982734800083563,1736,275,256
D,A,True,3.2220719000324607,1430,147,128
A,A,True,6.494632799876854,1954,531,512
C,D,True,20.579536200035363,3429,2131,2112
C,C,True,7.459982000058517,1901,595,576
C,C,True,8.170754499966279,2208,787,768
D,D,True,4.187529300106689,1688,339,320
B,B,True,3.4826860001776367,1473,147,128
C,C,True,5.465998699888587,1834,339,320
C,C,True,3.331608299864456,1508,147,128
B,C,True,10.11753990012221,2491,915,896
D,A,True,5.195227999938652,2015,339,320
A,A,True,6.612197699956596,1801,531,512
D,A,True,7.8637983000371605,2074,659,640
D,C,True,6.286942699924111,1654,403,384
D,D,True,7.7723858000244945,1866,531,512
B,B,True,7.691963599994779,2036,467,448
D,C,True,5.45438569993712,1787,403,384
B,B,True,5.724281399976462,1672,339,320
A,B,True,11.731763100018725,2420,1043,1024
A,C,True,3.3864726000465453,1604,147,128
A,A,True,4.935165399918333,1856,403,384
C,D,True,9.359240600140765,2064,723,704
B,B,True,6.451745599973947,1881,467,448
B,B,True,5.516591499792412,1664,339,320
A,A,True,4.720072299940512,1635,275,256
D,D,True,4.639121599961072,1782,339,320
D,D,True,8.463413400109857,2220,723,704
A,D,True,5.7975488000083715,1707,403,384
B,B,True,6.6843210000079125,1705,403,384
B,C,True,6.31106589990668,1734,403,384
A,C,True,12.610977200092748,2513,1106,1088
B,D,True,7.523254599887878,1962,595,576
D,D,True,8.559994299896061,2117,723,704
C,C,True,5.8489409000612795,1769,275,256
B,C,True,5.652845799922943,1802,403,384
B,D,True,8.65281859994866,2153,723,704
B,B,True,6.933312100125477,1722,467,448
C,B,True,4.908597700065002,1705,275,256
C,D,True,9.39609990012832,2217,915,896
D,D,True,9.478381299879402,1884,531,512
B,B,True,4.709163699997589,1583,211,192
C,C,True,4.438581799855456,1616,211,192
A,B,True,3.68554660002701,1479,211,192
B,B,True,6.621712499996647,1918,531,512
A,A,True,16.790398699929938,2837,1299,1280
A,B,True,9.20036659995094,2422,723,704
C,C,True,3.790864499984309,1662,211,192
A,A,True,5.454375699860975,1922,467,448
D,D,True,9.51241849991493,2261,723,704
C,C,True,7.118986800080165,2008,467,448
B,B,True,7.248361600097269,1661,338,320
D,A,True,5.93193249986507,2086,403,384
D,B,True,3.8506545000709593,1660,211,192
B,D,True,4.8162185999099165,1761,211,192
C,C,True,9.4639028001111,2160,851,832
C,A,True,5.129242199938744,1706,403,384
C,D,True,4.317449700087309,1721,275,256
B,B,True,4.600842099869624,1641,275,256
C,C,True,4.0638788000214845,1603,211,192
D,D,True,7.033878199988976,1981,531,512
C,C,True,8.205928500043228,1907,531,512
A,A,True,9.58315879991278,2133,723,704
B,D,True,6.913106200052425,2088,595,576
B,D,True,9.775845699943602,2149,787,768
B,D,True,5.847573200007901,1993,531,512
C,C,True,10.12275810004212,2324,851,832
A,A,True,3.3304977000225335,1411,147,128
B,B,True,9.3705943999812,2063,659,640
C,C,True,3.628646200057119,1600,275,256
