answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"

D",True,29.81834670016542,2134,558,555.0
A,"

B",True,19.52938500000164,2484,718,714.0
D,"

B",True,12.071127300150692,2095,465,462.0
C,"

B",True,10.263630299828947,2109,423,420.0
A,"

A",True,18.968427799874917,2194,622,618.0
D,"

B",True,49.07022420014255,3763,2201,2197.0
B,"

B",True,5.090399599866942,1775,262,258.0
C,"

D",True,24.669136499986053,2561,1001,997.0
A,"

B",True,24.10959759983234,2087,482,479.0
B,"

D",True,5.991580399917439,1904,314,311.0
D,"

A",True,13.069361499976367,2438,798,795.0
D,D,True,6.942066499963403,1909,365,
A,B,True,8.841400700155646,2224,504,
B,D,True,7.262613900005817,1972,372,
D,C,True,8.490184700116515,2044,409,
B,"

B",True,25.357512000016868,3074,1462,1459.0
D,C,True,7.156050399877131,2039,420,
A,"

B",True,17.807931599905714,2064,364,361.0
C,C,True,5.647939800051972,2016,332,
B,D,True,6.474127900088206,2025,351,
D,B,True,19.373610500013456,2791,1016,
A,"

B",True,13.613775399979204,1794,275,272.0
D,"

D",True,18.005193300079554,2445,624,621.0
D,B,True,6.93045450001955,2247,424,
C,D,True,17.945307499961928,2724,1091,
D,A,True,6.411819899920374,2046,376,
A,D,True,7.898899599909782,2165,431,
B,"

A",True,47.69690229999833,4407,2536,2533.0
C,C,True,13.005836399970576,2124,534,
B,D,True,9.780226999893785,2065,514,
B,C,True,6.762673099990934,2077,347,
B,B,True,6.895860299933702,1976,332,
D,D,True,6.619965100195259,2152,424,
C,"

B",True,22.664882800076157,3179,1473,1470.0
A,B,True,6.988345100078732,2315,571,
B,B,True,9.322504699928686,2607,718,
C,C,True,6.709153299918398,2255,468,
C,D,True,6.382480099797249,2113,449,
C,D,True,6.124056400032714,2344,442,
B,"

A",True,15.963753500021994,2549,733,730.0
D,D,True,11.849942199885845,3118,857,
C,B,True,6.044418199919164,2027,376,
B,B,True,8.019393700174987,2120,511,
C,C,True,5.803984900005162,2152,364,
B,C,True,8.123613100033253,2327,478,
C,C,True,5.299129499820992,2071,383,
C,D,True,15.074997399933636,2784,1049,
C,B,True,15.179399099899456,2969,1133,
A,A,True,3.5780507000163198,1741,201,
C,"

D",True,10.332972299773246,2183,628,625.0
C,D,True,7.251708999974653,2058,478,
A,"

B",True,6.461571499938145,2028,379,376.0
C,B,True,5.876384899951518,2129,423,
B,"

B",True,17.16396569996141,2640,831,828.0
C,,True,55.88452149997465,5657,4000,
C,C,True,6.531731100054458,2250,449,
B,B,True,9.462868299800903,2380,602,
C,D,True,5.541579799959436,1989,362,
A,A,True,7.282513000071049,2012,467,
A,D,True,16.48376529989764,2763,1087,
D,C,True,5.44959930004552,1907,323,
D,A,True,6.876782699953765,2149,482,
C,B,True,6.559811900136992,2060,404,
C,B,True,18.761271599913016,3190,1422,
B,B,True,7.021736999973655,1969,345,
B,A,True,10.889469899935648,2267,604,
A,D,True,8.554248900152743,2239,429,
B,B,True,14.39623980014585,2400,800,
B,B,True,11.827604499878362,2486,645,
C,C,True,7.2070999999996275,2225,418,
C,D,True,9.933297199895605,2441,595,
B,"

C",True,19.00263630016707,2445,681,677.0
C,"

D",True,7.369636399904266,2073,321,318.0
B,D,True,29.47615720005706,3749,1851,
C,C,True,8.859012900153175,2220,408,
C,C,True,52.78758569993079,5544,3853,
D,D,True,6.985905500128865,2021,429,
D,D,True,6.54878419986926,2116,384,
C,C,True,10.226063400041312,2169,289,
A,"

B",True,11.6060289000161,2374,706,702.0
A,B,True,7.935798200080171,2093,377,
D,"

C",True,10.90472129988484,2538,683,679.0
D,B,True,6.625779900001362,2032,442,
A,B,True,8.69513799995184,2485,715,
C,"

B",True,8.911882700165734,2100,475,472.0
C,D,True,5.183189700124785,2029,399,
C,C,True,11.546493500005454,2707,917,
D,D,True,14.330752399982885,2681,995,
B,"

B",True,14.395906900055707,2213,564,561.0
C,"

B",True,6.415306899929419,2176,311,308.0
C,"

D",True,16.132135099964216,2724,1016,1013.0
B,D,True,5.930544100003317,2406,391,
D,C,True,9.296243299962953,2715,637,
A,"

B",True,11.522434300044551,2169,598,594.0
D,A,True,8.343756599817425,2102,344,
D,D,True,5.177216100040823,1769,224,
D,A,True,14.866629600059241,2635,965,
B,D,True,7.198079700116068,2426,449,
D,C,True,10.761441799812019,2347,616,
B,C,True,5.387560999952257,1984,325,
A,C,True,9.76440540002659,2436,714,
A,C,True,5.761458899825811,2163,377,
A,D,True,6.198254300048575,2177,352,
C,B,True,5.270205999957398,2005,324,
B,,True,53.62700470001437,5779,4000,
B,"

C",True,6.630966400029138,1880,222,219.0
A,A,True,4.46891409996897,2061,355,
D,A,True,3.677346199983731,2073,264,
D,"

B",True,20.240325500024483,2988,1104,1101.0
A,C,True,7.168969699880108,2084,462,
B,"

B",True,13.637952900025994,2431,806,803.0
B,B,True,5.458288900088519,2051,379,
A,D,True,7.522681399947032,2328,568,
B,"

B",True,12.21738880011253,2339,640,636.0
D,C,True,7.037083900067955,2157,409,
C,A,True,7.119925400009379,2322,457,
B,"

C",True,6.58717259997502,2134,378,374.0
B,C,True,5.911186099983752,2181,378,
B,D,True,8.369898600038141,2122,567,
C,B,True,5.416674999985844,2102,322,
C,D,True,6.730632799910381,2063,439,
D,"

C",True,12.650767100043595,2173,487,484.0
B,B,True,5.722261400194839,2107,390,
C,A,True,5.1043613001238555,2145,387,
A,A,True,6.015396599890664,1896,313,
B,B,True,7.547954000066966,2241,495,
A,D,True,6.341039099963382,2308,384,
A,B,True,7.458993799984455,2562,429,
C,"

C",True,9.1243853000924,2310,489,486.0
A,C,True,8.225655500078574,2432,608,
D,B,True,7.023345099994913,2482,557,
C,B,True,7.992495100013912,2542,597,
B,A,True,4.834428800037131,2018,365,
D,D,True,6.8023610999807715,2597,463,
D,B,True,5.3745054001919925,2137,345,
B,D,True,4.480072699952871,2201,269,
C,B,True,22.948780300095677,3018,1380,
C,"

A",True,9.469185400055721,2183,550,546.0
C,C,True,8.516065999865532,2247,448,
B,C,True,8.098318499978632,2175,468,
C,C,True,10.123346199980006,2186,462,
D,A,True,8.917356600053608,2330,502,
C,"

A",True,15.873847699956968,2160,449,446.0
A,A,True,8.559026699978858,2294,530,
B,B,True,4.510152200004086,2094,227,
B,"

C",True,7.184193800203502,2128,397,394.0
B,D,True,10.503639800008386,2422,577,
C,D,True,10.915461800061166,2345,501,
A,C,True,9.547607799991965,1935,370,
B,D,True,1.3716432000510395,1777,1,0.0
C,D,True,14.78168460004963,2590,934,
B,B,True,5.0564441999886185,2046,312,
D,B,True,7.761398900067434,2566,538,
B,C,True,5.5735279999207705,2133,379,
A,A,True,5.5822999000083655,2096,341,
C,"

C",True,13.278349499916658,2676,553,550.0
B,"

B",True,12.48188990005292,2211,476,473.0
C,C,True,19.992458499968052,2793,1154,
C,B,True,10.889040500158444,1930,346,
C,"

C",True,6.275109800044447,1957,321,318.0
A,B,True,31.94758109981194,3583,1747,
B,"

C",True,16.581525299930945,2194,577,574.0
B,C,True,16.557411500019953,2751,1115,
D,D,True,8.368744099978358,2305,531,
D,C,True,7.652492600027472,1915,293,
D,A,True,6.008080100174993,2010,394,
A,D,True,4.180593200027943,2078,378,
D,B,True,6.0576618001796305,2355,422,
C,A,True,4.4553201999515295,2108,444,
B,D,True,11.647770199924707,3082,934,
D,B,True,6.891632700106129,2724,560,
D,D,True,8.751876600086689,2380,479,
C,C,True,6.216179399983957,2060,467,
D,C,True,4.099888400174677,1996,262,
D,B,True,4.962377599906176,2044,346,
B,A,True,5.085122599964961,2298,346,
C,"

D",True,10.960614399984479,2702,628,625.0
C,C,True,9.179290199885145,2230,571,
C,D,True,9.037484199972823,2272,580,
A,C,True,6.912401200039312,2521,735,
D,"

C",True,10.989615499973297,2375,507,504.0
D,B,True,21.165047999937087,3588,1686,
B,D,True,3.247772299917415,1876,348,
