answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,3.5488982999231666,2113,1,675
A,A,True,4.631001999834552,2538,1,928
D,D,True,3.4812400999944657,2140,1,664
C,C,True,3.897954700049013,2271,1,745
A,A,True,3.583040499826893,2077,1,650
D,D,True,2.821790700079873,1907,1,490
B,B,True,2.4126977000851184,1757,1,383
C,C,True,3.931583800120279,2130,1,717
A,B,True,3.060222700005397,2027,1,572
B,B,True,3.058039000025019,2033,1,595
D,D,True,2.979356899857521,2054,1,577
D,D,True,3.1847190000116825,2001,1,594
A,A,True,4.885459400014952,2437,1,887
B,B,True,3.055966699961573,2029,1,574
D,D,True,3.992132500046864,2273,1,788
B,B,True,3.2746729999780655,2076,1,621
D,D,True,3.9731375998817384,2197,1,724
A,A,True,4.441211199853569,2422,1,883
C,C,True,3.3492781999520957,2212,1,685
B,B,True,3.8098771998193115,2196,1,684
D,D,True,4.7362528999801725,2590,1,978
A,A,True,3.625283900182694,2057,1,676
D,D,True,4.501160900108516,2507,1,858
D,D,True,8.337936900090426,3115,1,1469
C,C,True,3.8273864001967013,2226,1,743
D,D,True,4.0625372000504285,2277,1,767
A,D,True,9.077529300004244,3378,1,1825
B,C,True,4.9193166999612,2658,1,970
C,C,True,7.478627699892968,2767,1,1323
B,B,True,3.544723200146109,2058,1,653
B,B,True,5.296175100142136,2541,1,975
B,C,True,3.935161800123751,2189,1,695
D,D,True,4.730263100005686,2537,1,969
C,C,True,3.7275612000375986,2245,1,686
A,A,True,4.015238899970427,2276,1,699
B,A,True,6.732732499949634,2923,1,1213
C,C,True,4.662294700043276,2555,1,955
C,D,True,4.392622200073674,2217,1,708
C,C,True,4.73478540009819,2683,1,972
B,B,True,6.620416299905628,2768,1,1148
D,D,True,6.141080800211057,3100,1,1058
C,C,True,5.492255700053647,2464,1,972
B,B,True,4.445875599980354,2209,1,744
C,C,True,4.956642000004649,2540,1,948
B,B,True,5.572694499976933,2745,1,1076
C,C,True,4.514297700021416,2416,1,888
C,C,True,4.945323399966583,2515,1,948
C,B,True,4.523929100017995,2565,1,915
A,A,True,3.8871550001204014,2089,1,691
C,C,True,3.5028894999995828,1992,1,587
C,D,True,11.212033499963582,3546,1,2108
A,A,True,9.765352500136942,3452,1,1956
C,C,True,4.465875099878758,2443,1,899
B,B,True,4.800736999837682,2566,1,942
C,C,True,4.332305200165138,2358,1,868
C,A,True,5.951059399871156,2830,1,1200
B,B,True,5.773617699975148,2707,1,1100
C,C,True,4.195426200050861,2225,1,743
A,B,True,5.325925099896267,2373,1,970
A,A,True,3.563639200059697,2178,1,652
D,D,True,7.032249599928036,2766,1,1332
D,D,True,3.8636323001701385,2202,1,701
C,B,True,3.695132700027898,2227,1,732
C,C,True,4.38665569992736,2474,1,885
B,C,True,3.5318361001554877,2156,1,679
B,B,True,5.727434900123626,2603,1,1097
A,D,True,4.738544600084424,2511,1,872
B,B,True,3.453383000101894,2101,1,647
B,B,True,5.590154000092298,2726,1,1065
C,C,True,5.097789800027385,2669,1,1044
C,B,True,6.321351599879563,2845,1,1188
B,B,True,7.017821300076321,2946,1,1344
C,B,True,4.6212774000596255,2507,1,912
B,C,True,7.192786999978125,3009,1,1295
C,C,True,5.9012348998803645,2691,1,1054
C,C,True,4.445928500033915,2367,1,828
D,C,True,5.384497200138867,2336,1,896
D,D,True,5.589481299975887,2670,1,1106
C,C,True,5.561227599857375,2759,1,1067
A,A,True,7.5274585001170635,2983,1,1473
A,A,True,4.261294000083581,2425,1,885
D,D,True,4.586167800007388,2642,1,966
D,D,True,4.59723490010947,2216,1,772
A,D,True,5.404447200009599,2617,1,1017
C,C,True,7.680885899811983,2920,1,1460
C,C,True,4.427164699882269,2263,1,789
C,C,True,4.748709300067276,2548,1,936
D,D,True,4.44077039998956,2458,1,920
B,B,True,3.4662780000362545,2125,1,631
C,C,True,4.1084827000740916,2493,1,800
C,C,True,3.4615358998999,2204,1,660
B,B,True,6.199852399993688,3034,1,1214
D,D,True,7.642020300030708,3396,1,1512
A,A,True,3.9445895000826567,2128,1,701
D,A,True,5.249828200088814,2625,1,1036
D,D,True,4.088247699895874,2187,1,779
D,D,True,4.43302939995192,2387,1,877
B,B,True,5.908508199965581,2968,1,1198
D,D,True,6.04943160014227,2695,1,1140
B,B,True,3.3159594000317156,2140,1,632
A,A,True,5.565590100130066,2568,1,1018
A,C,True,4.756214899942279,2569,1,947
A,A,True,4.6763365000952035,2618,1,970
C,C,True,4.0787019999697804,2294,1,775
B,B,True,5.4461499999742955,2693,1,1085
B,B,True,3.956492899917066,2257,1,760
A,A,True,4.913602999877185,2474,1,938
D,A,True,5.041944500058889,2688,1,1039
D,D,True,5.7025266001001,2803,1,1110
A,A,True,3.7093750999774784,2231,1,757
B,B,True,4.851780199911445,2401,1,934
B,B,True,4.422143400181085,2312,1,808
A,C,True,5.995130099821836,2770,1,1184
B,B,True,4.65638060006313,2433,1,896
D,C,True,5.166291800094768,2566,1,982
C,C,True,5.422585499938577,2799,1,1109
B,B,True,5.330046100076288,2600,1,1008
