answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,8.379694700008258,2355,1,917
A,A,True,9.459906300064176,2650,1,1040
D,D,True,7.699019999941811,2241,1,765
C,C,True,9.444364900002256,2570,1,1044
A,C,True,9.16135870013386,2288,1,861
D,D,True,5.706939699826762,2024,1,607
B,B,True,6.429265700047836,2032,1,658
C,C,True,10.838554100133479,2554,1,1141
A,A,True,8.111816999968141,2257,1,802
B,B,True,7.822522500064224,2278,1,840
D,D,True,6.219066499965265,2177,1,700
D,D,True,10.301535800099373,2479,1,1072
A,A,True,9.070780099835247,2455,1,905
B,B,True,8.167829799931496,2331,1,876
D,D,True,13.103380399988964,2832,1,1347
B,B,True,7.462060799822211,2291,1,836
D,D,True,8.50741340010427,2354,1,881
A,A,True,11.147490199888125,2700,1,1161
C,A,True,9.144009600160643,2482,1,955
B,B,True,8.506961499806494,2432,1,920
D,D,True,8.342360900016502,2482,1,870
A,A,True,9.092568699968979,2350,1,969
D,D,True,10.828176699811593,2565,1,916
D,D,True,9.156477799871936,2660,1,1014
C,C,True,10.213876000139862,2587,1,1104
D,D,True,12.62754310015589,2950,1,1440
A,D,True,22.478861599927768,4137,1,2584
B,B,True,12.342719699954614,2721,1,1033
C,A,True,27.00112759997137,4546,1,3102
B,B,True,11.108612800017,2414,1,1009
B,B,True,13.175976500147954,2848,1,1282
B,C,True,10.104638600023463,2528,1,1034
D,D,True,8.65926199988462,2497,1,929
C,C,True,10.910323900170624,2834,1,1275
A,A,True,9.648128099972382,2569,1,992
B,A,True,12.551305199973285,3071,1,1361
C,C,True,10.59381250012666,2759,1,1159
C,D,True,14.646834100130945,3071,1,1562
C,C,True,12.866284399991855,3040,1,1329
B,B,True,13.030925000086427,3009,1,1389
D,D,True,11.25687799998559,3187,1,1145
C,C,True,9.427292499924079,2497,1,1005
B,B,True,11.54202020005323,2720,1,1255
C,C,True,11.95024299994111,2979,1,1387
B,B,True,10.375602600164711,2711,1,1042
