answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,"
B",True,6.1901276998687536,1448,3,0.0
A,"
D",True,1.8044217000715435,1619,3,
D,B,True,1.780020299833268,1485,2,
C,"
C",True,1.52410150016658,1536,3,0.0
A,A,True,0.9360639001242816,1436,2,
D,"
B",True,5.784206000156701,1427,3,
B,B,True,1.0070163998752832,1383,2,
C,D,True,1.1490772000979632,1422,2,
A,B,True,0.5488914002198726,1464,2,
B,"
B",True,1.7356802001595497,1447,3,
D,D,True,0.5413214999716729,1486,2,
D,B,True,0.9354018000885844,1416,2,
A,B,True,0.8460299998987466,1559,2,
B,"
D",True,1.6358910000417382,1465,3,
D,B,True,0.9875823000911623,1494,2,
B,A,True,0.8498343999963254,1464,2,
D,C,True,0.45834620017558336,1482,2,
A,A,True,0.924549899995327,1548,2,
C,"
C",True,1.6121376999653876,1537,3,
B,"
D",True,1.3743305001407862,1522,3,
D,"
B",True,2.1088084999937564,1622,3,0.0
A,A,True,0.7694067000411451,1390,2,
D,"
B",True,0.774053500033915,1658,3,
D,"
A",True,5.161472999956459,1656,3,
C,"C
",True,0.46925110020674765,1493,3,
D,D,True,0.9596103997901082,1519,2,
A,"
B",True,1.20801190007478,1563,3,
B,"
A",True,1.735195100074634,1698,3,0.0
C,C,True,1.0971052998211235,1453,2,
B,B,True,0.4841054000426084,1414,2,
B,"
B",True,0.9750479999929667,1576,3,
B,B,True,0.585912800161168,1503,2,
D,D,True,1.1911617000587285,1577,2,
C,"
A",True,1.6322739000897855,1569,3,
A,"
A",True,2.1412438000552356,1587,3,0.0
B,"
A",True,2.186320299981162,1720,3,0.0
C,D,True,0.8281883001327515,1609,2,
C,D,True,1.1789486000780016,1518,2,
C,"
D",True,4.166626400081441,1721,3,0.0
B,"
A",True,2.4364280998706818,1630,3,0.0
D,"
C",True,0.788794299820438,2052,3,
C,C,True,0.45794239989481866,1501,2,
B,B,True,1.0453215998131782,1474,2,
C,"
A",True,0.6539859001059085,1602,3,
B,B,True,1.4158952999860048,1678,2,
C,B,True,0.8671923000365496,1537,2,
C,B,True,0.9525111999828368,1576,2,
C,A,True,1.2862148000858724,1659,2,
A,"
A",True,0.8575633999425918,1407,3,
C,"
C",True,1.8484004000201821,1415,3,0.0
C,"
B
",True,2.428901799954474,1448,4,
A,"B
",True,0.6572141998913139,1506,3,
C,C,True,1.2445483999326825,1553,2,
B,B,True,0.5915430998429656,1633,2,
C,C,True,0.483637300087139,1499,2,
C,A,True,0.5244338000193238,1639,2,
B,B,True,0.9593931001145393,1616,2,
C,B,True,0.45320129999890924,1491,2,
A,"
B",True,2.1759986001998186,1413,3,0.0
A,A,True,0.5719853001646698,1535,2,
D,B,True,0.8429362999740988,1443,2,
D,"
B",True,5.16490099998191,1510,3,
C,B,True,1.317924400093034,1504,2,
C,"
C",True,1.2028900999575853,1599,3,
B,B,True,0.46937099983915687,1486,2,
B,D,True,0.8928211000747979,1515,2,
A,"
D",True,0.7614100999198854,1648,3,
B,"
C",True,1.6426010001450777,1464,3,0.0
B,B,True,1.2528718002140522,1670,2,
C,B,True,0.8595280000008643,1634,2,
C,"
D",True,1.0337648000568151,1667,3,
B,A,True,0.8024397999979556,1611,2,
C,"
A",True,1.8149444998707622,1605,3,
B,C,True,0.4542094999924302,1723,2,
C,C,True,0.9810830000787973,1646,2,
C,"
B",True,0.7061015001963824,1548,3,
D,A,True,0.5255601999815553,1449,2,
D,"
A",True,1.1140247001312673,1574,3,
C,"
C",True,1.644522099988535,1702,3,0.0
A,"
B",True,1.4406018001027405,1520,3,0.0
A,"A
",True,0.5668995000887662,1550,3,
D,A,True,1.2485895999707282,1685,2,
D,"
D",True,1.6166709000244737,1454,3,0.0
A,A,True,0.8480285999830812,1609,2,
C,B,True,0.7981018000282347,1469,2,
C,C,True,0.4911644000094384,1483,2,
C,"
A",True,1.816904400009662,1622,3,
D,D,True,1.4558890999760479,1547,2,
B,"
B",True,1.475366000086069,1504,3,0.0
C,C,True,0.47939469991251826,1702,2,
C,"
C",True,1.5272361999377608,1554,3,0.0
B,"
C",True,0.914490400115028,1829,3,
D,D,True,0.8436787000391632,1893,2,
A,"
B",True,1.465582099976018,1437,3,0.0
D,"
A",True,1.455804199911654,1599,3,0.0
D,"
C",True,0.9519680999219418,1417,3,
D,"
D",True,1.6657622999045998,1520,3,0.0
B,B,True,1.3844295998569578,1779,2,
D,D,True,0.5150401000864804,1564,2,
B,"
B",True,0.7445239000953734,1518,3,
A,C,True,0.5009213001467288,1559,2,
A,B,True,0.8202494001016021,1631,2,
A,"
D",True,2.01635399996303,1658,3,0.0
C,"
B",True,0.6387680999469012,1528,3,
B,C,True,1.5379095000680536,1617,2,
B,"
B",True,1.4051622000988573,1507,3,0.0
A,D,True,1.03500959998928,1545,2,
D,A,True,1.2245873999781907,1658,2,
D,B,True,0.45868300017900765,1702,2,
A,C,True,0.788949100067839,1483,2,
B,"
B",True,1.582662200089544,1477,3,0.0
B,C,True,1.4463320998474956,1513,2,
A,"
D",True,0.9473315998911858,1595,3,
B,"
A",True,1.145734999794513,1547,3,
D,"
D",True,1.5664363999385387,1594,3,0.0
C,"
C",True,1.1092771999537945,1700,3,
B,"
C",True,0.7295087000820786,1602,3,
B,D,True,0.5551877000834793,1639,2,
B,"
B",True,2.1971306998748332,1420,3,0.0
C,"
B",True,1.4339906999375671,1616,3,0.0
C,C,True,1.1554196998476982,1485,2,
D,"
B",True,1.1741935999598354,1536,3,
B,"
B",True,1.1145160000305623,1562,3,
C,C,True,0.8538917999248952,1604,2,
A,"
C",True,1.3781843001488596,1442,3,0.0
B,"
B",True,0.7863362000789493,1585,3,
A,"
C",True,1.4762989999726415,1756,3,0.0
A,"
A",True,0.6928314999677241,1917,3,
C,"
C",True,1.4641458000987768,1650,3,0.0
A,"
B",True,1.506679099984467,1668,3,0.0
D,"
B",True,1.4482243000529706,1752,3,0.0
C,C,True,0.8405474999453872,1763,2,
B,"
C",True,1.8262821999378502,1503,3,0.0
D,"
A",True,1.7804185000713915,1931,3,0.0
D,B,True,0.8842503000050783,1637,2,
B,D,True,1.0994981001131237,1716,2,
C,D,True,0.8444099000189453,1490,2,
C,D,True,0.7996155000291765,1482,2,
C,"D
",True,0.5918262999039143,1645,3,
B,B,True,0.8302476000972092,1556,2,
C,A,True,0.4951516999863088,1577,2,
D,C,True,0.5103123001754284,1633,2,
C,C,True,0.8283290001563728,1565,2,
A,"C
",True,1.6153299000579864,1593,3,
B,"
B",True,0.7710527000017464,1702,3,
B,A,True,0.8080742000602186,1565,2,
B,D,True,0.8650629001203924,1648,2,
C,"
D",True,1.4204877000302076,1673,3,0.0
A,"
A",True,1.3721507999580353,1434,3,0.0
B,"
B",True,1.460755999898538,1602,3,0.0
C,"
C",True,1.4276093000080436,1509,3,0.0
B,B,True,1.213860600022599,1583,2,
D,B,True,1.0399170001037419,1821,2,
B,"
B
",True,1.3480418000835925,1602,4,
A,A,True,0.46973540005274117,1592,2,
C,"
A",True,1.1816738001070917,1932,3,
B,C,True,0.7961482000537217,1572,2,
C,B,True,0.8068506000563502,1499,2,
C,C,True,0.8614896000362933,1444,2,
C,"
C",True,1.7074626998510212,1489,3,
A,B,True,0.9750795001164079,1660,2,
B,A,True,0.9167388000059873,1486,2,
B,"
B",True,1.372848300030455,1492,3,0.0
D,D,True,0.9642139999195933,1614,2,
D,"
A",True,1.8639739998616278,1474,3,0.0
D,A,True,0.6890664000529796,1475,2,
A,A,True,0.4506590000819415,1553,2,
D,D,True,1.3426471999846399,1745,2,
C,"
D",True,1.0229629999957979,1528,3,
B,"
B",True,1.0416715999599546,1940,3,
D,B,True,0.8151932000182569,1941,2,
D,"
D",True,0.6822478000540286,1719,3,
C,D,True,1.1345414000097662,1455,2,
D,"
D",True,0.8173560001887381,1573,3,
D,"
A",True,1.1661207000724971,1554,3,
B,B,True,1.2320764001924545,1780,2,
C,B,True,0.8679639000911266,1868,2,
C,A,True,0.8224700000137091,1532,2,
C,C,True,1.0340108000673354,1540,2,
A,"
C",True,1.296277599874884,1625,3,
D,B,True,0.8155187000520527,1673,2,
D,B,True,0.8604644001461565,1723,2,
B,B,True,0.47179909981787205,1395,2,
