answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,1.135558000067249,1448,1,
A,B,True,1.124943999806419,1620,1,
D,D,True,1.0395438999403268,1486,1,
C,C,True,1.1622914001345634,1536,1,
A,A,True,1.0249195999931544,1437,1,
D,B,True,1.1840455001220107,1427,1,
B,A,True,1.1200818000361323,1384,1,
C,B,True,1.0226876998785883,1423,1,
A,B,True,1.1105324001982808,1465,1,
B,B,True,1.2011370998807251,1448,1,
D,D,True,1.077275900170207,1487,1,
D,B,True,1.1675221000332385,1417,1,
A,A,True,1.135695300064981,1560,1,
B,B,True,1.0726964001078159,1465,1,
D,D,True,1.1315995999611914,1495,1,
B,D,True,1.1365714999847114,1465,1,
D,C,True,1.1061293999664485,1483,1,
A,B,True,1.065815299982205,1549,1,
C,A,True,1.0878355000168085,1537,1,
B,B,True,1.2367604000028223,1522,1,
D,B,True,1.1727634998969734,1622,1,
A,B,True,1.084186399821192,1391,1,
D,B,True,1.0440636000130326,1659,1,
D,B,True,1.0702575999312103,1656,1,
C,C,True,1.1406961001921445,1493,1,
D,B,True,1.1102951001375914,1520,1,
A,B,True,1.2383477000985295,1563,1,
B,B,True,1.0838606001343578,1698,1,
C,A,True,1.1301694000139832,1454,1,
B,A,True,1.127139399992302,1415,1,
B,B,True,1.0199221998918802,1576,1,
B,B,True,1.0819427999667823,1504,1,
D,D,True,1.1348504000343382,1578,1,
C,A,True,1.131275299936533,1569,1,
A,A,True,1.150204700184986,1587,1,
B,B,True,1.1128507000394166,1720,1,
C,B,True,1.1346686000470072,1610,1,
C,D,True,1.0746392000000924,1519,1,
C,C,True,1.183229299960658,1721,1,
B,A,True,1.1144228999037296,1630,1,
D,D,True,1.2281631999649107,2052,1,
C,B,True,1.1772171999327838,1502,1,
B,B,True,1.2372665998991579,1475,1,
C,C,True,1.0594770999159664,1602,1,
B,B,True,1.178772000130266,1679,1,
C,B,True,1.139370599994436,1538,1,
C,C,True,1.10179050010629,1577,1,
C,B,True,0.6152411999646574,1660,1,
A,D,True,0.6682003000751138,1408,1,
C,D,True,0.5157608001027256,1415,1,
C,D,True,0.45502510014921427,1448,1,
A,B,True,0.5692603001371026,1506,1,
C,C,True,0.6364591000601649,1554,1,
B,B,True,0.5048738999757916,1634,1,
C,D,True,0.5113710002042353,1500,1,
C,C,True,0.5707316999323666,1640,1,
B,B,True,0.5583389000967145,1617,1,
C,B,True,0.5174253000877798,1492,1,
A,B,True,0.5127719999291003,1413,1,
A,A,True,0.5997073000762612,1536,1,
D,D,True,0.4996811000164598,1444,1,
D,B,True,0.5698622998315841,1511,1,
C,B,True,0.5063066999427974,1505,1,
C,C,True,0.5089247999712825,1599,1,
B,B,True,0.5551798001397401,1487,1,
B,B,True,0.6096745000686496,1516,1,
A,D,True,0.5523530999198556,1649,1,
B,C,True,0.6705038000363857,1464,1,
B,B,True,0.5742347999475896,1671,1,
C,C,True,0.5524750999175012,1635,1,
C,B,True,0.5687832001131028,1667,1,
B,B,True,0.5085273999720812,1612,1,
C,D,True,0.6315490000415593,1605,1,
B,C,True,0.6121370999608189,1724,1,
C,C,True,0.5566845000721514,1647,1,
C,D,True,0.5666129000019282,1549,1,
D,D,True,0.5646408000029624,1450,1,
D,D,True,0.5193374000955373,1574,1,
C,C,True,0.6139573999680579,1702,1,
A,B,True,0.5078378999605775,1520,1,
A,B,True,0.56902140006423,1550,1,
D,D,True,0.5575027000159025,1686,1,
D,A,True,0.6155763999558985,1454,1,
A,A,True,0.5032665999606252,1610,1,
C,A,True,0.5097364000976086,1470,1,
C,B,True,0.5636005999986082,1484,1,
C,C,True,0.5597073000390083,1622,1,
D,D,True,0.611801200080663,1548,1,
B,B,True,0.5129428000655025,1504,1,
C,C,True,0.6106260998640209,1703,1,
C,C,True,0.5280835998710245,1554,1,
B,B,True,0.5028037000447512,1830,1,
D,D,True,0.5444471999071538,1894,1,
A,B,True,0.6092465999536216,1437,1,
D,D,True,0.5232910001650453,1599,1,
D,D,True,0.5582359000109136,1418,1,
D,D,True,0.6122209001332521,1520,1,
B,B,True,1.1370328001212329,1780,1,
D,B,True,0.5406108999159187,1565,1,
B,B,True,0.6607453001197428,1518,1,
A,B,True,0.4882020999211818,1560,1,
A,B,True,0.6249682998750359,1632,1,
A,D,True,0.5818761000409722,1658,1,
C,B,True,0.6154049001634121,1529,1,
B,C,True,0.510899200104177,1618,1,
B,B,True,0.6261342000216246,1507,1,
A,C,True,0.4877441998105496,1546,1,
D,D,True,0.5613080998882651,1659,1,
D,B,True,0.5696302000433207,1703,1,
A,C,True,0.548058700049296,1484,1,
B,B,True,0.5609545998740941,1477,1,
B,B,True,0.5087313998956233,1514,1,
A,C,True,0.6049112998880446,1596,1,
B,D,True,0.5640509999357164,1547,1,
D,B,True,0.615318899974227,1594,1,
C,C,True,0.5670145999174565,1700,1,
B,B,True,0.49750509997829795,1602,1,
B,B,True,0.5127536000218242,1640,1,
B,D,True,0.5215685998555273,1420,1,
C,B,True,0.54266869998537,1616,1,
C,C,True,0.5635627000592649,1486,1,
D,B,True,0.5575549001805484,1536,1,
B,B,True,0.5496212998405099,1562,1,
C,C,True,0.5566183999180794,1605,1,
A,B,True,0.5951148001477122,1442,1,
B,C,True,0.5200014000292867,1586,1,
A,C,True,0.6186815002001822,1756,1,
A,A,True,0.6038407001178712,1918,1,
