answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,12.591479999944568,2739,1,1291
A,A,True,12.483905700035393,2887,1,1267
D,D,True,10.848713000072166,2584,1,1098
C,C,True,9.947029100032523,2507,1,971
A,A,True,13.5493209999986,2662,1,1225
D,D,True,9.490961200091988,2349,1,922
B,B,True,8.50774719985202,2082,1,698
C,C,True,21.801321800099686,3512,1,2089
A,A,True,10.788266600109637,2378,1,913
B,B,True,12.06944329990074,2603,1,1155
D,D,True,8.767281499924138,2260,1,773
D,D,True,8.753431899938732,2122,1,705
A,A,True,12.852368500083685,2759,1,1199
B,B,True,10.988872300134972,2439,1,974
D,D,True,11.59063269989565,2487,1,992
B,B,True,9.885917800012976,2418,1,953
D,D,True,9.99935150006786,2368,1,885
A,A,True,11.85150510002859,2705,1,1156
C,A,True,10.707758900010958,2521,1,984
B,B,True,11.696916399989277,2355,1,833
D,D,True,13.977521399967372,2898,1,1276
A,A,True,9.069696000078693,2132,1,741
D,D,True,12.479836599901319,2746,1,1087
D,D,True,17.920979300048202,3335,1,1679
C,C,True,15.294122999999672,2511,1,1018
D,D,True,12.383656500140205,2477,1,957
A,D,True,25.382636499824002,4366,1,2803
B,B,True,11.332001599948853,2767,1,1069
C,A,True,31.33128229994327,4767,1,3313
B,B,True,8.811907100025564,2273,1,858
B,B,True,13.751572399865836,3008,1,1432
B,C,True,10.105532699963078,2506,1,1002
D,D,True,13.187431099824607,2826,1,1248
C,C,True,13.64056109986268,2852,1,1283
A,A,True,13.382890600012615,2898,1,1311
B,A,True,14.096940099960193,3086,1,1366
C,C,True,12.333426899975166,2843,1,1233
C,D,True,13.571401100140065,2900,1,1381
C,C,True,13.308956500142813,3058,1,1337
B,B,True,11.967415499966592,2895,1,1265
D,D,True,10.85408419999294,3164,1,1112
C,C,True,11.187361199874431,2677,1,1175
B,B,True,11.04591630003415,2604,1,1129
C,B,True,19.33999350015074,3701,1,2099
B,B,True,11.42189579992555,2873,1,1194
C,A,True,11.842354499967769,2648,1,1110
C,C,True,13.667385400040075,2784,1,1207
C,B,True,11.602585999993607,2632,1,972
A,A,True,7.671447299886495,2236,1,828
C,C,True,7.4576408001594245,2154,1,739
C,B,True,8.610983399907127,2379,1,931
A,A,True,13.433125500101596,3023,1,1517
C,C,True,11.35351030016318,2824,1,1270
B,B,True,11.04404340009205,2805,1,1171
C,C,True,10.945202600210905,2601,1,1101
C,A,True,10.893913000123575,2853,1,1213
B,B,True,11.732204499887303,2924,1,1307
C,C,True,9.138607900124043,2456,1,964
A,A,True,8.508770300075412,2263,1,850
A,A,True,10.454758299980313,2580,1,1044
D,D,True,8.966703300131485,2401,1,957
D,D,True,9.030142500065267,2492,1,981
C,B,True,12.270844399929047,2916,1,1411
C,C,True,10.043852699920535,2709,1,1110
B,C,True,8.742293000221252,2289,1,802
B,B,True,21.769602000014856,3900,1,2384
A,A,True,14.348554600030184,3233,1,1584
B,B,True,8.737919100094587,2063,1,599
B,B,True,11.304069899953902,2639,1,968
C,C,True,13.259726400021464,2817,1,1182
C,C,True,16.735287600196898,3355,1,1688
B,B,True,14.765314699849114,3117,1,1505
C,B,True,15.868256200104952,3067,1,1462
B,A,True,15.186805999837816,3189,1,1465
C,C,True,11.016531700035557,2802,1,1155
C,C,True,10.714434399968013,2773,1,1224
D,D,True,11.905680799856782,2766,1,1316
D,D,True,20.596698499983177,3800,1,2226
C,C,True,10.975788299925625,2825,1,1123
A,A,True,16.005113899940625,3354,1,1834
A,A,True,11.964111600071192,2840,1,1290
D,D,True,11.21102900011465,2909,1,1223
D,D,True,14.921386000001803,2959,1,1505
A,A,True,22.778459300054237,2751,1,1141
C,C,True,7.032928199972957,2027,1,557
C,C,True,12.072710999986157,2401,1,917
C,C,True,10.141435300000012,2609,1,987
D,D,True,11.933100099908188,2719,1,1171
B,B,True,10.974627499934286,2522,1,1018
C,C,True,12.284061100101098,2914,1,1211
C,C,True,12.015903800027445,2461,1,907
B,B,True,14.569863699842244,3262,1,1432
D,D,True,16.820478399982676,3688,1,1794
A,A,True,9.953169799875468,2477,1,1040
D,A,True,13.24470299994573,2933,1,1334
D,C,True,14.820247000083327,2863,1,1445
D,D,True,10.343054299941286,2567,1,1047
B,B,True,12.182219399837777,3054,1,1274
D,D,True,15.209459299920127,3027,1,1462
B,B,True,10.942651099991053,2475,1,957
A,A,True,14.112097699893638,2982,1,1422
A,A,True,14.552210499998182,3009,1,1377
A,A,True,13.738530199974775,2995,1,1337
C,C,True,10.297990600112826,2555,1,1026
B,B,True,10.668857299955562,2710,1,1092
B,B,True,9.650949799921364,2531,1,1024
A,A,True,9.385983299929649,2531,1,985
D,A,True,11.58018200006336,2961,1,1302
D,D,True,12.006307599833235,2915,1,1212
A,A,True,16.490338300121948,2597,1,1113
B,B,True,11.672539900057018,2666,1,1189
B,B,True,10.888964400161058,2586,1,1072
A,A,True,11.969868299784139,2666,1,1070
B,D,True,20.368810900021344,3612,1,2065
D,C,True,13.686985699925572,2839,1,1245
C,C,True,12.981347399996594,2889,1,1189
B,D,True,14.815452400129288,2895,1,1293
B,D,True,10.802457799902186,2710,1,1070
B,B,True,9.838822700083256,2397,1,977
C,C,True,12.100355200003833,2770,1,1154
C,D,True,11.252193300053477,2596,1,1110
D,A,True,7.379536799853668,2154,1,618
B,B,True,13.029333800077438,2852,1,1290
C,C,True,12.907587199937552,2913,1,1308
A,A,True,9.355106899980456,2322,1,880
B,B,True,12.188527599908412,2801,1,1215
A,A,True,19.031975000165403,3508,1,1752
A,A,True,17.456935100024566,3766,1,1848
C,C,True,12.34397320006974,2961,1,1311
A,A,True,11.578821299830452,2710,1,1042
D,D,True,13.837580300169066,3268,1,1516
C,C,True,13.177493499824777,3105,1,1341
B,B,True,9.552242199890316,2494,1,991
D,A,True,12.067718999926,3096,1,1165
D,D,True,13.480774899944663,2892,1,1254
B,D,True,10.650148399872705,2783,1,1066
C,C,True,15.444257099879906,3021,1,1530
C,A,True,6.798882200149819,2032,1,549
C,C,True,14.019288300070912,3021,1,1376
B,B,True,11.931008799932897,2561,1,1004
C,C,True,11.159922200022265,2746,1,1168
D,D,True,15.08066050009802,3087,1,1453
C,C,True,9.719900500029325,2561,1,995
A,A,True,8.50962939998135,2433,1,840
B,B,True,15.057862600078806,3022,1,1320
B,B,True,12.69159989990294,2726,1,1160
B,D,True,16.618919000029564,3163,1,1514
C,C,True,13.809603899950162,3006,1,1333
A,A,True,8.968499399954453,2144,1,710
B,B,True,21.84113630000502,3736,1,2134
C,D,True,19.68462279997766,3507,1,1998
B,B,True,11.933697799919173,2721,1,1137
D,D,True,18.24900870001875,3782,1,1960
B,B,True,12.340653100050986,2759,1,1158
A,A,True,11.220789899816737,2700,1,1107
C,A,True,14.978986100060865,3476,1,1544
B,B,True,12.567331800004467,2767,1,1194
C,C,True,12.412104399874806,2684,1,1184
C,C,True,7.706827300135046,2210,1,765
C,C,True,11.704027300002053,2617,1,1128
A,A,True,14.691008500056341,3110,1,1449
B,B,True,10.594611200038344,2513,1,1026
B,B,True,6.3370495000854135,2017,1,525
D,D,True,11.514899700181559,2738,1,1123
D,A,True,9.450880100019276,2438,1,964
D,A,True,12.470346600050107,2680,1,1204
A,A,True,13.790546600008383,2899,1,1345
D,D,True,7.635589299956337,2494,1,748
C,C,True,11.126655800035223,2701,1,1173
B,B,True,13.606451499974355,3429,1,1488
D,B,True,13.54390069982037,3535,1,1593
D,D,True,8.09065889986232,2640,1,920
C,C,True,10.33005249989219,2493,1,1037
D,D,True,9.921193399932235,2595,1,1021
D,B,True,16.27926540002227,3403,1,1849
B,B,True,10.676632000133395,2855,1,1074
C,C,True,12.809367100009695,2953,1,1084
C,C,True,14.756012399913743,2575,1,1042
C,C,True,13.224597600055858,2730,1,1189
A,A,True,14.033623300027102,3055,1,1430
D,D,True,12.367883100174367,3057,1,1383
D,B,True,16.82200750010088,3358,1,1634
B,B,True,8.428056699922308,2081,1,685
