answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,9.267169700000522,2093,1.0,645
A,A,True,12.241827800000465,2485,1.0,865
D,D,True,7.0167261000005965,1898,,413
C,C,True,6.361196699999709,1925,1.0,389
A,A,True,33.868090900001334,3950,1.0,2513
D,D,True,18.981369099999938,2625,1.0,1198
B,B,True,7.1724549999999,1870,,487
C,C,True,14.75868939999964,2484,1.0,1061
A,A,True,9.51540120000027,2117,1.0,652
B,B,True,8.720519000000422,2004,1.0,556
D,D,True,6.150473100000454,1811,1.0,324
D,D,True,22.281566600000588,3105,1.0,1688
A,A,True,12.123412400000234,2429,1.0,869
B,B,True,9.744302799999787,2181,1.0,716
D,D,True,8.558609300000171,1886,1.0,391
B,B,True,11.790718899999774,2287,1.0,822
D,D,True,8.970280199999252,2056,1.0,573
A,A,True,11.626424300000508,2284,1.0,735
C,C,True,8.358452200000102,2093,1.0,556
B,B,True,10.856483900000967,2242,,721
D,D,True,11.126275099999475,2302,,681
A,A,True,11.673770699999295,2242,,852
D,D,True,10.358953699998892,2374,1.0,715
D,D,True,11.284788400000252,2336,,681
C,C,True,9.19631389999995,2065,1.0,572
D,D,True,14.516692700000931,2518,,999
A,A,True,33.473791500000516,3829,1.0,2266
B,B,True,11.984588999999687,2449,1.0,751
C,C,True,25.003424900000027,3334,1.0,1880
B,B,True,11.86903280000115,2171,1.0,756
B,B,True,12.25722560000031,2421,,846
B,C,True,6.112925299999915,1821,,318
D,D,True,7.511115100000097,2055,1.0,477
C,C,True,8.603216699999393,2108,1.0,539
A,A,True,9.511452599999757,2135,1.0,548
B,B,True,9.645860799999355,2267,1.0,547
C,C,True,11.110298199999306,2357,1.0,747
C,C,True,64.81765079999968,6464,1.0,4945
C,C,True,10.001055200000337,2426,1.0,705
B,B,True,8.194001800000478,2150,1.0,520
D,D,True,10.314813000000868,2802,1.0,750
C,C,True,13.182021799999347,2479,,978
B,B,True,7.939888700000665,1918,1.0,443
C,C,True,15.67677249999906,2774,1.0,1172
B,B,True,11.951888900000995,2626,1.0,947
C,A,True,31.532897699999012,3871,1.0,2333
C,C,True,15.23405400000047,2538,1.0,961
C,B,True,11.021813200000906,2303,1.0,643
A,A,True,11.07655159999922,2236,1.0,828
C,C,True,14.330936199999996,2503,1.0,1088
C,B,True,11.462130199999592,2271,1.0,823
A,A,True,8.615094299999328,2061,1.0,555
C,C,True,5.930580000000191,1926,1.0,372
B,B,True,4.874529799999436,1946,1.0,312
C,C,True,42.88881890000084,4758,1.0,3258
C,A,True,38.81871780000074,4132,1.0,2492
B,B,True,13.442273700000442,2690,1.0,1073
C,C,True,10.513002100000449,2249,1.0,757
A,A,True,9.823304700001245,2074,1.0,661
A,A,True,10.22198329999992,2221,1.0,685
D,D,True,11.220651100000396,2321,1.0,877
D,D,True,11.426122900000337,2380,1.0,869
C,C,True,25.126133699999627,3343,1.0,1838
C,C,True,4.824730699998327,1892,1.0,293
B,B,True,21.639002800000526,3115,1.0,1628
B,B,True,32.47355029999926,3955,1.0,2439
A,A,True,18.07116599999972,2811,1.0,1162
B,B,True,7.14012940000066,1949,1.0,485
B,B,True,8.780807699999059,2189,1.0,518
C,C,True,19.638767200000075,3218,1.0,1583
C,B,True,58.6196060000002,5876,1.0,4209
B,B,True,16.686789400000634,2942,1.0,1330
C,C,True,10.737939999999071,2417,,813
B,B,True,13.093213500000275,2701,1.0,977
C,C,True,14.324987399999372,2715,1.0,1068
C,C,True,11.794867500000692,2381,,833
D,D,True,6.6748342999999295,1904,1.0,454
D,A,True,14.27920499999891,2522,1.0,948
C,C,True,10.812143499999365,2559,1.0,857
A,A,True,22.05114709999907,3199,1.0,1679
A,A,True,17.806380799998806,2819,1.0,1269
D,D,True,6.935109500000181,2135,1.0,449
D,D,True,16.406652900001063,2657,1.0,1203
A,A,True,12.880565800000113,2491,1.0,881
C,C,True,7.514876700000968,1973,1.0,503
C,C,True,11.71247399999993,2244,1.0,760
C,C,True,8.647972600001594,2286,1.0,664
D,D,True,8.377969099999973,2173,1.0,625
B,B,True,7.232660300000134,1919,1.0,415
