answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D.,True,9.910540500190109,1734,468,448
A,C,True,11.678977999836206,2070,659,640
D,D,True,9.965594099834561,1902,595,576
C,C,True,6.869206200120971,1687,339,320
A,A,True,6.71055469987914,1540,275,256
D,D,True,8.170338000170887,1789,531,512
B,B,True,4.027469499967992,1430,211,192
C,B,True,9.67187640001066,1717,467,448
A,B,True,9.102138000074774,1561,275,256
B,B,True,5.744640100048855,1607,339,320
D,D,True,2.4779936999548227,1390,83,64
D,C,True,8.77869369997643,1770,531,512
A,A,True,12.714150699786842,2286,915,896
B,B,True,7.133095899829641,1757,467,448
D,D,True,14.273639100138098,2228,915,896
B,B,True,5.4878732999786735,1569,275,256
D,C,True,9.76305489987135,1835,531,512
A,A,True,16.328363300068304,2266,915,896
C,A,True,12.722984600113705,2329,979,960
B,B,True,7.0708208999130875,1681,339,320
D,D.,True,8.60778749990277,1979,532,512
A,D,True,4.410272000124678,1501,275,256
D,D.,True,12.222880800021812,2242,788,768
D,D.,True,5.5941107999533415,1807,340,320
C,C,True,8.289223000174388,1845,531,512
D,D,True,11.032275900011882,2135,787,768
A,A,True,15.425589999882504,2357,979,960
B,B.,True,7.450341699877754,1969,468,448
C,C.,True,26.161740799900144,3219,1940,1920
B,B,True,7.047354199923575,1588,339,320
B,B.,True,9.189093900145963,1990,596,576
B,C.,True,14.416914000175893,2372,1044,1024
D,D,True,9.617156699998304,1863,467,448
C,C.,True,4.654302399838343,1654,276,256
A,A,True,6.400645900052041,1667,275,256
B,A,True,9.521074299933389,2112,595,576
C,C,True,5.63095619995147,1704,275,256
C,D.,True,7.549220399931073,1742,404,384
C,C,True,10.529777399962768,2103,595,576
B,A,True,6.128176599973813,1714,275,256
D,C,True,15.770842300029472,2973,1171,1152
C,C,True,9.428877600003034,1653,339,320
B,B,True,8.442353500053287,1637,339,320
C,B,True,14.04795360006392,2455,1043,1024
B,B,True,6.214380100136623,1886,403,384
C,C,True,5.9784207998309284,1696,339,320
C,C,True,10.016039199894294,1924,531,512
C,B,True,7.123055800097063,1787,339,320
A,A,True,5.988180499989539,1517,275,256
C,C,True,5.304441699991003,1511,275,256
C,B,True,13.805400100070983,2255,980,960
A,B,True,5.914441999979317,1539,211,192
