answers,resps,success
D,,True
A,"**Amsa:**  
**B. Ku samar da hotuna iri-iri na nau'o'in bishiyoyi daban-daban, sannan ku tambayi ɗalibai su rarraba su zuwa ga waɗanda ke da 'ya'ya da waɗanda ba su da shi.**

---

**Tallaci:**  
Wanne kuma yana da ƙarin koyi don tantance nasarar koyon ɗalibai a cikin Aji na ɗaya, **option B** yana iya haɗawa domin **kowane bishiyoyi** (substances) ke **rarraba su zuwa ga waɗanda ke da 'ya'yan itace** (property) da waɗanda ba su da shi. Wanne kuma yana iya iya **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi** domin **ƙarin koyi",True
D,"**Amsa:** B. *Zuciyar mutum girmanta kamar na dunkulalliyar hannunsa ce.*

**Tallaci:**  
Wanne B ya gabatawa kuskuren fahimta game da *zuciya* (photosynthesis) kacidda yake koyar da *carbon dioxide* (CO₂) tare da *ƙarfi* (leaves) don ƙwarewa *sunlight* kuma ya ƙira *glucose* da *oxygen*. A karkashin ilimin biyoloji, zuciya ce aiki na mutum (da suka bincika) don koyar da CO₂, *water* (H₂O), da *sunlight* kuma ya ƙira *glucose* (mata) da *oxygen* (oxygen). Kamar yake, CO₂ ya dace zuwa mutum tare da ƙarfi, kuma yake ƙira oxygen, kamar koyar da ""dunkulalliyar hannunsa"" (respiration) inda mutum su koyar da oxygen kuma su ƙira CO₂. 

**Kamata B ya iya bai:**
- **CO₂** (carbon dioxide) *yana da kuskuren fahimta* game da zuciya, kamar yake *dauke da ƙarfi* don koyar da su.
- **Sunlight** (sunlight) *yana da ƙarfi* don ƙira energy.
- **Oxygen** (oxygen) *yana da ƙarfi* don ƙira kuma *yauka zuwa ƙasa* (atmosphere).

**Kamata wasu B ya iya bai:**
- **A:** *Takan ƙara ƙarfi* (absorbs something through leaves) *kuma* ""wasanni"" (maybe water or nutrients) *kamar yake, ƙarfi yana da kuskuren koyar da CO₂*, lekun ""wasanni"" *kuma* ""water"" *kuma* ""nutrients"" *kafin koyar da CO₂*.
- **C:** *Zuciya tana sa jini ya ɗauki oxygen zuwa jiki* – *Oxygen* *yauka zuwa ƙasa*, *kuma* *mutum su koyar da su tare da ƙarfi*, *kuma* *su ƙira zuwa jiki* (blood) *tare da ƙwarewa* (respiration).
- **D:** *Zuciya ce ke samar da jinin da yake zuwa ga dukkanin jiki* – *Jini* (glucose) *yana da ƙarfi* don *ƙira* (produce) *tare da zuciya*, *kuma* *yake zuwa ga dukkanin jiki* (blood) *tare da * (through) *mutum su koyar da oxygen* (respiration), *kuma* *kafin ƙira* (produce) *tare da zuciya*.

**Kamata B ya iya bai:**  
- *Girmanta* (take in) *carbon dioxide* (CO₂) *kamar na dunkulalliyar hannunsa* (like breathing) *yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi don ƙira energy, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *game da ƙira oxygen* (oxygen) *da yake yauka zuwa ƙasa.*  

**Kamata B ya iya bai:**  
- *Wanne B yana nuna cewa mutum su koyar da CO₂ tare da ƙarfi, kamar koyar da oxygen tare da ƙwarewa.*  
- *Wanne aiki yana da ƙarfi* (process) *game da koyar da CO₂* (carbon dioxide) *da suka bincika*, *kuma* *yana da ƙarfi* (process) *",True
C,"**Amsa:** B. Lura da aka jagoranta  

**Tallaci:**  
Malamar ke amfani da **lura da jagoranta** (observation and analysis) domin sanyar yaran tasowa. Wanne da ke nuna cewa sun tattara nau’oin ganyen furanni (lura), sun kwatanta siffofi (jagoranta), da sun saka ganyen furannin a cikin kwano (eksperimen). Wanne da ke samun yana da ƙungiyar **lura** (observation) da **jagoranta** (analysis) kuma ke samun **eksperimen** (experiment) wanda ke nuna cewa suke amfani da **metoda ilimin kimiyya** (scientific method).  

**Kamata:**  
- **Lura da jagoranta** (B) ke samun yana da ƙungiyar amfani da **lura** (tattara nau’oin) da **jagoranta** (kwatanta siffofi), wanda ke samun cikin aiki.  
- **Gwaji** (A) ke nuna eksperimen, amma eksperimen ke samun yana da ƙungiyar **lura da jagoranta**.  
- **Tsara hasashe** (C) ke nuna fikirin kimiyya, amma yana da ƙungiyar **lura da jagoranta**.  
- **Kwatanta bayanai** (D) ke nuna amfani da data, amma yana da ƙungiyar **lura da jagoranta**.  

**Kamata:** Malamar ke amfani da **lura da jagoranta** (B) domin sanyar yaran tasowa.",True
A,"**Amsa:** C. Dawakiya

**Tallaci:**  
A cikin aiki da aka nuna, malamar ta girgiza kwalbar ruwa, mai, da glycerin kuma ta nuna yadda ruwan ke tashi sama (yawaita) a lokacin narkewa, kuma mai da glycerin ke amfani. Wanne da ke tashi sama (ruwa) ke amfani kuma ke zama a ƙasa, don haka, siffa ta abubuwa da ke nuna ce **dawakiya**. Dawakiya ce wani kimiyya da ke raba abubuwan da suka ga farko tare da farko da farko tare da farko da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko tare da farko t",True
D,"**Amsa:** B. Canjin ƙanƙara zuwa tururi ta sanadiyar aikin Rana

**Bayani:**  
Narrative text (yanayi) yana da ƙungiyoyin kimiyya kamar:  
1. **Kimiyya** – Yanayi yana da kimiyya (Rana) da aikin su (canjin ƙanƙara).  
2. **Aiki da ƙungiyoyin** – Aiki yana da ƙungiyoyin (canjin ƙanƙara zuwa tururi) da suka amfani da *tururi* (mataki) da *sanadiyar aikin* (wata lokaci).  
3. **Tatsari** – Yanayi yana nuna wani aiki da suka amfani da *zuwa* (hakkin) da *ta* (kafin), wanda yana nuna ƙungiyoyin da suka amfani da *tururi* da *sanadiyar aikin*.  

**Kullum:**  
- **A** da **C** yana da *faduwar* da *sanyin*, wanda yana nuna descriptive text (yanayi na ƙarfi).  
- **D** yana da *jikewar*, wanda yana nuna natural event, kuma bai yana da kimiyya.  
- **B** yana da kimiyya (Rana), aiki (canjin ƙanƙara), da mataki (tururi), wanda yana nuna narrative text.",True
B,"**Amsa:**  
**A. Tarawa (Sublimation)**  

**Bayan:**  
Sublimation (Tarawa) ce wani aiki na kimiyya inda abu (solid) yana badawa zuwa gas don kafin badawa zuwa liki (liquid). Manki, kafin sublimation ke kowace kimiyya na daskararre (solid) badawa zuwa gas, kamar dry ice (CO₂ solid) yana badawa zuwa gas don kafin.  

**Kullum:**  
- **B. Condensation (Tarwada)**: Gas badawa zuwa liki.  
- **C. Evaporation (Bushewa)**: Liki badawa zuwa gas.  
- **D. Melting (Fuzarwa)**: Daskararre badawa zuwa liki.  

**Sauyin yanayi** na kwarewa (solid → gas) **ke sublimation**.",True
C,"**Amsa:** D. Yanayi, iska, da hazo

**Harafin:**  
A cikin matsayin ""Duniya Ta,"" malami ya kamata ya la'akari da **yanayi** (theme), **iska** (character), da **hazo** (conflict) kamar abubuwan muhimman cikin abinci. Yanayi yana nuna idanin rawaya, iska yana nuna wajen ƙwallon ƙasa, da hazo yana nuna ƙungiyar ƙasa-ƙasa au ƙungiyar ƙasa da ƙungiyar. Wanne su ne kamar abubuwan muhimman cikin abinci, kamar kungiyoyin kimiyya da suka bincika. Kamar haka, **D** ce amsa da ke samar.",True
A,"**Amsa:** D. Canjin yanayin zafin teku  

**Tallaci:**  
Boiling (raƙuman ruwa) ya kamata canjin yanayin zafin teku (phase change) don ruwa, kamar yadda ruwa (liquid) ya canji zuwa gas (vapor). A cikin kimiyya, lokacin da ruwa ya koyoyi, kina matukar (kinetic energy) na masu molekula na ruwa ya zai da dacewa don canji zuwa zafin gas. Lokacin da kina matukar ya koyoyi zuwa dacewa, molekula su ya canji zuwa zafin gas, kuma su ya ƙidaya a cikin form na bubbles.  

**Matsayin babban dalilin:**  
- **Canjin yanayin zafin teku** (Option D) ya kamata babban dalilin kimiyya game da boiling, kamar yadda ruwa ya canji zuwa gas.  
- **Bambance-bambancen zafin sararin samaniya** (Option C) ya kamata kina matukar, amma kina matukar ya kamata babban dalilin, amma canjin zafin teku wajen babban dalilin.  
- **Ƙarfin jan hankali na Wata** (Option B) amma koyi, kamin kamin ruwa ya canji zuwa gas, amma ruwa yana da zafin hankali kafin.  
- **Iskan** (Option A) amma koyi, amma koyi kuma babban dalilin.  

**Hakiman:** D. Canjin yanayin zafin teku.",True
B,"**Amsa:** D. A lokacin wasa a fili, Soledad ta murza wasu iri a hannunta ta ce: Mai kaifi.

**Bayani:**  
Wannan aiki ne kamar kwarewar bincike na *tragic hero* (ƙarewa mai motsi), kamar kuma kwarewar *hamartia* (karkata mai motsi). A cikin karkin Soledad, koyin ""Mai kaifi"" (kamar ""I caused it"" / ""Shin kaifi"") yana nuna cewa karkata su yana da ƙamshi mai motsi, kuma suka koyi daga cikin su. Wannan yana samun *hubris* (zaki) ko *self-inflicted downfall*, kamar koyin bincike na kimiyya.  

**Kasancewa:**  
- **A** da **B** da **C** za su nuna aikin kusur, leda, ko ƙarfi, kuma su koyi kusur mai motsi.  
- **D** yana nuna karkata mai motsi (Soledad) da suka koyi daga cikin su, kuma suka kalla daga kusur su, kamar koyin bincike na kimiyya.  

**Karin ƙarewa:**  
Soledad ta koyi ""Mai kaifi"" yana samun cewa karkata su yana da ƙamshi mai motsi, kuma suka koyi daga cikin su, kamar koyin bincike na kimiyya.",True
