answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,3.1923986000474542,1175,4,0
B,B,True,3.6505696999374777,1247,4,0
A,D,True,3.659793399972841,1203,4,0
C,B,True,2.4648967999964952,1133,4,0
B,C,True,4.295859699836001,1230,4,0
D,D,True,2.5289988999720663,1202,4,0
D,B,True,3.670915399910882,1297,4,0
D,B,True,2.789043700089678,1222,4,0
A,B,True,2.828611899865791,1207,4,0
D,D,True,3.0476720998995006,1273,4,0
C,C,True,2.6437076998408884,1458,4,0
C,B,True,3.8894986000377685,1479,4,0
B,B,True,3.4773854999803007,1182,4,0
A,B,True,2.6168130999431014,1463,4,0
D,D,True,3.449632199946791,1245,4,0
C,B,True,3.750852999975905,1252,4,0
D,D,True,2.3598605000879616,1404,4,0
B,D,True,3.152902100002393,1373,4,0
A,C,True,4.02568000019528,1470,4,0
C,C,True,3.522348599974066,1344,4,0
B,B,True,3.021443699952215,1200,4,0
D,D,True,2.512885400094092,1182,4,0
B,B,True,2.403964899946004,1323,4,0
D,D,True,3.1460339999757707,1274,4,0
D,B,True,3.2937096999958158,1374,4,0
C,D,True,2.7148217000067234,1361,4,0
A,D,True,3.4098129998892546,1119,4,0
B,C,True,2.516773299779743,1473,4,0
B,B,True,3.242793000070378,1265,4,0
A,B,True,2.529936899896711,1321,4,0
D,C,True,2.617143100127578,1340,4,0
C,C,True,2.6082997999619693,1239,4,0
A,C,True,4.034314400050789,1275,4,0
B,D,True,2.53824540018104,1278,4,0
B,B,True,3.544522900134325,1307,4,0
A,B,True,3.3849909000564367,1202,4,0
A,B,True,2.7864414998330176,1128,4,0
B,B,True,4.617065099999309,1373,4,0
B,B,True,3.224558199988678,1527,4,0
D,C,True,3.3968274001963437,1344,4,0
C,D,True,3.4157018000259995,1414,4,0
C,B,True,4.284056800184771,1151,4,0
C,B,True,2.328618000028655,1157,4,0
B,D,True,2.6271647000685334,1251,4,0
C,C,True,3.4297913000918925,1415,4,0
A,D,True,2.6152632001321763,1596,4,0
B,B,True,2.197292299941182,1434,4,0
A,D,True,2.4284903998486698,1330,4,0
C,D,True,3.9918919999618083,1459,4,0
A,B,True,2.7990431000944227,1302,4,0
A,B,True,2.160951500060037,1436,4,0
C,C,True,2.4804847000632435,1352,4,0
C,B,True,3.873103199992329,1242,4,0
B,B,True,3.896566800074652,1349,4,0
D,D,True,3.0663618000689894,1388,4,0
A,D,True,2.55893940012902,1410,4,0
B,D,True,2.8221402000635862,1315,4,0
C,C,True,2.7789944999385625,1376,4,0
C,B,True,3.5781345998402685,1280,4,0
D,B,True,3.0170378000475466,1313,4,0
C,D,True,3.5984846998471767,1179,4,0
A,D,True,3.147385000018403,1229,4,0
D,D,True,3.5389711000025272,1313,4,0
D,D,True,2.9819638000335544,1215,4,0
B,B,True,3.1711828999686986,1435,4,0
C,B,True,2.593118399847299,1574,4,0
C,C,True,2.2866860998328775,1696,4,0
B,B,True,2.483739900169894,1326,4,0
D,D,True,3.4232524998951703,1496,4,0
C,B,True,2.915600299835205,1254,4,0
D,B,True,3.272747299866751,1194,4,0
B,B,True,2.815926400013268,1299,4,0
A,B,True,2.856676399940625,1177,4,0
B,A,True,2.793879000004381,1169,4,0
A,B,True,3.0550621999427676,1374,4,0
C,B,True,4.013804299989715,1485,4,0
D,D,True,2.931970200035721,1565,4,0
C,B,True,2.227821100037545,1450,4,0
D,B,True,2.8477809000760317,1413,4,0
D,C,True,2.7932117998134345,1277,4,0
C,C,True,3.2081590997986495,1253,4,0
C,C,True,2.8638772000558674,1677,4,0
C,C,True,2.360344900051132,1325,4,0
C,C,True,3.861611299915239,1311,4,0
C,B,True,3.597131999908015,1200,4,0
D,B,True,2.348726100055501,1364,4,0
D,C,True,2.781173399882391,1484,4,0
B,C,True,2.8761544001754373,1282,4,0
A,D,True,2.8605234001297504,1344,4,0
D,B,True,2.559051600052044,1255,4,0
A,B,True,2.278629699954763,1372,4,0
A,B,True,2.8549375999718904,2007,4,0
C,B,True,2.5838310001417994,1322,4,0
B,B,True,3.2081828999798745,1389,4,0
A,D,True,3.4318802000489086,1407,4,0
C,C,True,2.3938310998491943,1388,4,0
B,B,True,3.557376699987799,1275,4,0
C,C,True,2.6105761998333037,1524,4,0
D,B,True,2.835497400024906,1274,4,0
D,D,True,4.4677794999442995,1632,4,0
D,D,True,2.465996199985966,1421,4,0
C,C,True,4.181191199924797,1603,4,0
C,C,True,3.291781100211665,1717,4,0
D,D,True,2.9659233998972923,1538,4,0
A,D,True,3.088901999872178,1084,4,0
D,C,True,3.7164475000463426,1719,4,0
D,D,True,3.0870642999652773,1377,4,0
D,D,True,2.6686052000150084,1389,4,0
C,C,True,2.9118149001151323,1614,4,0
B,B,True,2.6742857999633998,1163,4,0
C,B,True,2.6958021000027657,1525,4,0
C,C,True,2.5046391000505537,1661,4,0
B,C,True,4.528379500145093,1398,4,0
C,C,True,3.552028000121936,1424,4,0
B,D,True,2.79103869991377,1566,4,0
A,D,True,4.240316899958998,1455,4,0
D,D,True,3.202361200004816,1683,4,0
B,B,True,2.5850472000893205,1530,4,0
D,D,True,2.8720647001173347,1552,4,0
B,B,True,2.661807700060308,1428,4,0
A,D,True,3.158940799999982,1357,4,0
D,D,True,2.966950099915266,1614,4,0
C,C,True,3.3466460001654923,1555,4,0
A,B,True,2.9759672998916358,1264,4,0
A,D,True,3.8056260000448674,1485,4,0
B,B,True,3.2128717999439687,1270,4,0
B,B,True,3.743812399916351,1344,4,0
C,B,True,2.154518999857828,1325,4,0
D,D,True,5.9618861000053585,1431,4,0
D,B,True,3.5591414999216795,1586,4,0
B,B,True,3.369732200168073,1639,4,0
A,C,True,3.085331700043753,1268,4,0
C,B,True,3.2276826999150217,1868,4,0
C,C,True,2.668269199784845,1196,4,0
C,C,True,2.82338529988192,1473,4,0
B,B,True,3.6210798998363316,1479,4,0
C,C,True,2.59136820002459,1372,4,0
D,D,True,3.2539200000464916,1434,4,0
C,C,True,2.9800769998691976,1755,4,0
C,C,True,2.734401899855584,1435,4,0
D,B,True,3.4194640000350773,1355,4,0
C,D,True,3.207125299843028,1705,4,0
C,C,True,3.802682900102809,1680,4,0
D,D,True,4.040322400163859,1423,4,0
D,A,True,3.8389104001689702,1366,4,0
B,B,True,3.2120936000719666,1220,4,0
A,B,True,3.1770639999303967,1351,4,0
