answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,1.2049045998137444,1047,1,
B,A,True,1.1859159001614898,1112,1,
A,D,True,1.3398723001591861,1067,1,
C,C,True,1.3317010998725891,1007,1,
B,D,True,1.2294369000010192,1093,1,
D,D,True,1.2285494999960065,1071,1,
D,D,True,1.2780528999865055,1156,1,
D,C,True,1.330910800024867,1081,1,
A,B,True,1.3328718999400735,1076,1,
D,B,True,1.1839746001642197,1133,1,
C,C,True,1.3615645999088883,1290,1,
C,B,True,1.4780882999766618,1324,1,
B,B,True,1.2099733999930322,1053,1,
A,B,True,1.2230260998476297,1299,1,
D,D,True,1.3429993998724967,1106,1,
C,C,True,1.33016029978171,1101,1,
D,B,True,1.4036110998131335,1247,1,
B,B,True,1.2291985000483692,1209,1,
A,C,True,1.330223900033161,1307,1,
C,C,True,1.298503400059417,1196,1,
B,D,True,1.3319667999166995,1065,1,
D,C,True,1.254472500178963,1055,1,
B,B,True,1.3523522999603301,1180,1,
D,D,True,1.0829018999356776,1128,1,
D,B,True,1.2303048002067953,1215,1,
C,C,True,1.3599440001416951,1214,1,
A,C,True,1.3247706000693142,998,1,
B,B,True,1.271612600190565,1309,1,
B,D,True,1.1829903000034392,1121,1,
A,A,True,1.215543899917975,1173,1,
D,C,True,1.3787022999022156,1195,1,
C,B,True,1.2291838000528514,1096,1,
A,A,True,1.3017817998770624,1139,1,
B,C,True,1.3637739999685436,1142,1,
B,B,True,1.3869258998893201,1161,1,
A,C,True,1.2449078999925405,1062,1,
A,B,True,1.3330842000432312,998,1,
B,B,True,1.0508830999024212,1219,1,
B,B,True,1.0999511000700295,1385,1,
D,C,True,1.2779405999463052,1193,1,
C,C,True,0.7641401998698711,1262,1,
C,C,True,0.8013950001914054,1027,1,
C,D,True,0.5336694999132305,1023,1,
B,B,True,0.9035835000686347,1110,1,
C,C,True,0.6132064999546856,1251,1,
A,B,True,0.6526080998592079,1420,1,
B,A,True,0.8194419001229107,1270,1,
A,D,True,0.9231308999005705,1182,1,
C,B,True,0.820684399921447,1301,1,
A,B,True,0.9218794000335038,1161,1,
A,B,True,0.819508200045675,1284,1,
C,C,True,0.7016535000875592,1202,1,
C,B,True,0.8089676001109183,1111,1,
B,B,True,0.8221537999343127,1196,1,
D,D,True,0.7173068998381495,1236,1,
A,B,True,0.7174201000016183,1250,1,
B,D,True,0.7167155998758972,1167,1,
C,C,True,0.8172766999341547,1234,1,
C,D,True,0.8189853001385927,1123,1,
D,B,True,0.5674916000571102,1152,1,
C,D,True,0.647055699955672,1052,1,
A,C,True,0.5377503000199795,1100,1,
D,B,True,0.752244699979201,1176,1,
D,D,True,0.6157358000054955,1087,1,
B,B,True,0.8658083998598158,1273,1,
C,B,True,0.8410491000395268,1403,1,
C,C,True,0.5467827001120895,1509,1,
B,B,True,0.7153426001314074,1175,1,
D,D,True,0.7879987000487745,1334,1,
C,B,True,0.8088348000310361,1111,1,
D,A,True,0.7973573999479413,1061,1,
B,B,True,0.7182181999087334,1155,1,
A,D,True,0.8182872000616044,1051,1,
B,A,True,0.7181347999721766,1036,1,
A,B,True,0.8021899000741541,1221,1,
