answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,2.1829637999180704,1056,2,
B,"
A",True,5.1427895000670105,1122,3,0.0
A,"
A",True,0.8118481999263167,1076,3,
C,B,True,1.459422100102529,1016,2,
B,C,True,1.8455266000237316,1102,2,
D,A,True,1.436788200167939,1080,2,
D,D,True,1.8302050998900086,1165,2,
D,"
D",True,2.165925499983132,1091,3,0.0
A,"
B",True,0.7155400000046939,1085,3,
D,"
B",True,2.131814999971539,1143,3,0.0
C,A,True,0.902706400025636,1299,2,
C,C,True,1.8592201001010835,1333,2,
B,B,True,1.3668414000421762,1062,2,
A,B,True,1.772783099906519,1308,2,
D,B,True,1.569211000110954,1115,2,
C,A,True,1.7441369998268783,1110,2,
D,"
B",True,2.0992083998862654,1257,3,0.0
B,"
B",True,1.730156800011173,1219,3,0.0
A,C,True,2.5873444001190364,1316,2,
C,"
C",True,1.327930600149557,1205,3,
B,"
B",True,2.215863100020215,1075,3,0.0
D,"
C",True,0.6508549000136554,1064,3,
B,D,True,1.994868200039491,1189,2,
D,D,True,1.9305233000777662,1137,2,
D,B,True,0.8808640001807362,1224,2,
C,"
C",True,2.4348138000350446,1224,3,0.0
A,"
D",True,0.9781987001188099,1007,3,
B,D,True,0.8565271999686956,1318,2,
B,B,True,1.655797499930486,1130,2,
A,"
A",True,1.4702028001192957,1183,3,0.0
D,C,True,1.1625968001317233,1204,2,
C,"
A",True,1.5718368999660015,1106,3,0.0
A,B,True,1.0697683999314904,1148,2,
B,"
C",True,0.7010680001694709,1151,3,
B,B,True,2.3280009001027793,1170,2,
A,"
A",True,1.7482247999869287,1072,3,0.0
A,B,True,0.8627825998701155,1007,2,
B,B,True,1.190908299991861,1228,2,
B,"
B",True,0.86927459994331,1394,3,
D,"
C",True,0.744884500047192,1202,3,
C,D,True,3.192597399931401,1271,2,
C,B,True,0.9297007999848574,1036,2,
C,D,True,0.8251922999043018,1032,2,
B,B,True,1.048978399951011,1119,2,
C,"
A",True,1.4747182000428438,1261,3,0.0
A,"
B",True,1.5178662000689656,1430,3,0.0
B,"
C",True,0.7919743000529706,1279,3,
A,C,True,1.2098052999936044,1191,2,
C,"
B",True,0.7645564000122249,1310,3,
A,"
D",True,1.59490150003694,1171,3,0.0
A,C,True,1.2065069999080151,1293,2,
C,"
C",True,0.7773970998823643,1211,3,
C,C,True,1.491561400005594,1120,2,
B,"B
",True,1.6205110000446439,1206,3,
D,"
A",True,1.5158901999238878,1246,3,0.0
A,"
D",True,1.4681698998901993,1260,3,0.0
B,"
B",True,0.7723211999982595,1176,3,
C,A,True,1.3923598998226225,1243,2,
C,D,True,1.223712099948898,1132,2,
D,A,True,0.8990505000110716,1161,2,
C,D,True,1.0107558998279274,1061,2,
A,C,True,1.4072048000525683,1109,2,
D,D,True,0.89555610017851,1185,2,
D,"
C",True,1.0142407000530511,1096,3,
B,B,True,1.582210100023076,1282,2,
C,"
B",True,0.8275583998765796,1412,3,
C,"
A",True,0.7849822998978198,1518,3,
B,"
C",True,1.5465633000712842,1185,3,0.0
D,D,True,1.6376357998233289,1343,2,
C,"
D",True,0.6895206000190228,1120,3,
D,A,True,0.9129107999615371,1070,2,
B,"
D",True,0.8927067001350224,1164,3,
A,A,True,0.9040171001106501,1060,2,
B,A,True,1.5274275001138449,1045,2,
A,C,True,0.9904551000799984,1230,2,
C,B,True,0.8899387998972088,1325,2,
D,"
B",True,0.7523598000407219,1398,3,
C,D,True,0.8463339000009,1295,2,
D,B,True,0.6966820999514312,1259,2,
D,"
C",True,1.3138962998054922,1145,3,
C,C,True,1.5042510000057518,1129,2,
C,C,True,1.290026200003922,1496,2,
C,A,True,1.0499042998999357,1187,2,
C,"
D",True,2.11407639994286,1174,3,0.0
C,"
B",True,0.7379403000231832,1076,3,
D,C,True,1.1129521001130342,1225,2,
D,C,True,1.0751606000121683,1328,2,
B,"C
",True,2.035088300006464,1151,3,
A,"
D",True,0.8727958998642862,1196,3,
D,"
A",True,0.74968870007433,1123,3,
A,C,True,2.817401100182906,1229,2,
A,A,True,1.9340305000077933,1828,2,
C,A,True,0.8749007000587881,1171,2,
B,"
C",True,0.796339999884367,1243,3,
A,"
B",True,0.7078903000801802,1257,3,
