answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,16.601151200011373,1899,970,960
B,A,True,14.479201500071213,1817,842,832
A,B,True,40.33334580017254,3314,2378,2368
C,C,True,9.384816800011322,1353,458,448
B,C,True,19.152174700051546,2123,1162,1152
D,A,True,18.331388199934736,2038,1098,1088
D,D,True,23.33611540007405,2311,1290,1280
D,C,True,19.966049199923873,1986,1034,1024
A,A,True,18.928914500167593,1727,778,768
D,D,True,26.865453800186515,2619,1610,1600
C,C,True,14.396996399853379,2116,970,960
C,B,True,30.487459300085902,3039,1866,1856
B,B,True,10.55699640000239,1446,522,512
A,B,True,20.81071270001121,2188,1034,1024
D,D,True,12.776677899993956,1752,778,768
C,A,True,17.44083150010556,1887,905,896
D,D,True,14.470344200031832,1821,714,704
B,B,True,27.976843500044197,2604,1546,1536
A,A,True,37.86317620007321,2816,1675,1664
C,C,True,16.256311799865216,1831,778,768
B,B,True,7.814762399997562,1328,394,384
D,C,True,15.710115500027314,1711,778,768
B,B,True,8.838504899991676,1556,522,512
D,D,True,9.826478000031784,1510,522,512
D,B,True,36.38739419984631,2939,1866,1856
C,C,True,27.65492090000771,2361,1290,1280
A,C,True,34.89888580003753,2039,1162,1152
B,C,True,20.104636300122365,2241,1098,1088
B,B,True,26.986465700203553,2088,1098,1088
A,A,True,17.12795400014147,1875,842,832
D,C,True,32.42904199985787,2912,1866,1856
C,B,True,16.637673999881372,2001,1035,1024
A,C,True,15.1376862002071,1844,842,832
B,B,True,19.4671110000927,1719,714,704
B,B,True,13.512193100061268,1669,650,640
A,A,True,11.02836270001717,1402,458,448
A,D,True,17.251975999912247,1664,778,768
B,B,True,25.122457899851725,2169,1098,1088
B,A,True,14.57290150015615,1988,778,768
D,C,True,28.044940800173208,2221,1162,1152
C,D,True,40.982276499969885,2987,1866,1856
C,C,True,21.644255300052464,1748,842,832
C,C,True,11.501484600128606,1495,586,576
B,B,True,24.794396799989045,2199,1226,1216
C,C,True,19.635536200134084,1754,650,640
A,A,True,36.937239800114185,2279,1034,1024
