answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,B,True,3.408136199985165,1044,115,105
B,A,True,3.4521491000195965,1091,116,106
A,B,True,3.5332873000297695,1071,135,125
C,C,True,2.008470100001432,953,58,48
B,C,True,4.719563999969978,1145,184,174
D,D,True,5.547867800050881,1152,212,202
D,D,True,2.696735900011845,1110,89,79
D,B,True,3.309196799993515,1070,118,108
A,B,True,8.862709399953019,1294,345,335
D,D,True,5.711390000011306,1266,257,247
C,C,True,3.2150470000342466,1249,103,93
C,B,True,3.35944600001676,1280,107,97
B,B,True,2.1363296999479644,995,71,61
A,A,True,4.966584599984344,1325,171,161
D,D,True,2.405643899983261,1052,78,68
C,C,True,5.010004699986894,1147,165,155
D,D,True,3.8815525000100024,1241,134,124
B,B,True,2.453811699990183,1133,75,65
A,C,True,15.865174100035802,1621,480,470
C,C,True,5.536595400015358,1245,192,182
B,B,True,1.887262100004591,994,60,50
D,C,True,2.320344500010833,1003,70,60
B,B,True,3.694276499969419,1169,135,125
D,D,True,3.313683199987281,1083,95,85
D,D,True,6.4245827999548055,1239,166,156
C,C,True,6.196302699972875,1239,168,158
A,C,True,3.701771199994255,971,94,84
B,D,True,3.7339072999893688,1313,170,160
B,B,True,2.8851925000199117,1098,108,98
A,A,True,3.3637003999901935,1139,106,96
D,C,True,5.9855916000087745,1251,205,195
C,C,True,5.408789899956901,1132,166,156
A,C,True,4.883895199978724,1168,166,156
B,B,True,2.478188599983696,1079,74,64
B,B,True,1.7133812999818474,1054,35,25
A,A,True,2.4766316000022925,1027,83,73
A,D,True,3.4114563000039198,1001,115,105
B,B,True,4.136374699999578,1187,116,106
B,B,True,4.385762699996121,1364,154,144
D,C,True,2.5444444000022486,1135,76,66
C,C,True,3.90639319998445,1256,135,125
C,C,True,3.405960900010541,1010,104,94
C,B,True,5.027450299996417,1130,221,211
B,D,True,3.4894610000192188,1097,124,114
C,C,True,2.402591600024607,1173,69,59
A,A,True,5.708042400015984,1423,178,168
B,C,True,4.707802599994466,1270,150,140
A,D,True,5.662425699993037,1172,123,113
C,C,True,4.819791899994016,1289,143,133
A,A,True,4.004692499991506,1167,142,132
A,A,True,7.097533899999689,1364,231,221
C,C,True,3.7144321000087075,1182,118,108
C,D,True,10.433185299974866,1372,390,380
B,B,True,1.217866899969522,1084,24,14
D,D,True,3.397732099983841,1152,52,42
A,D,True,7.2364352000295185,1347,235,225
B,D,True,7.20302499999525,1267,241,231
C,C,True,1.1957419999525882,1108,28,18
C,B,True,4.057633799966425,1125,132,122
D,D,True,3.208807999966666,1132,110,100
C,B,True,5.428963499958627,1148,222,212
A,A,True,2.676392499997746,1047,76,66
D,D,True,8.569374600017909,1340,305,295
D,D,True,4.600099500035867,1109,142,132
B,B,True,4.725500900007319,1290,164,154
C,D,True,5.225109199993312,1435,198,188
C,C,True,4.622900299960747,1471,157,147
B,C,True,4.571997000020929,1197,158,148
D,D,True,5.100143500021659,1364,189,179
C,B,True,6.69917490001535,1254,276,266
