answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,617.7659682000522,1959,864,
B,B,True,7.3100521001033485,1579,417,
A,D,True,13.623736900044605,1612,499,
C,B,True,29.54303689999506,1548,494,
B,C,True,15.91295860009268,1700,554,
D,B,True,5.106980700045824,1376,255,
D,A,True,6.470501499949023,1562,355,
D,B,True,6.701806199969724,1428,297,
A,B,True,19.06115940003656,1762,636,
D,A,True,8.042029100004584,1189,1,0.0
C,A,True,10.487050499999896,1712,345,0.0
C,B,True,12.483151699882,1903,511,
B,B,True,10.972132800146937,1534,426,
A,B,True,9.34568479983136,1694,321,0.0
D,B,True,14.564469299977645,1670,505,
C,B,True,8.457295200088993,1471,307,0.0
D,A,True,15.715699600055814,1858,545,
B,B,True,16.241131500108168,1991,718,
A,C,True,9.45137170003727,1702,330,0.0
C,C,True,9.133556799963117,1603,344,0.0
B,B,True,10.274791199946776,1591,469,
D,D,True,6.136876400094479,1366,262,
B,A,True,8.791015600087121,1583,348,
D,B,True,6.279293600004166,1436,262,
D,B,True,6.926084900042042,1642,362,
C,C,True,4.48389619984664,1714,443,
A,C,True,7.657398700015619,1400,359,
B,B,True,7.405789099866524,1708,338,
B,B,True,10.25467130006291,1549,369,
A,B,True,12.948790200054646,1729,502,0.0
D,B,True,10.104350600158796,1798,545,
C,D,True,2.0652925001922995,1532,374,
A,B,True,9.966638999991119,1555,363,0.0
B,B,True,25.171032200101763,2102,910,
B,A,True,8.386001900071278,1535,315,
A,A,True,18.055356999859214,1779,671,
A,B,True,16.467476000078022,1712,668,0.0
B,B,True,11.739461699966341,1672,395,
B,C,True,21.023204100085422,1817,384,
D,B,True,2.414260799996555,1260,1,0.0
C,B,True,13.028165600029752,1938,615,
C,C,True,11.396345699904487,1543,467,
C,B,True,23.45865930011496,1516,442,
B,B,True,10.635283400071785,1461,299,
C,A,True,44.50665179989301,2695,1382,
A,B,True,9.042729399865493,1847,346,
B,B,True,10.741383800050244,1669,332,
A,B,True,7.702284099999815,1602,356,
C,B,True,5.072363700019196,1748,367,
A,D,True,11.525701399892569,1609,387,
A,C,True,23.59242790006101,2298,945,
C,B,True,9.188378599938005,1656,384,
C,C,True,10.110675599891692,1611,445,
B,B,True,3.874863699777052,1264,1,0.0
D,A,True,5.717835200019181,2099,787,
A,B,True,14.452108500059694,2958,1640,
B,B,True,3.8081348000559956,1507,280,
C,B,True,12.716876100050285,1699,419,
C,B,True,11.312240799888968,1583,404,
D,B,True,7.7306378001812845,1507,292,
C,A,True,13.192594400141388,1571,472,0.0
A,B,True,8.173224299913272,1508,357,
D,B,True,2.6520165000110865,1588,354,
D,D,True,18.01740780007094,1688,548,
B,B,True,23.94638180010952,1943,597,
C,B,True,18.564366600010544,2118,640,
C,C,True,8.693262299988419,1925,336,
B,B,True,4.04731240007095,1553,320,
D,A,True,25.11764489999041,2061,653,
C,D,True,26.566992500098422,1733,570,0.0
D,A,True,10.367846100125462,1382,269,
B,B,True,12.562977700028569,1595,375,
A,A,True,2.176164199830964,1443,343,
B,A,True,4.208199599990621,1860,771,
A,C,True,46.80205769999884,2585,1295,0.0
C,B,True,11.887089899973944,1753,371,0.0
D,B,True,12.868027799995616,1931,465,
C,D,True,9.752882400061935,1747,397,
D,B,True,8.440837000031024,1630,310,
D,B,True,4.385835200082511,1823,628,
C,C,True,12.20618769992143,1603,429,
C,B,True,1.8528158999979496,2020,448,
C,C,True,3.0079831001348794,1684,449,
C,D,True,22.237284400034696,1937,714,
C,D,True,14.2336646001786,1547,432,
D,B,True,8.063503199955449,1617,347,
D,B,True,13.416142100002617,1857,466,
B,A,True,9.951143400045112,1537,330,0.0
A,B,True,15.252544099930674,1836,588,
D,A,True,10.977401299867779,1565,392,
A,C,True,0.997726600151509,1709,426,
A,B,True,2.2136601998936385,2189,325,
C,B,True,5.342803499894217,1727,501,
B,A,True,20.403998099965975,2219,929,
A,A,True,12.139488300075755,1832,510,
