answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,A,True,1.043993600003887,1011,1,
A,D,True,0.8843244999879971,890,1,
A,A,True,1.0593013000034261,945,1,
A,C,True,0.9405897999968147,866,1,
C,C,True,0.9728876000008313,826,1,
C,B,True,0.8960563000000548,870,1,
A,A,True,0.7997317999979714,1005,1,
D,D,True,0.8798296000022674,973,1,
B,B,True,0.9319232999987435,939,1,
A,A,True,0.8378626000048826,994,1,
B,B,True,0.9486269999906654,931,1,
C,C,True,1.0281626999931177,887,1,
C,C,True,0.9447871000011219,974,1,
C,C,True,0.9231252999888966,917,1,
A,A,True,0.8669021999958204,892,1,
C,A,True,0.9671480000106385,873,1,
C,A,True,0.8419660999934422,901,1,
C,C,True,0.8361442000023089,998,1,
C,C,True,0.933859199998551,876,1,
C,B,True,0.9163127000065288,992,1,
D,D,True,0.9338752999901772,1112,1,
B,B,True,0.9490704999916488,1126,1,
B,B,True,0.9862546000076691,1151,1,
A,C,True,0.7877889000083087,924,1,
A,A,True,0.9784502000111388,954,1,
C,C,True,0.8199849999946309,977,1,
B,B,True,1.054680900007952,1066,1,
B,A,True,0.9272869999986142,973,1,
B,B,True,1.034311000010348,963,1,
D,B,True,0.9610837999935029,996,1,
A,B,True,0.9405247000104282,848,1,
B,D,True,0.8995174000010593,831,1,
A,B,True,0.8289565000013681,875,1,
A,B,True,0.7823703000030946,1035,1,
B,A,True,0.8997608000063337,901,1,
A,D,True,1.0794233000051463,944,1,
C,C,True,0.8830041999899549,1028,1,
D,D,True,0.8756480000010924,870,1,
B,C,True,1.0015448000049219,914,1,
B,C,True,0.9950914999935776,900,1,
D,D,True,1.0186929000046803,950,1,
C,B,True,0.829302900005132,1001,1,
B,C,True,0.8952545000065584,950,1,
D,B,True,1.2030164000025252,1037,1,
B,C,True,0.9274845000036294,944,1,
B,B,True,1.0373104000027524,1292,1,
A,B,True,1.053726900005131,1014,1,
A,A,True,0.4817433999996865,1212,1,
D,A,True,0.506647799993516,1069,1,
C,C,True,0.4716437000024598,977,1,
B,C,True,0.6593072999967262,1042,1,
D,D,True,0.4285239000018919,1094,1,
D,D,True,0.36484910000581294,1092,1,
A,A,True,0.3978391999989981,1299,1,
C,D,True,0.5518599000060931,931,1,
D,C,True,0.4554187999892747,1145,1,
B,D,True,0.5181089999969117,1249,1,
D,D,True,0.3638797000021441,996,1,
C,A,True,0.5234860999917146,1128,1,
D,D,True,0.46730020000541117,1005,1,
A,B,True,0.5463904999924125,1068,1,
C,B,True,0.5645909000013489,1187,1,
B,B,True,0.5160035999870161,1090,1,
A,C,True,0.46564689998922404,1015,1,
D,B,True,0.47163970000110567,1069,1,
A,A,True,0.3847663000051398,1145,1,
A,C,True,0.39780369999061804,1018,1,
A,D,True,0.6211532000015723,1091,1,
D,D,True,0.5216115000075661,1151,1,
D,D,True,0.4220752000110224,1078,1,
B,B,True,0.4559947999950964,1121,1,
D,C,True,0.6137423000036506,1198,1,
A,D,True,0.5481731000036234,1259,1,
C,B,True,0.608087800006615,880,1,
D,D,True,0.4866820000024745,961,1,
C,C,True,0.62636609999754,992,1,
