answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,13.780697900001542,1452,586,576
A,D,True,32.045504199995776,2244,1484,1472
A,A,True,12.861995800005388,1656,842,832
A,A,True,46.15811140000005,3249,2506,2496
C,C,True,44.55449909999152,3017,2314,2304
C,B,True,16.12039160000859,1520,778,768
A,A,True,12.003028200007975,1441,586,576
D,C,True,11.170324100006837,1482,650,640
B,C,True,23.58951839999645,1772,970,960
A,A,True,15.793154999992112,1499,650,640
B,B,True,12.187464399990859,1375,586,576
C,C,True,11.97665149999375,1342,586,576
C,C,True,29.432321300002513,1675,842,832
C,C,True,19.917193200002657,1686,906,896
A,A,True,16.956009400004405,1796,1034,1024
C,C,True,34.25321460000123,1452,714,704
C,C,True,20.600728199991863,1744,970,960
C,C,True,15.097528099999181,1512,650,640
C,C,True,24.105037500004983,1842,1098,1088
C,B,True,7.021331800002372,1310,458,448
D,D,True,17.423505999991903,1534,586,576
B,B,True,11.050189600005979,1423,458,448
B,B,True,13.354118500006734,1763,778,768
A,A,True,26.237490100000286,2465,1674,1664
A,A,True,16.318679299991345,1847,1034,1024
C,D,True,19.688404000000446,1673,842,832
B,B,True,15.929536700001336,1576,650,640
B,B,True,33.083168700002716,2759,1930,1920
B,B,True,10.687761199995293,1279,458,448
D,A,True,20.739889300006325,1696,842,832
A,A,True,51.27066910000576,2836,2122,2112
B,B,True,22.39211550001346,1551,842,832
A,D,True,18.911406200000783,1907,1162,1152
A,A,True,40.13882360000571,2697,1802,1792
B,B,True,12.027755600007367,1353,586,576
A,A,True,14.459281600007671,1379,586,576
C,D,True,38.67683890000626,2675,1802,1792
D,D,True,14.396812599996338,1576,842,832
B,C,True,36.00756720000936,2710,1930,1920
B,C,True,20.68194599999697,1794,1034,1024
D,D,True,9.580369800009066,1265,458,448
C,C,True,12.78336180000042,1571,714,704
B,C,True,26.19069179998769,2360,1546,1536
D,B,True,13.492388799990295,1737,842,832
B,A,True,31.5336457999947,2217,1418,1408
B,B,True,20.386055800001486,1878,778,768
A,A,True,19.536493299994618,1899,1034,1024
A,A,True,23.045163899994805,2142,1098,1088
D,D,True,23.115105699995183,2022,1098,1088
C,C,True,13.646239099995,1554,714,704
B,B,True,10.100106500001857,1341,458,448
D,D,True,7.847074099991005,1397,458,448
D,D,True,26.15549309999915,2221,1290,1280
A,A,True,14.353943100009928,1706,586,576
C,B,True,26.186259600013727,2223,1418,1408
D,C,True,12.228015200002119,1640,650,640
B,D,True,35.62884939998912,2836,1739,1728
D,C,True,34.858077400000184,3045,2186,2176
C,D,True,14.417016699997475,2053,1098,1088
D,D,True,24.23452310000721,2279,1418,1408
A,B,True,15.724899400011054,1431,522,512
C,B,True,22.413031200005207,1880,842,832
B,B,True,24.403623999998672,2748,1802,1792
A,A,True,32.34491270000581,3181,2314,2304
D,D,True,10.836835499998415,1751,842,832
A,A,True,25.72274079998897,2323,1354,1344
A,A,True,15.375936600001296,1836,970,960
A,D,True,15.734486400004243,1902,970,960
D,D,True,11.527142399994773,1575,586,576
D,D,True,9.679601399999228,1511,586,576
B,B,True,19.01522259999183,2191,1226,1216
D,D,True,21.00278840000101,2649,1610,1600
A,A,True,11.961216800002148,1798,714,704
C,D,True,6.738738700005342,1145,394,384
D,D,True,7.643197900004452,1399,586,576
C,C,True,12.326056199992308,1631,778,768
