answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,8.464738099995884,1589,723,704
A,D,True,8.542809999999008,1419,659,640
A,A,True,5.699694499999168,1217,403,384
A,D,True,14.546614500010037,2107,1364,1344
C,B,True,10.327708800003165,1682,979,960
C,B,True,7.511569800000871,1337,595,576
A,A,True,6.547113400010858,1322,467,448
D,C,True,14.062344000005396,2003,1171,1152
B,C,True,9.282618800003547,1525,723,704
A,A,True,5.550500800003647,1252,403,384
B,B,True,6.347432700000354,1256,467,448
C,C,True,5.374140100000659,1223,467,448
C,C,True,7.335193500010064,1428,595,576
C,B,True,12.407114800007548,1887,1107,1088
A,D,True,13.259524299995974,2189,1427,1408
C,D,True,6.354920199999469,1397,659,640
C,B,True,5.254947899986291,1305,531,512
C,C,True,3.7716199999995297,1201,339,320
C,C,True,4.824226100012311,1147,403,384
C,B,True,4.496020599995973,1255,403,384
D,D,True,6.967534800001886,1607,659,640
B,D,True,9.264401000007638,1496,531,512
B,B,True,5.922902099991916,1388,403,384
A,A,True,11.112621699998272,1706,915,896
A,B,True,8.315487700005178,1472,659,640
C,D,True,5.187361799995415,1170,339,320
B,D,True,8.112408500004676,1649,723,704
B,A,True,5.70786950000911,1296,467,448
B,B,True,24.757225000008475,2952,2131,2112
D,B,True,8.640853899996728,1513,659,640
A,A,True,6.1730020999966655,1181,467,448
B,D,True,6.694242399986251,1177,468,448
A,D,True,8.743968399998266,1276,531,512
A,A,True,9.256331199998385,1682,787,768
B,B,True,6.679400799999712,1362,595,576
A,A,True,5.079935999994632,1196,403,384
C,D,True,17.73193110000284,2815,1942,1920
D,D,True,3.616817499991157,1009,275,256
B,A,True,8.2907481000002,1375,595,576
B,B,True,5.679006999998819,1291,531,512
D,D,True,1.546261899988167,890,83,64
C,B,True,14.57352499999979,2476,1619,1600
B,C,True,5.277755599992815,1281,467,448
D,B,True,1.8199825000046985,978,83,64
B,C,True,10.394907499998226,1970,1171,1152
B,D,True,5.8754195000074105,1631,531,512
A,C,True,12.811343499997747,2356,1491,1472
A,D,True,7.857255199996871,1895,851,832
D,A,True,6.598115700006019,1519,595,576
C,C,True,4.627037400001427,1243,403,384
B,A,True,4.037336800000048,1222,339,320
D,D,True,3.4185546999942744,1086,147,128
D,D,True,4.757721199988737,1334,403,384
A,A,True,11.927351499994984,2483,1363,1344
C,C,True,4.5144048999936786,1208,403,384
D,D,True,4.1484397000022,1329,339,320
B,D,True,17.702054399996996,2716,1619,1600
D,C,True,7.829783699999098,1582,723,704
C,D,True,23.036797900000238,3278,2323,2304
D,D,True,7.364098599995486,1584,723,704
A,A,True,6.379575800005114,1504,595,576
C,B,True,6.760931299999356,1633,595,576
B,B,True,9.711217800009763,1925,979,960
A,A,True,8.301866800000425,1654,787,768
D,D,True,9.85364230000414,1760,851,832
A,A,True,9.810242599996855,1884,915,896
A,A,True,5.805019299994456,1333,467,448
A,D,True,5.656083199995919,1400,468,448
D,D,True,7.405140100003337,1712,723,704
D,C,True,9.921336200000951,1776,851,832
B,B,True,4.503488699992886,1240,275,256
D,C,True,9.512395600002492,1890,851,832
A,A,True,9.924336500000209,2063,979,960
C,C,True,6.728170800008229,1346,595,576
D,D,True,6.368516900009126,1408,595,576
C,C,True,4.696205200001714,1192,339,320
