answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,A,True,7.287959300010698,2373,1.0,1050
A,A,True,7.182448899984593,2389,1.0,1044
D,D,True,4.371269199997187,2042,1.0,638
D,D,True,6.722212900000159,2400,1.0,993
B,B,True,14.602129200007766,3719,1.0,2302
A,A,True,3.7914545999956317,1816,1.0,513
D,B,True,16.16045860000304,4123,1.0,2582
D,D,True,4.789238400000613,2241,1.0,751
D,C,True,118.25285230000736,21441,1.0,19976
A,A,True,5.630998900014674,2359,1.0,876
D,D,True,2.9780165999836754,1714,1.0,382
C,C,True,3.5840723000001162,1951,1.0,547
C,C,True,4.223071000014897,1916,1.0,604
D,B,True,6.7503620000206865,2343,1.0,1059
D,D,True,19.725954900000943,4569,1.0,3193
D,B,True,13.8341333999997,3712,1.0,2331
C,C,True,4.671723400009796,2282,1.0,667
C,C,True,3.8032634999835864,2103,1.0,607
A,B,True,308.42954889999237,64376,,62911
A,A,True,3.482855899987044,1806,1.0,452
B,B,True,315.60755139999674,64304,,62911
B,C,True,3.501643800002057,1858,1.0,493
C,C,True,4.590536499978043,2105,1.0,696
C,C,True,3.0535415000049397,1845,1.0,384
D,C,True,7.7032808999938425,2612,1.0,1234
B,B,True,3.332550800027093,1744,1.0,440
D,D,True,11.882483900000807,3326,1.0,1770
C,C,True,24.430655000003753,6770,,3769
B,B,True,9.715040000010049,3054,1.0,1356
C,C,True,5.613428200013004,2514,1.0,1000
C,C,True,10.795341699995333,10948,1.0,1420
A,A,True,4.937801099993521,2266,1.0,743
B,D,True,20.980744299973594,10996,1.0,3295
B,B,True,4.464123400015524,1982,1.0,588
A,B,True,3.5220713000162505,1804,,487
B,D,True,6.455431400012458,2255,,943
A,A,True,9.808631399995647,3224,1.0,1714
C,B,True,18.638577300007455,4553,1.0,2923
C,C,True,4.029730700014625,2026,1.0,578
C,C,True,4.019875099998899,2147,1.0,569
A,A,True,21.54205240000738,5003,1.0,3485
D,C,True,4.127238999994006,2188,1.0,604
D,D,True,9.13047559998813,2892,1.0,1294
B,B,True,4.061453000002075,1917,1.0,530
C,C,True,12.297704600001452,3224,,1811
C,C,True,6.83986580002238,2334,1.0,1017
A,A,True,4.362206799996784,2047,1.0,670
D,D,True,3.8981911999871954,1925,1.0,551
B,C,True,13.580970100010745,3931,1.0,2087
B,A,True,9.887313099985477,2974,1.0,1482
A,A,True,3.3903841999999713,1764,1.0,454
A,B,True,7.42926649999572,2224,1.0,563
C,C,True,7.189861899998505,2749,1.0,1161
C,C,True,3.6379743999859784,2173,1.0,477
D,D,True,3.6951037000108045,2067,1.0,501
B,B,True,3.438083800021559,1850,1.0,492
B,B,True,3.2919803999830037,1826,1.0,478
B,D,True,9.257802200008882,2807,1.0,1367
D,D,True,5.29596990000573,2783,1.0,752
C,C,True,7.6119804000190925,2695,1.0,1103
C,C,True,10.355666999996174,3426,1.0,1488
A,A,True,20.009498300001724,4938,1.0,2987
D,D,True,9.550268199993297,3803,1.0,1368
A,A,True,51.67130390001694,10102,1.0,8536
B,B,True,3.5722209000086877,3213,1.0,437
D,D,True,4.293976699991617,2052,1.0,571
A,B,True,4.343568000011146,2305,1.0,737
B,B,True,6.101943299989216,2354,1.0,936
C,C,True,3.3614008000004105,1798,1.0,478
D,D,True,22.704011299996637,5076,1.0,3594
A,A,True,11.39695229998324,3571,1.0,1846
C,C,True,5.8784277999948245,2507,,785
A,A,True,4.712058699980844,2166,1.0,703
C,C,True,7.29180790000828,2695,1.0,1156
