answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,10.837858300015796,2628,1.0,1576
D,D,True,3.9407451000006404,1679,1.0,598
B,B,True,3.741576999978861,1618,1.0,519
C,C,True,3.8842162000073586,1808,1.0,572
B,D,True,312.3157418000046,64171,1.0,62910
C,C,True,320.6456606000138,64047,1.0,62910
C,C,True,5.494011700007832,2015,1.0,883
D,D,True,5.38729750001221,2059,1.0,930
C,C,True,4.437564099993324,1689,1.0,632
B,B,True,6.321012000000337,2126,1.0,984
B,B,True,3.1039795000106096,1579,1.0,501
B,D,True,314.7383953999961,64024,1.0,62913
C,C,True,4.580473700014409,1744,1.0,619
C,C,True,3.252302900014911,1590,1.0,445
D,D,True,5.121044300001813,1830,1.0,696
D,D,True,3.4260527000005823,1653,1.0,503
C,C,True,3.69641460001003,1582,1.0,477
C,C,True,314.00721890002023,64093,1.0,62913
C,C,True,318.91930500001763,64167,1.0,62913
A,A,True,3.393186000001151,1597,1.0,464
C,C,True,4.74927729999763,2051,1.0,685
B,B,True,10.893872700020438,2953,1.0,1680
B,B,True,4.222897499974351,1882,1.0,636
A,A,True,4.344869699998526,2113,1.0,646
B,A,True,30.36305159999756,6089,,4853
A,A,True,4.546433600015007,1798,1.0,655
B,B,True,3.6948004000005312,1508,1.0,458
B,B,True,316.11498460001894,63979,,62912
B,D,True,310.9929795000062,64138,1.0,62910
A,C,True,6.215068799996516,2105,1.0,957
B,B,True,15.516138200007845,3766,1.0,2540
C,C,True,5.288320999999996,2156,1.0,757
D,D,True,8.028225399990333,2467,1.0,1307
A,A,True,24.03665719999117,5091,1.0,3785
B,A,True,3.5186198000155855,1656,1.0,489
B,B,True,28.51653090000036,5782,1.0,4540
C,C,True,16.169893599988427,3800,1.0,2381
C,B,True,11.100625999999465,3005,1.0,1794
B,D,True,321.6259063000034,64094,,62911
B,D,True,314.97806510000373,64361,1.0,62910
B,C,True,13.273442100005923,3555,1.0,2060
A,A,True,12.78776849998394,3324,1.0,2075
C,C,True,4.2179105000104755,1899,1.0,599
A,A,True,319.68430200000876,64139,,62911
A,A,True,5.004809100006241,1834,1.0,719
C,C,True,8.046329200005857,2495,1.0,1335
