answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,16.50999419996515,2170,1235,1216
D,D,True,7.880008100066334,1494,531,512
B,B,True,5.813152800081298,1381,403,384
C,C,True,9.233997299801558,1680,595,576
B,B,True,8.665099400095642,1775,659,640
C,D,True,6.794201500015333,1473,467,448
C,C,True,5.712731099920347,1406,403,384
D,B,True,11.177589199971408,1916,915,896
C,A,True,10.59697059984319,1792,851,832
B,D,True,24.604323300067335,3272,2259,2240
B,B,True,6.938511400017887,1488,531,512
B,B,True,4.8275062998291105,1326,339,320
C,B,True,6.858621600084007,1603,595,576
C,C,True,12.388764100149274,2261,1235,1216
D,B,True,8.723225299967453,1797,787,768
D,D,True,8.942112599965185,1752,723,704
C,A,True,7.207450199872255,1515,531,512
C,C,True,8.552078000037,1826,787,768
C,D,True,11.385096200043336,2224,1107,1088
A,C,True,4.749142799992114,1405,403,384
C,A,True,5.00677810003981,1683,467,448
B,A,True,7.938478499883786,1848,723,704
B,D,True,9.584164599888027,2013,915,896
A,C,True,10.41530969995074,2212,915,896
B,B,True,8.363557399949059,1829,723,704
A,A,True,16.02698570000939,2502,1492,1472
B,B,True,5.240331599954516,1271,339,320
B,D,True,7.934622100088745,1605,659,640
B,D,True,8.774159300141037,1690,595,576
A,C,True,7.505047000013292,1548,531,512
B,D,True,6.953961399849504,1625,531,512
C,C,True,10.957542000105605,2055,787,768
D,C,True,15.47759519983083,2265,1236,1216
A,C,True,7.761911199893802,1820,659,640
B,D,True,14.611099100206047,2467,1427,1408
B,A,True,16.240227800095454,2532,1427,1408
C,C,True,6.026983400108293,1733,467,448
C,D,True,6.2205949001945555,1610,531,512
B,C,True,27.335174100007862,3241,2195,2176
B,A,True,22.135969299823046,3309,2003,1984
B,D,True,9.418202499859035,2060,723,704
A,D,True,16.868569999933243,2461,1363,1344
C,B,True,17.127982300007716,2516,1363,1344
A,A,True,12.789332099957392,2381,1299,1280
A,C,True,9.23262990009971,1650,659,640
C,C,True,8.53838529996574,1558,531,512
B,B,True,14.577724700095132,2417,1428,1408
B,B,True,4.369482800131664,1268,275,256
B,B,True,5.3526984001509845,1323,275,256
A,A,True,12.578842899994925,1983,915,896
D,D,True,6.665886200033128,1487,403,384
A,C,True,16.177730600116774,2741,1747,1728
C,D,True,9.622794599970803,1857,723,704
B,B,True,11.159095200011507,1981,851,832
A,C,True,10.55780280008912,2175,915,896
D,D,True,8.790677499957383,1798,724,704
C,D,True,7.196542700054124,1651,531,512
B,D,True,9.32726059993729,1921,851,832
D,D,True,7.03848069999367,1489,467,448
D,B,True,5.298618000000715,1304,339,320
D,D,True,7.9888063000980765,1701,595,576
D,A,True,14.229270600015298,2420,1043,1024
B,A,True,27.01485399994999,3457,2323,2304
B,B,True,6.195457299938425,1455,403,384
D,A,True,10.08369189989753,1645,595,576
B,A,True,10.236293599940836,2014,788,768
C,C,True,3.517616500146687,1274,211,192
D,D,True,7.940114900004119,1912,659,640
D,D,True,15.579423000104725,2590,1491,1472
C,D,True,6.945333000039682,1541,595,576
D,D,True,7.717092799954116,1844,660,640
B,B,True,16.035011099884287,2706,1491,1472
D,C,True,13.207615900086239,2354,1235,1216
C,C,True,5.904219999909401,1481,467,448
A,C,True,5.21318450011313,1392,403,384
B,D,True,11.11948770005256,2020,915,896
A,A,True,6.929919400019571,1555,595,576
B,B,True,7.981004799949005,1812,787,768
B,B,True,11.679793700110167,2140,1107,1088
A,C,True,7.48280859994702,2080,723,704
A,A,True,17.316986199934036,3016,1876,1856
A,C,True,8.257817799923941,1890,851,832
B,A,True,10.457954100100324,2034,1043,1024
B,B,True,5.681091899983585,1575,531,512
A,A,True,10.274032899877056,2344,1171,1152
A,D,True,14.934935699915513,2273,1171,1152
C,B,True,9.224462599959224,2269,851,832
A,B,True,11.627412599977106,2522,1107,1088
B,B,True,10.599910899996758,2018,915,896
D,A,True,15.779831299791113,2425,1363,1344
B,B,True,13.289507400011644,3057,1363,1344
A,C,True,28.254809300182387,4080,2899,2880
D,A,True,11.260970200179145,1998,915,896
C,C,True,11.675093499943614,2400,979,960
C,B,True,12.796177600044757,2396,1043,1024
A,A,True,6.482696500141174,1553,531,512
B,B,True,8.053518899949268,2130,723,704
B,C,True,5.172886699903756,1344,339,320
D,A,True,16.423049200093374,2851,1683,1664
D,D,True,13.225665399804711,2336,1107,1088
A,A,True,8.458928699837998,2007,851,832
A,C,True,17.388618899974972,2382,1235,1216
C,C,True,20.926433499902487,3539,2067,2048
D,D,True,14.033889800077304,2346,1235,1216
B,C,True,11.864407300017774,2412,1043,1024
D,C,True,7.682161299977452,1767,659,640
A,A,True,9.209545100107789,1851,595,576
C,A,True,28.025478899944574,3468,2261,2240
A,D,True,8.844643200049177,1653,595,576
A,D,True,16.669592699967325,3001,1491,1472
C,C,True,8.522400799905881,1918,531,512
C,C,True,11.561956899939105,1750,595,576
D,B,True,20.15503010014072,2660,1619,1600
B,A,True,11.226883800001815,2172,851,832
B,C,True,15.702896300004795,2299,915,896
C,C,True,13.517392999958247,2535,1171,1152
A,B,True,8.587781799957156,1803,659,640
D,D,True,14.53019449999556,2525,1171,1152
C,B,True,12.586015400011092,1914,723,704
D,C,True,13.67746609984897,2275,915,896
A,C,True,4.255358099937439,1298,275,256
A,B,True,8.489439700031653,1667,659,640
D,B,True,9.630302399862558,1850,787,768
B,D,True,9.619093199959025,1721,723,704
B,C,True,10.605404500151053,1853,787,768
C,C,True,8.53731429995969,1578,659,640
