answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,1.9111476999241859,1056,2,
B,C,True,1.078241900075227,1121,2,
A,D,True,0.5972058000043035,1076,2,
C,B,True,0.5562698999419808,1016,2,
B,B,True,0.5556348999962211,1102,2,
D,B,True,1.1055781999602914,1080,2,
D,D,True,0.6166819001082331,1165,2,
D,B,True,0.5519312999676913,1090,2,
A,B,True,0.5643895999528468,1085,2,
D,A,True,0.6120578998234123,1142,2,
C,B,True,0.5846126999240369,1299,2,
C,C,True,0.5401582999620587,1333,2,
B,C,True,0.5978878000751138,1062,2,
A,B,True,0.5558962000068277,1308,2,
D,B,True,0.6533482999075204,1115,2,
C,D,True,0.572753099957481,1110,2,
D,A,True,1.1070917001925409,1256,2,
B,B,True,0.84433180000633,1218,2,
A,A,True,0.63489959994331,1316,2,
C,B,True,0.6119290001224726,1205,2,
B,D,True,1.208106700098142,1074,2,
D,B,True,0.5567026000935584,1064,2,
B,D,True,0.5888835000805557,1189,2,
D,B,True,0.6035255000460893,1137,2,
D,B,True,0.5267254000063986,1224,2,
C,A,True,0.5795861000660807,1223,2,
A,B,True,0.5482926999684423,1007,2,
B,B,True,0.5470694000832736,1318,2,
B,B,True,0.5614475000184029,1130,2,
A,B,True,0.6343782001640648,1182,2,
D,B,True,0.6048659000080079,1204,2,
C,B,True,1.1848448000382632,1105,2,
A,B,True,0.6184512998443097,1148,2,
B,B,True,0.5555233000777662,1151,2,
B,B,True,0.5636116999667138,1170,2,
A,B,True,0.5548007001634687,1071,2,
A,B,True,0.5602373001165688,1007,2,
B,A,True,0.6198076999280602,1228,2,
B,B,True,0.5952834999188781,1394,2,
D,B,True,0.5734560000710189,1202,2,
C,B,True,0.5664502000436187,1271,2,
C,B,True,0.5568619000259787,1036,2,
C,B,True,0.5872386998962611,1032,2,
B,B,True,0.6085759000852704,1119,2,
C,D,True,0.6035569000523537,1260,2,
A,B,True,1.2286278000101447,1429,2,
B,B,True,0.6065668999217451,1279,2,
A,D,True,0.5860047000460327,1191,2,
C,B,True,0.7515411998610944,1310,2,
A,D,True,0.6076232001651078,1170,2,
A,B,True,0.5384549999143928,1293,2,
C,D,True,0.5623651999048889,1211,2,
C,A,True,0.6567806000821292,1120,2,
B,B,True,0.5455084000714123,1205,2,
D,B,True,0.5852809001225978,1245,2,
A,B,True,0.655916899908334,1259,2,
B,B,True,0.5415666999761015,1176,2,
C,B,True,0.6173207999672741,1243,2,
C,B,True,0.6141150000039488,1132,2,
D,"C
",True,0.6402773999143392,1162,3,
C,B,True,0.5554579000454396,1061,2,
A,A,True,0.5765297999605536,1109,2,
D,B,True,0.6111797001212835,1185,2,
D,C,True,0.6297725001350045,1096,2,
B,B,True,0.6664438000880182,1282,2,
C,B,True,1.0849532999563962,1412,2,
C,B,True,0.6588697000406682,1518,2,
B,B,True,0.6180070999544114,1184,2,
D,B,True,0.6380126001313329,1343,2,
C,D,True,0.9742180998437107,1120,2,
D,B,True,0.5807197999674827,1070,2,
B,B,True,0.5423284000717103,1164,2,
A,B,True,0.5857473998330534,1060,2,
B,B,True,0.6038532999809831,1045,2,
A,B,True,0.573843999998644,1230,2,
C,B,True,0.6128036000300199,1325,2,
D,C,True,0.6791109000332654,1398,2,
C,B,True,0.9010850999038666,1295,2,
D,B,True,1.206375899957493,1259,2,
D,B,True,0.6058515999466181,1145,2,
C,D,True,0.7006751000881195,1129,2,
C,B,True,0.6325868999119848,1496,2,
C,B,True,1.1266779000870883,1187,2,
