answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,12.142505099996924,2036,1107,1088
B,C,True,8.88340050005354,1762,787,768
A,B,True,16.77706540003419,2555,1619,1600
C,A,True,3.5785100001376122,1170,275,256
B,D,True,9.437449800083414,1876,915,896
D,A,True,6.399473499972373,1407,467,448
D,C,True,6.067589999875054,1552,531,512
D,B,True,8.667503600008786,1675,723,704
A,A,True,13.520471399882808,1992,1043,1024
D,A,True,13.13620170019567,2180,1171,1152
C,C,True,8.225864300038666,1869,723,704
C,B,True,8.467248999979347,1960,787,768
B,B,True,2.977491799974814,1071,147,128
A,B,True,11.645995699800551,2197,1043,1024
D,C,True,15.672385500045493,2593,1619,1600
C,A,True,10.11954819993116,1449,467,448
D,D,True,12.681102600181475,2215,1108,1088
B,D,True,10.206272299867123,1973,915,896
A,C,True,14.821893999818712,2504,1363,1344
C,C,True,9.718555700033903,1840,787,768
B,B,True,4.893302100012079,1273,339,320
D,B,True,8.690137699944898,1720,787,768
B,B,True,8.04231769987382,1565,531,512
D,D,True,6.044633900048211,1519,531,512
D,D,True,11.054415999911726,1924,851,832
C,C,True,11.535239699995145,2114,1043,1024
A,B,True,15.417418400058523,2112,1235,1216
B,D,True,8.816267299931496,1994,851,832
B,B,True,8.722134599927813,1841,851,832
A,A,True,6.191999400034547,1564,531,512
D,C,True,18.324790300102904,2857,1811,1792
C,D,True,36.32222010008991,4249,3283,3264
A,A,True,11.221700499998406,1981,979,960
B,B,True,17.112512400140986,2496,1491,1472
B,B,True,3.2068602999206632,1166,147,128
A,A,True,5.221026599872857,1347,403,384
A,C,True,3.761533899931237,1161,275,256
B,B,True,10.121320799924433,1986,915,896
B,B,True,8.62370719993487,1997,787,768
D,D,True,10.12559670000337,1974,915,896
C,A,True,18.091601700056344,2932,1811,1792
C,C,True,6.114576700143516,1501,595,576
C,B,True,5.80865540006198,1440,531,512
B,D,True,4.902407099958509,1377,404,384
C,C,True,14.159426299855113,2403,1299,1280
A,B,True,9.286701200064272,1904,659,640
B,A,True,8.869828100083396,1907,787,768
A,B,True,8.62164599983953,1900,851,832
C,C,True,5.145972499856725,1550,404,384
A,B,True,9.808026500046253,1940,915,896
A,C,True,14.249938300112262,2432,1299,1280
C,C,True,11.103921600151807,1979,915,896
C,D,True,6.023699699901044,1513,531,512
B,B,True,8.315775000024587,1719,659,640
D,D,True,13.892196699976921,1823,723,704
A,D,True,11.607421800028533,1771,659,640
B,D,True,8.68176700011827,1749,723,704
C,C,True,11.09733369993046,2059,979,960
C,B,True,6.191720800008625,1460,467,448
D,D,True,8.782629600027576,1809,787,768
C,A,True,7.758846600074321,1585,659,640
A,C,True,8.427532800007612,1694,723,704
D,D,True,15.53443369991146,1694,659,640
D,D,True,24.198435199912637,2970,2003,1984
B,B,True,5.240477500017732,1465,339,320
C,A,True,28.326779100112617,2920,1683,1664
C,C,True,5.962907999986783,1653,339,320
B,C,True,6.232570499880239,1506,467,448
D,D,True,17.698247299995273,2538,1363,1344
C,C,True,42.38198160007596,3877,2899,2880
D,A,True,14.862139000091702,2172,1235,1216
B,D,True,26.037470400100574,2896,1875,1856
A,D,True,25.35538040008396,2674,1747,1728
B,A,True,4.991695099975914,1324,403,384
A,A,True,8.809463399928063,1802,723,704
C,B,True,23.4390851999633,2208,1043,1024
D,B,True,9.080643200082704,1752,531,512
C,C,True,9.436115800170228,1793,659,640
D,A,True,9.42903589992784,1892,787,768
D,C,True,7.4462892999872565,1596,595,576
C,C,True,7.2018070998601615,1328,339,320
C,C,True,12.84876750013791,2052,723,704
C,A,True,14.675940399989486,2267,1235,1216
C,C,True,7.31860339990817,1500,467,448
C,B,True,7.5900254000443965,1539,595,576
D,B,True,25.9128584000282,2554,1491,1472
D,B,True,10.452089800033718,1888,723,704
B,B,True,7.033260599942878,1540,531,512
A,D,True,13.608768299920484,2148,1107,1088
D,B,True,5.401483099907637,1391,403,384
A,A,True,16.12108419998549,1874,787,768
A,C,True,14.131317199906334,2489,915,896
C,C,True,10.35899839992635,1820,787,768
B,A,True,7.836087100207806,1688,595,576
A,B,True,33.19651019992307,3882,2772,2752
C,C,True,20.147123700007796,1879,787,768
B,B,True,11.080980199854821,1728,723,704
C,D,True,10.859560099896044,1978,787,768
D,D,True,10.376176599878818,1659,659,640
D,A,True,18.158287400146946,2315,1044,1024
D,C,True,17.826505500124767,2087,979,960
C,B,True,12.850662399781868,2304,1044,1024
C,C,True,11.259904300095513,2304,979,960
D,C,True,17.84199450002052,1921,723,704
A,A,True,3.4985784001182765,998,147,128
D,B,True,14.878068100195378,2454,1107,1088
D,D,True,6.270247099921107,1482,403,384
D,C,True,6.818375000031665,1618,531,512
C,C,True,6.599367900053039,1730,467,448
B,A,True,11.052638699999079,1698,787,768
C,A,True,15.723771299934015,1975,787,768
C,D,True,11.21859800000675,2279,979,960
B,C,True,6.996929700020701,1690,595,576
C,B,True,18.186236899811774,2851,1749,1728
B,D,True,18.999949500197545,2267,1043,1024
A,D,True,9.050382300047204,1946,787,768
D,D,True,7.610941799823195,2029,723,704
B,A,True,10.170333999907598,2250,1043,1024
D,C,True,24.779370800126344,2903,1683,1664
B,C,True,8.073875700123608,1783,659,640
A,B,True,7.07864909991622,1657,595,576
D,D,True,9.398572199977934,2053,787,768
C,C,True,9.106071999995038,2002,787,768
A,B,True,10.471550399903208,1451,467,448
A,D,True,11.86833560001105,2081,915,896
B,B,True,6.550676399841905,1521,531,512
B,B,True,6.373578800121322,1582,531,512
C,B,True,7.4676017998717725,1622,595,576
D,C,True,7.352616300107911,1778,659,640
D,C,True,8.775511600077152,2096,851,832
B,B,True,3.36500160000287,1462,211,192
A,C,True,5.907391200074926,1523,531,512
C,D,True,13.079283100087196,2756,1299,1280
C,C,True,6.568947700085118,1539,595,576
C,B,True,9.961563100107014,2073,915,896
B,D,True,9.820350600173697,1957,788,768
C,C,True,18.26498039998114,2056,979,960
D,D,True,6.879472200060263,1725,595,576
C,C,True,8.89409160008654,2150,787,768
C,C,True,7.481612499803305,1790,659,640
D,B,True,5.523264199960977,1535,467,448
C,C,True,9.232313900021836,2183,851,832
C,C,True,10.088372000027448,1918,595,576
D,D,True,14.435302299913019,1850,723,704
D,D,True,8.257086999947205,1862,787,768
B,B,True,5.511495900107548,1432,467,448
A,A,True,8.318474299972877,1846,787,768
