answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,2.879628500013496,1113,4,0
A,D,True,2.373086699997657,978,4,0
A,B,True,2.461228599990136,1035,4,0
A,C,True,2.1789046000048984,957,4,0
C,C,True,2.385134399999515,908,4,0
C,D,True,2.8732094000006327,950,4,0
A,C,True,2.494997700006934,1098,4,0
D,C,True,2.763104400000884,1068,4,0
B,C,True,2.7998406999977306,1031,4,0
A,A,True,2.2134552000061376,1085,4,0
B,B,True,2.6218487000005553,1018,4,0
C,C,True,2.903975699999137,970,4,0
C,C,True,2.3003293000074336,1068,4,0
C,C,True,2.1509748000098625,1007,4,0
A,D,True,3.2691821000044,978,4,0
C,B,True,2.4635151000111364,952,4,0
C,C,True,2.6784909999987576,987,4,0
C,C,True,2.652071300006355,1102,4,0
C,B,True,3.1034421999938786,963,4,0
C,B,True,2.5997025000106078,1088,4,0
D,D,True,3.2306643999909284,1230,4,0
B,B,True,2.409193100000266,1256,4,0
B,D,True,2.503161699991324,1271,4,0
A,D,True,3.2675994000019273,1010,4,0
A,B,True,2.3063247999962186,1052,4,0
C,C,True,3.743026500000269,1075,4,0
B,D,True,3.650145000006887,1174,4,0
B,B,True,2.7504199000104563,1060,4,0
B,C,True,2.210777300002519,1056,4,0
D,A,True,2.141350500009139,1102,4,0
A,D,True,2.2935257000062848,917,4,0
B,B,True,2.3377951000002213,917,4,0
A,B,True,2.7038656000077026,960,4,0
A,B,True,2.4731497000029776,1138,4,0
B,B,True,2.451430800007074,984,4,0
A,B,True,2.7311673000076553,1037,4,0
C,D,True,2.601144699990982,1135,4,0
D,D,True,3.2370341999921948,950,4,0
B,C,True,2.137441500002751,1004,4,0
B,B,True,3.162215100004687,988,4,0
D,D,True,2.3075851000030525,1045,4,0
C,B,True,2.5130579999968177,1102,4,0
B,C,True,2.624039200003608,1040,4,0
D,C,True,2.973627300001681,1141,4,0
B,C,True,2.269500299997162,1033,4,0
B,C,True,2.291362999996636,1428,4,0
A,D,True,2.547482599999057,1122,4,0
A,D,True,3.0019926999957534,1347,4,0
D,D,True,2.109329399987473,1175,4,0
C,B,True,2.7634489000047324,1064,4,0
B,D,True,2.3911928000015905,1147,4,0
D,D,True,2.6185153999977047,1201,4,0
D,D,True,2.571214700001292,1200,4,0
A,A,True,2.375852900004247,1436,4,0
C,C,True,2.4537981000030413,1032,4,0
D,C,True,2.507230500006699,1258,4,0
B,D,True,2.713793100003386,1404,4,0
D,B,True,2.3489343999972334,1101,4,0
C,D,True,2.4523177000082796,1231,4,0
D,D,True,2.7952243000036106,1114,4,0
A,B,True,2.7042629000061424,1183,4,0
C,B,True,2.5529475000075763,1317,4,0
B,B,True,2.736462799992296,1199,4,0
A,C,True,2.2051855999889085,1115,4,0
D,D,True,3.1234166999929585,1177,4,0
A,C,True,2.8812801000021864,1253,4,0
A,C,True,2.620129300004919,1124,4,0
A,C,True,3.4007657999900403,1204,4,0
D,D,True,2.538052099989727,1280,4,0
D,D,True,2.7362769000028493,1185,4,0
B,B,True,2.8356478000059724,1225,4,0
D,D,True,2.5069209999928717,1333,4,0
A,C,True,2.3179416000057245,1417,4,0
C,D,True,3.633432900009211,963,4,0
D,C,True,2.9979594000033103,1051,4,0
C,C,True,2.2862806000048295,1096,4,0
