answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,4.553991799999494,1909,1,898
A,A,True,3.6783618000044953,1461,1,571
A,A,True,3.685923900004127,1579,1,634
A,A,True,3.678360900012194,1478,1,612
C,C,True,3.4440668000024743,1361,1,535
C,B,True,3.6152469999942696,1455,1,585
A,A,True,4.034702800010564,1780,1,775
D,C,True,4.312969899998279,1725,1,752
B,C,True,4.649961699993582,1737,1,798
A,A,True,4.246582300009322,1722,1,728
B,B,True,4.193047900000238,1661,1,730
C,C,True,3.919644999987213,1512,1,625
C,C,True,4.797115299996221,1830,1,856
C,C,True,3.220413799994276,1552,1,635
A,A,True,3.8815297999972245,1542,1,650
C,C,True,3.436528400008683,1344,1,471
C,A,True,3.832803099998273,1538,1,637
C,C,True,4.612779999995837,1817,1,819
C,C,True,4.569242300000042,1579,1,703
C,C,True,4.493355900005554,1847,1,855
D,D,True,5.07931830000598,1909,1,797
B,B,True,5.242130999991787,2153,1,1027
B,B,True,3.7875407000101404,1699,1,548
A,D,True,5.537119599990547,1779,1,855
A,D,True,5.774194400000852,1919,1,965
C,C,True,3.7498581999971066,1653,1,676
B,B,True,5.180238400003873,1992,1,926
B,A,True,4.476547700003721,1814,1,841
B,C,True,4.326217399997404,1740,1,777
D,A,True,5.00317310000537,1891,1,895
A,B,True,4.609371900005499,1554,1,706
B,C,True,4.230528499989305,1482,1,651
A,D,True,4.902798900002381,1671,1,796
A,A,True,4.710337399999844,2062,1,1027
B,B,True,3.616196000002674,1501,1,600
A,B,True,4.029124399996363,1682,1,738
C,D,True,8.30264179999358,2581,1,1553
D,D,True,3.8864094999880763,1491,1,621
B,C,True,4.810882200006745,1771,1,857
B,B,True,5.788889699993888,1886,1,986
D,D,True,4.393904600001406,1682,1,732
C,C,True,5.195964500002447,1937,1,936
B,C,True,6.894340999991982,2178,1,1228
D,C,True,5.039573500005645,1922,1,885
B,A,True,4.926723900003708,1844,1,900
B,A,True,6.980525899998611,2637,1,1345
A,A,True,5.771919599996181,1982,1,968
A,A,True,6.070165900004213,2420,1,1208
D,D,True,5.63698260000092,2119,1,1050
C,C,True,4.62551290000556,1900,1,923
B,B,True,4.830484099991736,1950,1,908
D,D,True,3.916966099990532,1897,1,803
D,D,True,5.615886999992654,2233,1,1141
A,A,True,5.562478099993314,2527,1,1228
C,C,True,3.5968471999949543,1611,1,680
D,A,True,5.207079100000556,2273,1,1128
B,D,True,8.577077999987523,3001,1,1752
D,D,True,4.362816299995757,1845,1,849
C,D,True,4.52145770000061,2070,1,942
D,C,True,4.265473299994483,1857,1,852
A,A,True,4.5941935000009835,1950,1,882
C,B,True,4.9858619000006,2189,1,1002
B,D,True,4.961087100004079,2042,1,952
A,C,True,5.263695400004508,1973,1,958
D,A,True,4.513025099993683,1991,1,922
A,A,True,5.726881199996569,2328,1,1183
A,B,True,12.26655749999918,3312,1,2294
A,C,True,4.598553200004972,2057,1,966
D,D,True,5.000102699996205,2132,1,981
D,D,True,4.837810199998785,2021,1,943
B,B,True,5.382356899994193,2174,1,1053
D,D,True,6.248007899994263,2436,1,1238
A,A,True,5.712854500001413,2480,1,1221
C,C,True,4.449991699992097,1676,1,796
D,D,True,4.272611599997617,1783,1,822
C,C,True,4.399131400001352,1863,1,871
