answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,8.866254300010041,1798,1,787
A,A,True,15.462255299993558,2552,1,1662
A,A,True,10.721097600006033,2082,1,1137
A,A,True,8.326176100003067,1718,1,852
C,C,True,7.841610800009221,1622,1,796
C,B,True,9.695751199993538,1940,1,1070
A,A,True,12.194581099989591,2197,1,1192
D,D,True,9.51139859999239,1984,1,1011
B,B,True,13.215940900001442,2346,1,1407
A,A,True,9.608819000000949,2015,1,1021
B,B,True,8.614355099998647,1764,1,833
C,C,True,12.534641500009457,2152,1,1265
C,C,True,8.694778100005351,1826,1,852
C,C,True,8.354526800001622,1737,1,820
A,A,True,8.236010299995542,1779,1,887
C,C,True,6.781412500000442,1551,1,678
C,A,True,9.721003200000268,1928,1,1027
C,C,True,7.8209971000032965,1727,1,729
C,C,True,14.807747299986659,2529,1,1653
C,C,True,10.84559270000318,2163,1,1171
D,D,True,11.770764900007634,2147,1,1035
B,B,True,7.646152000001166,1865,1,739
B,B,True,10.362230500002624,2188,1,1037
A,A,True,14.683369200007292,2331,1,1407
A,D,True,16.32799299999897,2720,1,1766
C,D,True,17.997355699990294,2958,1,1981
B,B,True,8.983825999996043,2023,1,957
B,A,True,8.827163499998278,1875,1,902
B,B,True,9.226245700003346,1836,1,873
D,A,True,8.43933229999675,1829,1,833
A,A,True,12.387838800001191,2206,1,1358
B,B,True,11.509976500004996,2011,1,1180
A,A,True,18.743734899995616,2694,1,1819
A,A,True,14.238105100012035,2490,1,1455
B,B,True,7.653126999997767,1684,1,783
A,A,True,10.949926800007233,2059,1,1115
C,C,True,23.500881899992237,3543,1,2515
D,D,True,9.10678519999783,1778,1,908
B,C,True,38.93042109999806,5231,1,4317
B,B,True,9.112936700010323,1693,1,793
D,D,True,10.25424059999932,1994,1,1044
C,C,True,9.083621400000993,1944,1,943
B,C,True,12.244119399998453,2290,1,1340
D,C,True,10.166252900002291,2108,1,1071
B,B,True,11.558046399994055,2034,1,1090
B,A,True,11.448563900004956,2262,1,970
A,A,True,10.48918479999702,2078,1,1064
A,A,True,15.718505900003947,2893,1,1681
D,A,True,15.180173999993713,2686,1,1617
C,B,True,13.14697359999991,2385,1,1408
B,B,True,9.705822899995837,2044,1,1002
D,D,True,9.723873800001456,2256,1,1162
D,D,True,11.542315600003349,2374,1,1282
A,A,True,11.489747100000386,2571,1,1272
C,C,True,9.070666600004188,1849,1,918
D,C,True,12.411190400001942,2461,1,1316
B,D,True,15.052310999992187,2824,1,1575
D,C,True,13.821634699997958,2287,1,1291
C,D,True,12.15756049999618,2536,1,1408
D,C,True,11.521266700001433,2158,1,1153
A,B,True,10.72438840000541,2245,1,1177
C,B,True,10.02210770000238,2213,1,1026
B,B,True,10.653901699988637,2298,1,1208
A,C,True,12.65660139999818,2419,1,1404
D,A,True,11.984092800004873,2296,1,1227
A,B,True,9.96683760000451,2219,1,1074
A,C,True,10.604288599992287,2097,1,1079
A,A,True,64.86132900000666,8239,1,7148
D,D,True,11.123468400008278,2253,1,1102
D,D,True,11.01546190000954,2260,1,1182
B,B,True,10.065951399999904,2256,1,1135
D,D,True,10.052106600007392,2272,1,1074
A,A,True,10.02495700000145,2353,1,1094
C,D,True,14.98580409999704,2534,1,1654
D,D,True,8.724092100004782,1889,1,928
C,C,True,11.059612800003379,2038,1,1046
