answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,4.025290899997344,1567,,557
A,A,True,3.932930300012231,1505,1.0,615
A,A,True,7.428509999997914,2085,1.0,1140
A,A,True,6.220140399993397,1799,1.0,933
C,C,True,3.023995299998205,1249,,424
C,B,True,3.0558126000105403,1313,1.0,443
A,A,True,3.765407700004289,1563,1.0,558
D,D,True,6.540390300011495,1945,1.0,972
B,B,True,4.931249300017953,1611,1.0,672
A,A,True,4.323512899980415,1659,1.0,665
B,B,True,2.9074187999940477,1346,1.0,415
C,C,True,3.413071499991929,1383,1.0,496
C,C,True,4.3998295000055805,1638,1.0,664
C,C,True,3.355758199992124,1381,1.0,464
A,A,True,3.4439979000017047,1372,1.0,480
C,C,True,2.6278237999940757,1220,1.0,347
C,A,True,19.33263300001272,3803,1.0,2902
C,C,True,5.73373469998478,1849,,852
C,C,True,3.64039360001334,1383,1.0,507
C,C,True,4.0115723999915645,1628,1.0,636
D,D,True,3.460852599993814,1567,1.0,455
B,B,True,6.664230199996382,2119,1.0,993
B,B,True,6.772317399998428,2121,1.0,970
A,D,True,4.719630099978531,1660,1.0,736
A,A,True,11.70296049999888,2884,,1931
C,C,True,3.084784300008323,1418,1.0,441
B,B,True,4.08831019999343,1662,1.0,596
B,B,True,9.58456620000652,2431,1.0,1458
B,C,True,22.050512599991634,4483,1.0,3520
D,B,True,8.815994300006423,2322,1.0,1326
A,A,True,10.081859500001883,2345,1.0,1497
B,B,True,3.6893661999783944,1384,1.0,553
A,D,True,15.347716099990066,3113,1.0,2238
A,A,True,5.814726200012956,1913,1.0,878
B,B,True,3.1086455000040587,1384,1.0,483
A,A,True,4.324800200003665,1692,1.0,748
C,D,True,15.045594400027767,3469,1.0,2441
D,D,True,4.062914300011471,1507,1.0,637
B,D,True,16.194011100014905,3287,1.0,2373
B,C,True,17.831615799979772,3848,1.0,2948
D,D,True,4.090145499998471,1578,1.0,628
C,C,True,4.176741999981459,1649,1.0,648
B,B,True,15.456795100006275,3448,1.0,2498
D,C,True,318.1458413999935,63947,,62911
B,B,True,7.523920299980091,2162,1.0,1218
B,A,True,4.5736212999909185,1893,1.0,601
A,A,True,5.046774100017501,1780,1.0,766
A,A,True,9.579315500013763,2591,1.0,1379
D,A,True,9.74013130000094,2575,1.0,1506
C,C,True,14.390297800011467,3191,1.0,2214
B,B,True,3.4788536000123713,1499,1.0,457
D,D,True,3.500536399980774,1674,1.0,580
D,D,True,5.401133500010474,1988,1.0,896
A,A,True,3.9709273999906145,1820,1.0,521
C,C,True,3.951174900023034,1534,1.0,603
D,D,True,10.833503200003179,2883,,1739
B,D,True,8.53866079999716,2559,1.0,1310
D,D,True,17.54406580000068,3744,1.0,2748
C,D,True,26.457353599980706,5470,1.0,4342
D,C,True,51.32827930001076,8939,1.0,7934
A,A,True,4.502792200015392,1744,1.0,676
C,B,True,5.430065799999284,2039,,853
B,B,True,6.983387399988715,2193,1.0,1103
A,A,True,4.991464599996107,1728,1.0,713
D,A,True,8.107368900004076,2320,1.0,1251
A,A,True,6.508369399991352,2243,1.0,1098
A,C,True,17.491553900006693,3792,1.0,2774
A,C,True,18.276309100008802,4095,1.0,3004
D,B,True,15.222985000000335,3642,1.0,2491
D,A,True,17.058141499990597,3936,1.0,2858
B,B,True,9.301933899987489,2532,1.0,1411
D,C,True,5.291516199999023,1989,1.0,791
A,A,True,3.8048382000124548,1771,1.0,512
C,C,True,9.435957000008784,2357,1.0,1477
D,D,True,3.7803967999934684,1567,1.0,606
C,C,True,4.522510499984492,1664,1.0,672
