answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,C,True,1.5643921000009868,1020,2,0
A,A,True,1.0622371999925235,899,2,0
A,A,True,1.251938200002769,954,2,0
A,A,True,0.9855379000073299,875,2,0
C,A,True,0.4786465999932261,835,2,0
C,B,True,0.9967787000059616,879,2,0
A,A,True,1.1309288999909768,1014,2,0
D,C,True,0.4789654999913182,982,2,0
B,C,True,0.9669119000027422,948,2,0
A,B,True,1.0143276000017067,1003,2,0
B,D,True,0.46172229999501724,940,2,0
C,C,True,0.453792300002533,896,2,0
C,B,True,0.47974059999978635,983,2,0
C,B,True,0.4430539000022691,926,2,0
A,D,True,0.9576212000101805,901,2,0
C,A,True,0.46556140000757296,882,2,0
C,B,True,0.4730552999972133,910,2,0
C,C,True,0.9509092000080273,1007,2,0
C,C,True,0.5571018999908119,885,2,0
C,B,True,0.5180891999916639,1001,2,0
D,B,True,0.5588656000036281,1121,2,0
B,B,True,0.578137999997125,1135,2,0
B,D,True,1.0555262999987463,1160,2,0
A,D,True,0.45200540000223555,933,2,0
A,A,True,0.4809421999962069,963,2,0
C,D,True,1.1883802999946056,986,2,0
B,B,True,0.5154007999954047,1075,2,0
B,B,True,0.46868520000134595,982,2,0
B,B,True,1.0300271000014618,972,2,0
D,D,True,0.4956065000005765,1005,2,0
A,D,True,0.4569922999944538,857,2,0
B,C,True,0.45737329999974463,840,2,0
A,B,True,0.45969550000154413,884,2,0
A,B,True,0.5201826000120491,1044,2,0
B,A,True,0.6121369000029517,910,2,0
A,A,True,0.4705041999986861,953,2,0
C,B,True,1.000839200001792,1037,2,0
D,C,True,0.7454552999988664,879,2,0
B,C,True,1.3863872999936575,923,2,0
B,C,True,0.5422298000048613,909,2,0
D,C,True,0.6079977999906987,959,2,0
C,C,True,1.0175585999968462,1010,2,0
B,B,True,0.8888292000046931,959,2,0
D,B,True,0.500217300010263,1046,2,0
B,D,True,0.5067579000024125,953,2,0
B,B,True,0.5389633000013418,1301,2,0
A,B,True,0.5213647000055062,1023,2,0
A,D,True,0.5013789999939036,1221,2,0
D,C,True,0.4610848000011174,1078,2,0
C,B,True,0.48567339999135584,986,2,0
B,D,True,0.6082962000073167,1051,2,0
D,D,True,0.6385305000003427,1103,2,0
D,D,True,0.5119663999939803,1101,2,0
A,D,True,0.5502487999910954,1308,2,0
C,C,True,0.4748938000120688,940,2,0
D,A,True,0.5057263000053354,1154,2,0
B,D,True,0.5198537999967812,1258,2,0
D,B,True,0.9867092000058619,1005,2,0
C,B,True,0.525049100004253,1137,2,0
D,D,True,0.4870449000009103,1014,2,0
A,D,True,0.9562596999894595,1077,2,0
C,A,True,0.526802399996086,1196,2,0
B,D,True,0.50760050000099,1099,2,0
A,B,True,0.4915985000116052,1024,2,0
D,B,True,0.46936590000404976,1078,2,0
A,D,True,0.47590269999636803,1154,2,0
A,A,True,0.5057994999951916,1027,2,0
A,B,True,0.5153107999940403,1100,2,0
D,B,True,0.4801129000115907,1160,2,0
D,A,True,0.5472613000019919,1087,2,0
B,C,True,0.498998399998527,1130,2,0
D,B,True,0.5216600999992806,1207,2,0
A,B,True,0.4948319000104675,1268,2,0
C,B,True,0.44131939999351744,889,2,0
D,D,True,0.4637110999901779,970,2,0
C,C,True,0.4490354000008665,1001,2,0
