answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,5.798208799998974,1231,182,220
A,A,True,9.81085089998669,1516,599,675
A,B,True,8.563304499999504,1349,377,442
A,B,True,8.74090969999088,1210,319,360
C,C,True,6.96360819999245,1360,510,429
C,C,True,2.246489700002712,1280,391,471
A,C,True,14.74861399999645,1676,648,697
D,B,True,7.925382599991281,1296,293,369
B,C,True,7.041753400000744,1255,292,376
A,B,True,10.492378299997654,1420,402,510
B,B,True,8.363286700012395,1239,276,332
C,C,True,6.721034899994265,1181,269,321
C,,True,359.27060479999636,31766,30758,31896
C,B,True,11.230587999991258,1271,326,352
A,B,True,3.51608600000327,1183,263,301
C,A,True,5.707486200000858,1184,290,338
C,D,True,4.557900899992092,1194,268,319
C,A,True,1.9107340999908047,1528,497,551
C,A,True,5.613161500004935,1221,322,412
C,A,True,21.74684609999531,1324,299,336
D,D,True,9.40584459999809,1521,369,484
B,C,True,11.182820300004096,1668,501,585
B,A,True,20.839385299987043,1999,810,951
A,C,True,9.03100310001173,1305,354,410
A,A,True,8.836323600000469,1429,434,431
C,B,True,8.242737199994735,1297,295,416
B,B,True,4.833718699999736,1498,408,512
B,D,True,11.023240800001076,1429,433,530
B,A,True,8.35952849999012,1357,363,416
D,D,True,3.0035285000049043,1251,214,239
A,B,True,14.777202700002817,1506,638,704
B,D,True,1.6461812000052305,1165,303,336
A,D,True,64.94815709999239,1677,775,927
A,A,True,14.32436559999769,1624,551,656
B,B,True,3.788799600006314,1488,561,622
A,C,True,11.142018400001689,1690,723,920
C,A,True,5.47452049999265,1373,306,426
D,B,True,8.06735870000557,1414,524,605
B,A,True,12.848270500006038,1261,324,321
B,A,True,5.188031500001671,1199,271,344
D,D,True,5.549195100000361,1302,321,416
C,B,True,2.000181099996553,1317,272,317
B,A,True,7.785514999995939,1611,634,657
D,C,True,5.466491900006076,1494,433,535
B,A,True,7.291190699994331,1219,246,302
B,B,True,5.483311599993613,1728,391,484
A,A,True,2.497325999996974,1346,303,421
A,C,True,13.19271970000409,1675,418,416
D,B,True,13.039673799998127,1619,514,646
C,B,True,5.31085009999515,1425,419,517
B,C,True,9.139889300000505,1588,515,662
D,D,True,6.129989399996703,1378,249,291
D,D,True,4.4106230000033975,1372,244,331
A,D,True,10.613981399990735,1749,384,492
C,B,True,24.256965499997023,2987,2031,2284
D,D,True,17.667170700005954,1901,714,700
B,A,True,14.000113999994937,2215,909,1136
D,B,True,10.72480870000436,1374,338,398
C,D,True,5.245802799996454,1556,394,466
D,C,True,10.968743500008713,1502,465,462
A,D,True,7.389185799998813,1420,315,401
C,C,True,5.719329499988817,1526,300,336
B,A,True,3.019178800008376,1626,501,672
A,B,True,8.763291399998707,1370,330,430
D,A,True,9.545028199994704,1366,265,262
A,A,True,16.34496930000023,1921,729,830
A,B,True,12.379069699993124,1640,591,589
A,B,True,3.765856400001212,1765,644,636
D,B,True,11.385249500002828,1633,428,560
D,A,True,7.249354700004915,1456,347,421
B,B,True,9.737678400008008,1466,301,437
D,A,True,8.507726600000751,1644,414,542
A,C,True,7.81845059999614,1671,358,457
C,B,True,11.673206500010565,1461,557,716
D,B,True,16.64596029999666,1722,733,950
C,B,True,6.991023900001892,1558,531,725
