answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,11.607743100030348,1744,586,576
A,A,True,18.35613500000909,1831,650,640
D,D,True,19.366894599981606,2071,842,832
D,D,True,24.591832400066778,2649,1418,1408
B,B,True,19.844845100073144,2077,842,832
A,A,True,9.587864900007844,1467,330,320
D,D,True,27.789171200012788,2701,1354,1344
D,D,True,27.31496879993938,2274,970,960
D,C,True,27.492035900009796,2320,1034,1024
A,A,True,47.91676550009288,2913,1610,1600
D,D,True,14.471408900106326,1752,586,576
C,C,True,9.020473700016737,1684,458,448
C,C,True,25.79518530005589,2245,1098,1088
D,C,True,84.26418770011514,4711,3594,3584
D,D,True,25.340730200055987,2500,1290,1280
D,D,True,54.68240460008383,3837,2633,2624
C,C,True,14.635992600116879,2081,650,640
C,C,True,21.981277500046417,2278,970,960
A,B,True,39.61245450004935,3093,1802,1792
A,D,True,21.45388410007581,2220,1034,1024
B,B,True,17.30130030005239,1868,650,640
B,C,True,8.852391400141641,1528,330,320
C,C,True,15.201663499930874,1826,586,576
C,C,True,17.212898599915206,1655,394,384
D,D,True,20.12912499997765,2051,841,832
B,A,True,40.88006539992057,2045,906,896
D,D,True,22.81622439995408,2449,1098,1088
C,D,True,35.278735199943185,6213,1674,1664
B,D,True,27.4936025000643,2452,970,960
C,C,True,11.68013079999946,1914,586,576
C,D,True,31.3043249999173,15557,1034,1024
A,A,True,14.706449900055304,1924,586,576
B,C,True,47.41757070017047,9333,1866,1856
B,D,True,26.36283200001344,2247,1034,1024
A,B,True,13.573318100068718,1675,522,512
B,D,True,25.254096299875528,2310,1162,1152
A,A,True,44.14630229980685,2617,1290,1280
C,B,True,32.54323439998552,2782,1354,1344
C,C,True,15.179529699962586,1793,522,512
C,C,True,28.35631929989904,2416,1034,1024
A,B,True,39.92273520003073,2307,971,960
D,C,True,14.975493100006133,2035,650,640
D,D,True,18.79280749987811,2251,842,832
B,B,True,14.20784809999168,1733,522,512
C,A,True,27.951800500042737,2399,1162,1152
C,C,True,24.17550090001896,2052,906,896
A,A,True,16.50981969991699,1912,714,704
D,D,True,82.58256889996119,1851,650,640
B,B,True,20.492452500155196,2395,778,768
B,D,True,30.716307499911636,2727,1418,1408
A,A,True,35.677147899987176,2821,1675,1664
A,D,True,113.80022700014524,3196,1738,1728
C,D,True,28.372377400053665,3065,1674,1664
C,A,True,52.54893979988992,3596,2122,2112
D,D,True,14.68271980015561,1822,458,448
B,B,True,10.602901400066912,1769,586,576
B,B,True,11.489247699966654,1759,586,576
B,B,True,31.39374090009369,2551,1290,1280
D,D,True,21.261524599976838,2694,906,896
C,A,True,69.85898709995672,5175,3786,3776
C,B,True,81.29663420002908,5425,3722,3712
A,D,True,17.260321400128305,2696,970,960
D,D,True,20.630921799922362,2951,842,832
A,A,True,52.48333349986933,4192,2826,2816
B,B,True,20.90277859987691,3412,1098,1088
D,D,True,14.728197700111195,2020,714,704
A,B,True,12.473914200207219,1956,586,576
B,B,True,14.027251800056547,2020,778,768
C,C,True,5.40098339994438,1418,266,256
D,D,True,16.442299500107765,2136,842,832
A,D,True,50.3978839002084,4272,2762,2752
C,C,True,14.855960999848321,2411,906,896
A,A,True,40.30346770002507,2817,1545,1536
C,C,True,22.7507017001044,2890,1546,1536
B,B,True,29.43621199997142,2736,1482,1472
D,B,True,39.27719209995121,3391,1994,1984
B,B,True,9.204726200085133,1712,522,512
B,D,True,47.580825600074604,2203,1098,1088
B,D,True,39.75580779998563,1964,714,704
D,D,True,16.04738250002265,2056,842,832
C,C,True,18.934444200014696,2019,778,768
B,D,True,125.65710519999266,5879,4619,4608
C,D,True,36.41580599988811,2347,1034,1024
C,B,True,21.441744700074196,2194,906,896
C,C,True,50.29577279998921,4331,2762,2752
D,D,True,29.278450400102884,2937,1545,1536
C,C,True,16.37707839999348,2340,1098,1088
B,D,True,32.98476039990783,3095,1354,1344
D,D,True,14.591056300094351,1935,522,512
C,C,True,14.250146199949086,1939,714,704
D,D,True,9.314713099971414,1687,458,448
D,B,True,39.773317700019106,3857,2314,2304
A,C,True,29.328601600136608,5942,1354,1344
A,D,True,102.07431820011698,4393,3082,3072
A,B,True,78.31281490018591,4438,3018,3008
A,D,True,38.43451809999533,3328,1673,1664
D,D,True,30.0214849000331,2643,1354,1344
C,B,True,24.690361900022253,2623,1226,1216
C,D,True,14.763629799941555,2105,778,768
D,B,True,18.356005700072274,2543,1162,1152
D,D,True,22.180268299998716,2409,970,960
B,D,True,33.05742339999415,2656,1418,1408
A,A,True,28.35108990012668,2984,1418,1408
D,B,True,19.48300140001811,2658,1162,1152
A,C,True,49.18467790004797,3666,2445,2432
C,D,True,30.52605099999346,2802,1482,1472
C,B,True,23.08451780001633,2444,970,960
D,D,True,25.74638620018959,2818,1290,1280
B,D,True,64.24296869989485,4558,3210,3200
B,B,True,11.063811300089583,1719,522,512
D,C,True,35.072012700140476,3178,1930,1920
B,C,True,76.81556370016187,5146,3722,3712
D,A,True,46.51419229991734,3400,2122,2112
D,D,True,21.892333599971607,2536,1098,1088
