answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,2.8121454999782145,1240,82,72
A,A,True,4.503190299961716,1342,161,151
D,D,True,2.6745212999521755,1318,89,79
D,D,True,5.027411199989729,1440,209,199
B,B,True,5.313920599990524,1417,182,172
A,A,True,3.9168449999997392,1218,81,71
D,C,True,12.61033600004157,1854,507,497
D,D,True,3.002228799974546,1392,88,78
D,C,True,5.105519100034144,1445,159,149
A,C,True,4.354991300031543,1466,163,153
D,D,True,2.500554300029762,1247,81,71
C,C,True,2.107278299983591,1302,76,66
C,C,True,2.6042250000173226,1239,92,82
D,C,True,4.295858799945563,1294,177,167
D,D,True,2.8337031999835745,1318,108,98
D,D,True,3.457903400005307,1324,120,110
C,C,True,6.578855300031137,1612,181,171
C,C,True,5.796865300042555,1480,172,162
A,A,True,20.634585299994797,2246,955,945
A,A,True,2.0829606999759562,1247,61,51
B,D,True,5.449964300030842,1423,205,195
B,C,True,5.058139499975368,1372,174,164
C,C,True,3.4486458000028506,1376,136,126
C,C,True,2.8683122999500483,1358,97,87
D,D,True,5.065812300017569,1333,123,114
B,D,True,3.4642210000311024,1248,109,99
D,A,True,5.303234999999404,1523,172,162
C,D,True,4.55334009998478,4688,149,139
B,B,True,5.58803100005025,1693,211,201
C,C,True,3.3086377999861725,1436,108,98
C,C,True,5.834576900000684,14687,164,154
A,A,True,5.6833704999880865,1481,143,133
B,B,True,7.977959399984684,7769,302,292
B,C,True,7.013377199997194,1457,244,234
A,B,True,4.065670200041495,1324,171,161
B,D,True,7.631404199986719,1381,233,223
A,A,True,2.6117832000018097,1400,73,63
C,B,True,6.208259600040037,1629,201,191
C,C,True,5.372454299998935,1468,197,187
C,C,True,2.374997799983248,1453,71,61
A,B,True,2.0468435999937356,1400,64,54
D,C,True,4.062108199985232,1531,146,136
D,C,True,9.483543000009377,1775,366,356
B,B,True,3.730341199960094,1316,105,95
C,D,True,9.48704739997629,1518,281,271
C,D,True,4.630701799993403,1312,166,156
A,A,True,7.12469319999218,1419,221,211
D,D,True,3.1608411999768578,1287,86,76
B,B,True,4.841271999990568,1763,146,136
B,B,True,8.777871300000697,1587,278,268
A,A,True,5.545897199946921,1359,213,203
A,D,True,7.962900199985597,1733,275,265
C,D,True,10.952908599982038,1807,416,406
C,D,True,5.070089199987706,1681,207,197
D,D,True,1.9423565999604762,1398,34,24
B,B,True,3.391630099969916,1269,86,76
B,B,True,1.640331899980083,1215,42,32
B,B,True,4.110042800020892,1396,135,125
D,D,True,4.8690163000137545,1925,137,127
C,D,True,5.102072300040163,1545,156,146
C,B,True,6.003850900044199,1901,198,188
A,A,True,14.531089600000996,2220,494,484
D,D,True,7.460499800043181,2388,279,269
A,C,True,5.435274599993136,1572,206,196
B,C,True,6.08462740003597,2520,206,196
D,D,True,3.3493222999968566,1394,88,78
A,B,True,4.466384500032291,1530,160,150
B,B,True,3.1530576999648474,1349,107,97
C,C,True,4.078958300000522,1274,122,112
D,D,True,3.5381558999652043,1404,110,100
A,A,True,14.579041299992241,2077,567,557
C,D,True,5.5811024000286125,1645,140,130
A,A,True,5.744125000026543,1467,195,185
C,C,True,8.82419839996146,1631,287,277
B,C,True,4.7549387000035495,1431,177,167
D,D,True,4.1303063000086695,1520,123,113
B,B,True,3.790137100033462,1304,114,104
B,B,True,3.711197800002992,1275,170,160
B,B,True,8.787326199992094,1552,302,292
D,D,True,3.5156063999747857,1321,107,97
C,C,True,4.940261600015219,1413,172,162
B,C,True,9.059921100037172,1606,346,336
C,D,True,7.367070600041188,1575,262,252
C,B,True,4.502764999982901,1401,113,103
C,C,True,8.750325099972542,1830,261,251
D,D,True,5.375260000000708,1608,216,206
C,C,True,2.685669400030747,1359,117,107
B,A,True,4.947281099972315,1921,180,170
D,D,True,3.410913100000471,1520,107,97
C,C,True,2.5645258000004105,1305,80,70
D,D,True,1.980709699972067,1263,34,24
D,D,True,5.8694628000375815,1779,236,226
A,C,True,5.772909499995876,4764,176,166
A,B,True,9.457945599977393,1616,305,295
A,A,True,20.683369099977426,2215,795,785
A,D,True,10.667529800033662,2013,358,348
D,D,True,6.767787799995858,1541,252,242
C,B,True,2.4436799999675713,1469,72,62
C,C,True,5.15915069996845,1500,173,163
D,B,True,5.112134099996183,1535,154,144
D,C,True,4.54022680001799,1579,140,130
B,D,True,3.3810607999912463,1365,127,117
A,B,True,18.1754801000352,2273,707,696
D,B,True,4.434644800028764,1651,155,145
A,C,True,11.271642899955623,1705,484,474
C,D,True,8.078532899962738,1567,247,237
C,B,True,4.730735499993898,1618,144,134
