answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,C,True,10.193415799876675,2009,851,832
A,A,True,5.660164200002328,1584,403,384
D,D,True,6.93221680005081,1760,531,512
D,D,True,35.612757600145414,2594,1363,1344
B,C,True,7.178101800149307,1830,595,576
A,A,True,8.373168300138786,1860,723,704
D,C,True,8.59923529997468,1942,595,576
D,C,True,8.401552400086075,2027,723,704
D,C,True,5.19974199985154,1689,403,384
A,C,True,15.96415269980207,2922,1619,1600
D,D,True,13.229070300003514,2401,1235,1216
C,C,True,5.7896352000534534,1693,467,448
C,C,True,16.440156399970874,2766,1619,1600
D,D,True,8.891829599859193,1904,787,768
D,D,True,6.183938700007275,1485,275,256
D,D,True,6.43649600003846,1671,467,448
C,D,True,8.11728210002184,2026,595,576
C,D,True,7.118989399867132,1903,595,576
A,D,True,17.627824699971825,2909,1618,1600
A,A,True,13.668599300086498,2421,1235,1216
B,B,True,13.95155130000785,2453,1235,1216
B,D,True,9.284538199892268,2113,915,896
C,C,True,4.341975300107151,1579,339,320
C,C,True,5.992550799855962,1792,531,512
D,B,True,12.47973579983227,2447,1237,1216
B,C,True,9.481041999999434,1926,787,768
D,D,True,6.439016800140962,1882,531,512
C,C,True,18.10726869991049,6030,1491,1472
B,D,True,15.972030299948528,2781,1299,1280
C,A,True,10.209285099990666,2179,851,832
C,D,True,7.091524200048298,14990,467,448
A,C,True,7.979255399899557,2061,723,704
B,A,True,10.984639399917796,8382,915,896
B,C,True,5.276490800082684,1616,403,384
A,A,True,5.999690700089559,1620,467,448
B,D,True,14.9832038001623,2511,1363,1344
A,B,True,20.181637099944055,3138,1811,1792
C,C,True,9.254854700062424,2151,723,704
C,D,True,3.2621734999120235,1482,211,192
C,C,True,4.514764299849048,1721,339,320
A,A,True,7.557075799908489,1995,659,640
D,C,True,4.739346100017428,1724,339,320
D,C,True,6.378102199872956,1940,531,512
B,D,True,13.651561999926344,2511,1300,1280
C,C,True,9.14480399992317,2024,787,768
C,B,True,17.83413069997914,2894,1748,1728
A,A,True,6.815779600059614,1729,531,512
D,D,True,6.761836800025776,1732,531,512
B,B,True,6.944171600043774,2148,531,512
B,C,True,15.777635599952191,2608,1299,1280
A,C,True,9.861580200027674,1869,723,704
A,A,True,10.83989330008626,2373,915,896
C,C,True,15.197466500103474,2754,1363,1344
C,A,True,33.9258175001014,4630,3156,3136
D,D,True,4.6474343000445515,1639,275,256
B,D,True,5.599107400048524,1650,467,448
B,D,True,7.353246900020167,1704,531,512
B,D,True,6.808023300021887,1856,595,576
D,D,True,9.034301599953324,2447,659,640
C,D,True,9.546504199970514,2176,787,768
C,C,True,12.080075800186023,2746,1043,1024
A,D,True,10.847050600219518,2769,1043,1024
D,A,True,8.119507899973541,2832,723,704
A,D,True,27.9628967999015,4008,2642,2624
B,B,True,12.371011900017038,3293,979,960
D,B,True,5.146402399986982,1709,403,384
A,B,True,6.422868900001049,1901,531,512
B,D,True,9.193144300021231,2029,787,768
C,C,True,13.46110050007701,2131,979,960
D,D,True,13.266909499885514,2337,1043,1024
A,D,True,14.900880600092933,2810,1300,1280
C,D,True,12.105257299961522,2613,1108,1088
A,A,True,18.310165000148118,2763,1491,1472
C,D,True,7.576440699864179,1875,531,512
B,D,True,20.970685599837452,3321,2067,2048
D,A,True,15.150047099916264,2696,1299,1280
B,D,True,5.910747399786487,1657,467,448
B,C,True,14.870883600087836,2468,1363,1344
B,D,True,12.291778200073168,2357,1107,1088
D,D,True,5.42868490004912,1617,403,384
C,B,True,6.835994499968365,1708,467,448
B,D,True,11.508555199950933,2239,979,960
C,B,True,13.412673499900848,2612,1299,1280
C,B,True,6.090391699923202,1755,467,448
C,C,True,10.94577160011977,2612,1043,1024
D,A,True,10.693495100131258,2371,979,960
C,C,True,18.230448700021952,2925,1683,1664
B,C,True,14.193060899851844,2912,1171,1152
D,D,True,5.65751860011369,1880,467,448
C,C,True,16.860340800136328,2908,1683,1664
D,D,True,4.57680179993622,1568,339,320
D,B,True,9.364941699896008,2330,787,768
A,C,True,4.561291600111872,4927,339,320
A,C,True,12.745546899968758,2546,1235,1216
A,D,True,14.410206399857998,2784,1364,1344
A,B,True,14.701655300101265,3146,1491,1472
D,D,True,27.067696599988267,2396,1107,1088
C,D,True,13.026970299892128,2568,1171,1152
C,A,True,85.07362030004151,2434,1107,1088
D,B,True,11.356948300031945,2488,1107,1088
D,D,True,22.003876599948853,2739,1300,1280
B,B,True,7.036722399992868,1769,531,512
A,C,True,19.35242549981922,3441,1875,1856
D,B,True,14.087864399887621,2859,1363,1344
A,C,True,10.719423699891195,2202,981,960
C,D,True,9.953650400042534,2235,915,896
C,C,True,10.251374199986458,2325,851,832
D,D,True,6.09906359994784,2059,531,512
B,A,True,81.62443510000594,2263,915,896
B,B,True,11.075477899983525,2048,851,832
D,C,True,15.6047966000624,2483,1235,1216
B,C,True,22.251314900116995,2915,1491,1472
D,C,True,6.703162099933252,1809,531,512
D,D,True,11.429552600020543,2289,851,832
C,D,True,4.308885700069368,1847,275,256
D,D,True,8.713376200059429,1865,467,448
C,C,True,16.783618200104684,2521,1171,1152
C,A,True,17.49189359997399,2771,1235,1216
A,A,True,18.355243799975142,2707,1363,1344
A,B,True,9.45271149999462,2230,787,768
D,D,True,9.621475600171834,2843,787,768
C,C,True,7.814198700012639,1754,531,512
B,C,True,10.150431199930608,2198,787,768
D,D,True,3.4198412999976426,1497,211,192
B,D,True,9.222638400038704,2416,851,832
C,C,True,4.3838094000238925,1465,275,256
A,D,True,5.2395759001374245,1962,403,384
D,D,True,7.261059599928558,1897,595,576
B,B,True,12.748701700009406,2252,915,896
D,B,True,10.922304000006989,2468,852,832
D,A,True,14.556078199995682,2767,1363,1344
C,C,True,3.927642200142145,1765,275,256
B,A,True,13.785229000030085,2694,1299,1280
C,D,True,12.126966099953279,2534,1173,1152
C,D,True,7.782484000083059,2083,723,704
B,A,True,7.6383450999855995,1775,531,512
A,A,True,8.692430199822411,2177,725,704
A,B,True,22.82810809998773,2665,1363,1344
C,B,True,10.840834199916571,2408,979,960
C,D,True,8.819107000017539,2009,787,768
B,B,True,4.8065935000777245,1998,403,384
C,C,True,9.669644099893048,2351,787,768
D,D,True,10.789268899941817,3044,851,832
D,D,True,13.393654700135812,2703,1172,1152
A,D,True,7.901098700007424,2115,659,640
C,C,True,9.236161999870092,2307,787,768
C,B,True,8.815183899831027,2030,787,768
A,B,True,5.432101000100374,1679,403,384
B,D,True,5.617468300042674,1884,467,448
B,B,True,6.1481448002159595,1651,467,448
A,C,True,8.466169699793682,1865,723,704
