answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
C,A,True,19.66327239992097,1998.0,610.0,
A,C,True,3.337697000009939,1766.0,349.0,
D,B,True,7.920089200139046,1750.0,274.0,
D,D,True,16.82595660001971,2085.0,612.0,0.0
B,D,True,18.41238660016097,2088.0,608.0,
A,D,True,6.9092242999468,1367.0,1.0,0.0
D,B,True,36.23779409984127,2898.0,1277.0,
D,D,True,9.757480599917471,1874.0,315.0,
D,C,True,7.7473553000018,1853.0,318.0,
A,C,True,9.824297500075772,1977.0,415.0,
D,C,True,6.4220920000225306,1642.0,247.0,
C,B,True,5.026546800043434,2436.0,969.0,
C,D,True,12.99235159996897,2013.0,639.0,
D,B,True,11.034018100006506,1746.0,404.0,
D,B,True,3.3880924000404775,1446.0,1.0,0.0
D,C,True,19.70959679991938,4180.0,2735.0,
C,B,True,10.832890400197357,2053.0,355.0,0.0
C,C,True,14.769862300017849,2086.0,511.0,
A,A,True,24.888830399839208,2625.0,1080.0,
A,B,True,5.027975199976936,1424.0,1.0,0.0
B,A,True,13.934823699994013,2010.0,558.0,0.0
B,D,True,34.9068464001175,2289.0,859.0,0.0
C,D,True,8.886437400011346,1836.0,353.0,
C,C,True,9.386082500219345,1832.0,300.0,0.0
D,D,True,2.6048531997948885,1868.0,411.0,
B,C,True,12.530381799908355,1837.0,471.0,0.0
D,C,True,7.402930299984291,1922.0,274.0,
C,D,True,20.747203999897465,10422.0,546.0,
B,,True,69.84634810010903,2234.0,441.0,441.0
C,C,True,18.352957000024617,2036.0,433.0,
C,,False,,,,
A,B,True,12.250612099887803,2084.0,489.0,
B,A,True,9.800323500065133,7966.0,196.0,0.0
B,C,True,2.9119793998543173,1794.0,336.0,
A,C,True,12.380338500021026,1816.0,432.0,0.0
B,B,True,10.341997900046408,1817.0,442.0,
A,,True,150.9644088000059,5583.0,4000.0,
C,C,True,11.794882900081575,1989.0,280.0,0.0
C,D,True,13.464025699999183,1950.0,431.0,0.0
C,C,True,9.041879400145262,1970.0,314.0,0.0
A,B,True,12.283358599990606,2001.0,405.0,
D,B,True,13.534195800079033,2001.0,343.0,
D,D,True,10.533510399982333,2010.0,321.0,0.0
B,C,True,17.274885500082746,2214.0,770.0,
C,B,True,13.04289979999885,1971.0,492.0,0.0
C,D,True,11.284465899923816,1798.0,422.0,0.0
A,D,True,11.933780799852684,1938.0,491.0,
D,B,True,12.759303100174293,1832.0,401.0,0.0
B,C,True,8.70392580004409,2236.0,294.0,
B,D,True,14.015750400023535,2144.0,584.0,
A,D,True,8.86972890002653,1686.0,314.0,
A,D,True,15.967200699960813,2274.0,526.0,
C,B,True,9.413069000001997,2116.0,449.0,
C,D,True,9.562658099923283,2131.0,343.0,0.0
D,D,True,6.570317599922419,1913.0,259.0,
B,B,True,8.48925119987689,1762.0,336.0,
B,,True,165.39548079995438,5402.0,4000.0,
B,B,True,10.93825690005906,2035.0,527.0,
D,D,True,11.72314600017853,2636.0,509.0,
C,D,True,15.849860300077125,2188.0,527.0,
C,A,True,16.382537599885836,2606.0,560.0,0.0
A,D,True,11.283498599892482,2451.0,378.0,
D,C,True,18.80491070006974,3179.0,645.0,0.0
A,,True,271.9812604000326,5646.0,4000.0,
B,B,True,31.404090999858454,3290.0,558.0,0.0
D,D,True,7.106584799941629,1902.0,348.0,
A,A,True,2.2492517998907715,3635.0,2004.0,
B,A,True,32.918417799985036,2295.0,813.0,0.0
C,D,True,18.03472979995422,1995.0,609.0,
D,C,True,9.451509300153702,1874.0,318.0,0.0
A,C,True,13.775139200035483,2275.0,461.0,0.0
C,A,True,5.401257300050929,2768.0,980.0,
A,D,True,5.581025800202042,2140.0,614.0,
C,B,True,2.049592399969697,1612.0,1.0,0.0
B,D,True,11.932534800143912,1912.0,426.0,0.0
D,B,True,90.87418489996344,2250.0,578.0,
B,B,True,2.650201000040397,1722.0,296.0,
B,A,True,25.548676899867132,2258.0,930.0,
B,B,True,3.9227144999895245,1891.0,397.0,
D,B,True,9.55436830013059,1879.0,424.0,
C,C,True,14.421486800070852,2142.0,654.0,
B,D,True,10.210410099942237,1831.0,326.0,
C,B,True,13.9397450000979,2220.0,645.0,
C,D,True,12.25802499987185,2253.0,713.0,
C,,True,141.10733150015585,5903.0,4000.0,
D,C,True,7.972739499993622,1870.0,209.0,0.0
C,A,True,20.89173400006257,2566.0,1078.0,
B,C,True,2.6624576000031084,2376.0,276.0,
D,C,True,1.4853305998258293,2100.0,410.0,
C,C,True,3.6289210999384522,1899.0,430.0,
D,D,True,8.029157900018618,1737.0,271.0,0.0
D,A,True,9.701252599945292,2210.0,353.0,0.0
A,,True,144.18704720004462,8970.0,4000.0,
A,A,True,20.45143730007112,2317.0,745.0,
A,B,True,18.41586420009844,2358.0,652.0,0.0
A,B,True,2.9885268001817167,2446.0,459.0,
D,C,True,3.9784872999880463,2039.0,487.0,
C,C,True,3.458559500053525,2093.0,400.0,
C,B,True,17.089174199849367,2154.0,570.0,0.0
D,D,True,7.867646399885416,1976.0,309.0,
D,B,True,9.882741899928078,2145.0,427.0,
B,B,True,32.221571299945936,1855.0,374.0,
A,A,True,47.172142499824986,3569.0,1716.0,
D,B,True,23.477258399827406,2683.0,888.0,0.0
A,D,True,8.9550490998663,1856.0,405.0,
C,D,True,2.5901729001197964,1950.0,365.0,
C,C,True,11.934843699913472,2232.0,465.0,0.0
D,A,True,12.43081169994548,2307.0,477.0,0.0
B,C,True,20.920229100156575,2459.0,842.0,
B,C,True,18.48428299999796,2102.0,665.0,
D,D,True,9.703183900099248,1833.0,346.0,
B,C,True,32.841275699902326,3088.0,1398.0,
D,B,True,3.0443384000100195,1835.0,305.0,
D,A,True,3.4000117001123726,2202.0,480.0,
C,,True,154.03786140005104,5856.0,4000.0,
D,,True,263.8405953999609,5684.0,4000.0,
C,D,True,8.271406300133094,1959.0,341.0,
C,C,True,18.762177200056612,2540.0,703.0,
A,A,True,1.8550480999983847,1620.0,1.0,0.0
A,A,True,11.617367800092325,2048.0,331.0,
D,D,True,14.244512600125745,2954.0,514.0,0.0
C,D,True,4.575357399880886,1884.0,411.0,
B,B,True,3.9259411999955773,2240.0,547.0,
D,B,True,5.408235799986869,1867.0,329.0,
B,D,True,26.420028599910438,2739.0,880.0,
C,C,True,21.565690099960193,1952.0,529.0,
A,B,True,13.843123200116679,2411.0,538.0,
D,D,True,11.914759899955243,2144.0,586.0,
B,A,True,3.2042676999699324,2765.0,1160.0,
D,B,True,45.78195680002682,3714.0,1769.0,0.0
D,D,True,2.6169302000198513,1685.0,1.0,0.0
C,C,True,22.676489300094545,2840.0,1050.0,
B,C,True,15.707085799891502,2034.0,364.0,0.0
C,D,True,3.2095242999494076,2072.0,446.0,
C,D,True,7.427999000065029,1926.0,312.0,
B,C,True,7.526100600138307,1742.0,254.0,
A,D,True,14.358999100048095,2245.0,510.0,
A,B,True,8.51550230011344,1992.0,429.0,
C,D,True,8.77023489982821,2145.0,431.0,
C,D,True,8.438262899871916,1893.0,430.0,
B,D,True,19.241892400197685,2571.0,670.0,
C,D,True,7.197709900094196,2285.0,428.0,
D,D,True,11.862777899950743,2991.0,386.0,0.0
D,C,True,5.0184238001238555,2353.0,504.0,
A,B,True,9.094390999991447,2115.0,393.0,
C,A,True,10.703994699986652,2284.0,483.0,
C,A,True,18.36387210013345,2083.0,591.0,
A,B,True,3.932438800111413,2058.0,522.0,
B,D,True,4.791063500102609,1949.0,246.0,
B,C,True,11.23900349996984,1955.0,523.0,
A,D,True,23.79892889992334,2282.0,905.0,
