answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,C,True,14.202361499890685,1827,728,
D,B,True,9.82565929996781,1569,437,
B,B,True,4.879972800146788,1653,508,
C,C,True,10.027568000135943,1659,364,
B,C,True,14.626570500200614,1827,513,0.0
C,B,True,10.732926300028339,1539,353,
C,D,True,1.7492577999364585,1485,312,
D,A,True,6.383927100105211,1491,310,
C,A,True,2.5024453999940306,1836,731,
B,C,True,2.235031000105664,1452,263,
B,A,True,3.6874947000760585,1813,687,
B,C,True,11.785609300015494,1580,417,0.0
C,B,True,11.790423600003123,1716,535,
C,A,True,8.72043660003692,1525,311,0.0
D,C,True,15.409216300118715,1787,604,0.0
D,D,True,9.430977700045332,1623,416,
C,D,True,9.051457099849358,1430,277,
C,A,True,14.23028719983995,1878,635,
C,B,True,6.797554400051013,1693,379,
A,B,True,8.640711300075054,1483,296,0.0
C,C,True,11.593967800028622,2030,599,
B,B,True,27.009855800075457,2288,952,
B,B,True,8.495241299970075,1630,352,
A,C,True,11.407570200040936,1890,360,0.0
B,B,True,21.083083000034094,2155,862,
A,C,True,21.807849399978295,2211,1022,
B,B,True,6.892124100122601,1468,372,
B,B,True,8.041844400111586,1458,341,
B,D,True,39.238599500153214,2811,1516,0.0
A,C,True,8.069264099933207,1517,325,
B,A,True,2.9795580999925733,2027,736,
C,C,True,6.44801040017046,2070,602,
D,A,True,5.351184600032866,1471,246,
A,B,True,11.460862800013274,1827,445,
B,D,True,16.915032000048086,1820,594,
B,A,True,8.44836280005984,1670,369,
C,C,True,1.5080663000699133,1813,319,
C,B,True,7.98486419999972,1647,374,
B,,True,100.02208089991473,5238,4000,
B,,True,72.27910030004568,5547,4000,
B,C,True,29.517985300160944,3051,1476,
A,D,True,18.77120119985193,2025,712,
C,D,True,17.55836180015467,1953,604,
A,,True,72.44011610001326,5280,4000,
A,B,True,2.753044300014153,1165,1,0.0
C,D,True,10.847893500002101,1811,599,
B,A,True,11.605533799855039,1814,653,
B,B,True,10.915651200106367,1663,493,
B,D,True,13.18299419991672,1658,417,
A,A,True,8.061836099950597,1749,488,
D,C,True,7.9247914999723434,1742,477,
A,B,True,18.490505499998108,1864,708,0.0
C,A,True,4.234504600055516,2075,724,
B,A,True,10.00146559998393,1928,592,
A,D,True,8.520886099897325,1842,365,
D,B,True,2.1268736999481916,1273,1,0.0
C,D,True,1.7728490999434143,1321,1,0.0
B,B,True,13.449937500059605,1726,471,
D,D,True,14.958824000088498,1783,587,
D,B,True,11.378067600075155,1510,369,
D,D,True,13.889649099903181,1836,529,0.0
D,D,True,21.93405200005509,2442,841,0.0
B,D,True,13.36639599991031,1976,632,
B,A,True,2.4042520001530647,1502,257,
D,C,True,2.3974723999854177,1594,354,
B,A,True,20.5790017999243,1895,448,
C,B,True,18.83694599987939,2166,900,
D,D,True,13.58519530016929,2005,534,0.0
D,D,True,7.046712800161913,1548,264,0.0
C,C,True,9.904612199869007,1587,476,
D,A,True,8.517627600114793,1784,376,
B,B,True,8.122889300109819,1857,415,
D,B,True,16.632143400143832,2086,768,
C,B,True,8.953890499891713,1582,388,
A,C,True,11.128033900167793,1572,412,
B,B,True,5.9251128998585045,1749,440,
A,A,True,11.34647380001843,1511,391,0.0
B,B,True,25.678924599895254,2265,1051,
B,A,True,29.238616899820045,2389,1167,
A,C,True,10.66559260012582,2137,538,
A,B,True,3.526596800191328,2086,723,
A,A,True,16.29049429995939,1815,600,
B,B,True,6.981431500054896,1508,342,
B,B,True,21.9782885001041,2130,907,0.0
A,B,True,12.374496100004762,2125,747,
A,D,True,1.8145657000131905,1738,440,
C,D,True,12.52466530003585,2356,714,
A,B,True,17.372797599993646,2435,791,
B,B,True,11.829800500068814,1760,448,0.0
D,D,True,14.451564099872485,1757,512,
B,A,True,1.3810818998608738,2260,295,
A,A,True,22.033781899837777,2166,778,
D,C,True,13.743967900052667,2032,763,
C,A,True,19.95123909995891,2679,997,
C,B,True,12.783695900114253,2162,551,
A,D,True,12.944050500169396,1667,451,
B,D,True,10.508302200119942,2043,362,0.0
B,C,True,10.392078300006688,1699,499,
D,B,True,2.088208599947393,1375,1,0.0
D,C,True,9.068553699878976,1865,402,
A,A,True,7.1223363999743015,1657,292,
A,B,True,1.8184187998995185,1371,1,0.0
C,A,True,18.82789340009913,2506,761,0.0
D,D,True,16.85679190000519,1940,624,
B,A,True,12.322990500135347,2275,656,
D,D,True,24.099358799867332,1851,544,
A,B,True,2.6294801000040025,1833,360,
C,D,True,39.633996800053865,3524,2107,
A,D,True,11.95916930004023,1685,424,0.0
A,A,True,20.402609399985522,2493,725,
C,C,True,12.90563330007717,2332,670,
C,C,True,12.24623249983415,1814,452,0.0
D,D,True,8.410355999832973,1614,389,
B,D,True,20.85529619990848,2457,917,
B,C,True,3.0500048000831157,2487,881,
C,C,True,9.139207900036126,2071,467,
A,B,True,16.550486200023443,2065,697,
D,B,True,12.197074000025168,2078,498,
C,B,True,11.075497599784285,1832,436,0.0
D,B,True,9.418223100015894,1910,303,
A,C,True,11.815085900016129,1742,538,
A,D,True,2.303937799995765,1830,643,
D,A,True,21.01052170014009,2263,1015,
B,D,True,10.153114899992943,1657,488,
B,B,True,1.946373599814251,1261,1,0.0
C,A,True,10.019355199998245,1666,590,
