answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,A,True,1.2500138999894261,1664,1,
A,C,True,1.260919600026682,1853,1,
D,D,True,1.335164199816063,1702,1,
C,C,True,1.4603576001245528,1759,1,
A,C,True,1.2813648998271674,1652,1,
D,D,True,1.2275658999569714,1663,1,
B,C,True,1.2684594998136163,1588,1,
C,B,True,1.3297063000500202,1643,1,
A,D,True,1.4343894999474287,1675,1,
B,B,True,1.2674014000222087,1673,1,
D,D,True,1.6930611999705434,1802,1,
D,B,True,1.206116700079292,1629,1,
A,A,True,1.4326237000059336,1805,1,
B,D,True,1.2351933000609279,1700,1,
D,B,True,1.226183399790898,1996,1,
B,D,True,1.3310795000288635,1685,1,
D,D,True,1.2339864000678062,1706,1,
A,D,True,1.5385856998618692,1776,1,
C,C,True,1.0872089001350105,1739,1,
B,B,True,1.4296597999054939,1784,1,
D,C,True,1.125856600003317,1852,1,
A,B,True,1.4400182999670506,1632,1,
D,B,True,1.3329749000258744,1907,1,
D,B,True,1.1060971000697464,1908,1,
C,D,True,1.3274101000279188,1790,1,
D,B,True,1.267489599995315,1791,1,
A,D,True,1.071284599835053,1789,1,
B,B,True,1.2344124999362975,1998,1,
C,B,True,1.2271414001006633,1720,1,
B,D,True,1.3833028997760266,1688,1,
B,B,True,1.1284056000877172,1808,1,
B,B,True,1.4044856000691652,1771,1,
D,D,True,1.4395554000511765,1783,1,
C,A,True,1.170319200027734,1819,1,
A,A,True,1.1862763001117855,1842,1,
B,C,True,1.3297158000059426,1968,1,
C,A,True,1.1244510998949409,1894,1,
C,D,True,1.3546736999414861,1722,1,
C,C,True,1.3332938000094146,2000,1,
B,B,True,1.3491565000731498,1871,1,
D,C,True,1.2533869000617415,2373,1,
C,B,True,1.4361485000699759,1702,1,
B,B,True,1.134174200007692,1692,1,
C,A,True,1.3668668000027537,1867,1,
B,C,True,1.3653070000000298,1907,1,
C,C,True,1.5337676999624819,1794,1,
C,D,True,1.2178537000436336,1801,1,
C,B,True,1.1783312000334263,1958,1,
A,A,True,0.832668999908492,1666,1,
C,A,True,0.7168850000016391,1652,1,
C,D,True,0.8538321999367326,1640,1,
A,A,True,0.510348099982366,1745,1,
C,C,True,0.7819950000848621,1782,1,
B,B,True,0.641825299942866,1871,1,
C,A,True,0.9144106998573989,1753,1,
C,C,True,0.7178934998810291,1867,1,
B,B,True,0.6836701000574976,1856,1,
C,B,True,0.6851492999121547,1722,1,
A,C,True,0.8974158000200987,1634,1,
A,A,True,0.6204534999560565,1743,1,
D,D,True,0.8271097999531776,1695,1,
D,B,True,0.749849199783057,1777,1,
C,A,True,0.752794099971652,1956,1,
C,C,True,0.769179199822247,1878,1,
B,C,True,0.6793331000953913,1702,1,
B,B,True,0.5581753998994827,1715,1,
A,B,True,0.7746801998000592,1933,1,
B,A,True,0.9212017999961972,1674,1,
B,B,True,0.6150816001463681,1915,1,
C,C,True,0.6988224999513477,1874,1,
C,A,True,0.9029806000180542,1869,1,
B,A,True,0.8079211998265237,1800,1,
C,D,True,0.7256509999278933,1867,1,
B,B,True,0.7568127999547869,1981,1,
C,B,True,0.7573115001432598,1875,1,
C,A,True,0.8698954998981208,1785,1,
D,C,True,0.9204643999692053,1683,1,
D,D,True,0.7558784000575542,1842,1,
C,D,True,0.8071896999608725,1980,1,
A,D,True,0.5384910001885146,1941,1,
A,A,True,0.7414289999287575,1823,1,
D,D,True,0.5623270000796765,1940,1,
D,B,True,0.6889438000507653,1670,1,
A,D,True,0.9226447998080403,1829,1,
C,A,True,0.8495914000086486,1690,1,
C,D,True,0.7673293999396265,1762,1,
C,C,True,0.9224606999196112,1857,1,
D,D,True,0.8196612000465393,1779,1,
B,B,True,0.8176484999712557,1720,1,
C,B,True,0.6557621001265943,1936,1,
C,C,True,0.9393961001187563,1830,1,
B,D,True,0.8315767999738455,2101,1,
D,A,True,0.5352894999086857,2168,1,
A,C,True,0.8192187000531703,1676,1,
D,B,True,0.6427883000578731,1876,1,
D,B,True,0.9488513998221606,1650,1,
D,C,True,0.848837099969387,1778,1,
B,D,True,0.5241417998913676,2019,1,
D,D,True,0.5202833998482674,1827,1,
B,B,True,0.851552699925378,1952,1,
A,B,True,0.7219281999859959,1807,1,
A,B,True,0.7835283000022173,1840,1,
A,A,True,0.8583782000932842,1919,1,
C,B,True,0.8199924000073224,1764,1,
B,A,True,0.8185521999839693,1885,1,
B,D,True,0.7176825001370162,1797,1,
A,D,True,0.9301668999250978,1791,1,
D,D,True,0.8686794000677764,1940,1,
D,C,True,0.5651437998749316,1976,1,
A,B,True,0.6936325000133365,1708,1,
B,B,True,0.6045618001371622,1703,1,
B,D,True,0.7184019000269473,1756,1,
A,D,True,0.8191013999748975,1903,1,
B,B,True,0.61322579998523,1821,1,
D,D,True,0.8195803998969495,1859,1,
C,C,True,0.5758464999962598,1963,1,
B,C,True,1.022075799992308,1876,1,
B,A,True,0.5737352999858558,1878,1,
B,D,True,0.6879835000727326,1647,1,
C,C,True,0.61448820005171,1880,1,
C,D,True,0.9214183997828513,1751,1,
D,B,True,0.6151958999689668,1805,1,
B,C,True,0.6133769999723881,1735,1,
C,D,True,0.8198508000932634,1838,1,
A,B,True,0.6537403999827802,1562,1,
B,B,True,0.717254500137642,1852,1,
A,B,True,0.6411196999251842,2011,1,
A,B,True,0.9254829999990761,2151,1,
C,C,True,0.8207686999812722,1908,1,
A,D,True,0.7170025000814348,1952,1,
D,B,True,0.7171533999498934,1997,1,
C,C,True,0.8535297000780702,2024,1,
B,B,True,0.922198100015521,1726,1,
D,A,True,0.6118850000202656,2173,1,
D,C,True,0.7719717998988926,1886,1,
B,D,True,0.7172493000980467,1983,1,
C,C,True,0.7170832001138479,1725,1,
C,D,True,0.8140909001231194,1720,1,
C,A,True,0.719089400023222,1851,1,
B,C,True,0.7223999998532236,1806,1,
C,C,True,0.7187858000397682,1803,1,
D,D,True,0.8197301998734474,1895,1,
C,C,True,0.8208200999069959,2322,1,
A,A,True,0.7170495998580009,1804,1,
B,B,True,0.9221335998736322,3603,1,
B,A,True,0.5820262997876853,1850,1,
B,B,True,0.5294986001681536,1912,1,
C,C,True,0.7165184998884797,1946,1,
A,C,True,0.8553434999193996,1678,1,
B,B,True,0.7160479999147356,1844,1,
C,C,True,0.921881299931556,1781,1,
B,B,True,0.8203012999147177,1845,1,
D,B,True,0.9192594001069665,2129,1,
B,C,True,0.7187854999210685,1836,1,
A,B,True,0.7169025000184774,1873,1,
C,D,True,0.7776615000329912,2194,1,
B,D,True,0.8203137000091374,1865,1,
C,A,True,0.9219706000294536,1744,1,
C,D,True,0.817861600080505,1685,1,
C,D,True,0.8206203000154346,1724,1,
A,A,True,0.9603953000623733,1886,1,
B,A,True,0.6144217001274228,1749,1,
B,C,True,0.718310299795121,1776,1,
D,D,True,0.5568546000868082,1907,1,
D,C,True,0.520377199864015,1722,1,
D,B,True,0.7186924000270665,1723,1,
A,D,True,0.5132053000852466,1837,1,
D,D,True,0.7195975000504404,1915,1,
C,D,True,0.8658833000808954,1747,1,
B,B,True,0.95788440015167,2314,1,
D,B,True,1.1271331999450922,2227,1,
D,D,True,0.7179825000930578,1949,1,
C,D,True,0.768119600135833,1680,1,
D,D,True,0.5607455999124795,1842,1,
D,B,True,0.7418897000607103,1781,1,
B,D,True,1.0224278001114726,1978,1,
C,A,True,0.74870890006423,2160,1,
C,B,True,0.7171040999237448,1774,1,
C,D,True,0.716529699973762,1841,1,
A,C,True,0.8617627001367509,1947,1,
D,B,True,1.0450013000518084,1934,1,
D,B,True,0.9014558999333531,1872,1,
B,C,True,0.8191331999842077,1620,1,
