answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,A,True,12.521573700010777,2806,1,1142
A,A,True,12.37750370008871,3084,1,1231
D,D,True,7.673794700065628,2293,1,591
C,C,True,8.966098099946976,2636,1,877
A,C,True,11.066839399980381,2468,1,816
D,D,True,8.234404100105166,2331,1,668
B,C,True,7.115614699898288,2091,1,503
C,D,True,27.147413600003347,4609,1,2966
A,C,True,8.297937099821866,2383,1,708
B,B,True,9.759697899920866,2536,1,863
D,D,True,9.045229699928313,2495,1,693
D,D,True,9.07906789984554,2361,1,732
A,A,True,10.018492099829018,2682,1,877
B,B,True,11.441781800007448,2739,1,1039
D,D,True,12.79382780008018,3153,1,1157
B,B,True,11.05458589992486,2720,1,1035
D,C,True,12.504921999992803,2859,1,1153
A,A,True,13.84163250005804,3143,1,1367
C,C,True,11.552330699982122,2760,1,1021
B,B,True,11.385486100101843,2733,1,949
D,D,True,16.168344100005925,3330,1,1478
A,A,True,9.906701399944723,2513,1,881
D,D,True,11.447280199965462,2880,1,973
D,A,True,10.49271639995277,2791,1,883
C,C,True,12.510790399974212,2908,1,1118
D,D,True,13.352268300019205,3009,1,1218
A,C,True,9.823129500029609,2815,1,1026
B,B,True,10.11810309998691,2828,1,830
C,A,True,79.57555729988962,9906,1,8186
B,B,True,14.75723689980805,3013,1,1325
B,B,True,13.69139779987745,3134,1,1326
B,C,True,11.96655820007436,2932,1,1161
D,D,True,13.473875100025907,3135,1,1352
C,C,True,8.575535000069067,2627,1,808
A,A,True,13.311900899978355,2969,1,1127
B,A,True,13.620750200003386,3323,1,1355
C,C,True,14.193112000124529,3308,1,1414
C,D,True,19.828989499947056,3236,1,1514
C,C,True,16.154416099889204,3349,1,1349
B,A,True,15.211537200026214,3245,1,1374
D,D,True,12.595734199974686,3580,1,1207
C,A,True,13.770318399881944,2953,1,1251
B,B,True,10.957169699948281,2724,1,1032
C,B,True,12.355909999925643,3145,1,1278
B,B,True,12.903826500056311,3018,1,1111
C,C,True,12.699189499951899,2998,1,1204
C,C,True,13.741750600049272,3306,1,1505
C,B,True,17.22581270011142,3826,1,1868
A,A,True,12.376754000084475,2667,1,1001
C,C,True,9.213547899853438,2492,1,840
C,C,True,9.469020000193268,2608,1,968
A,A,True,16.564015799900517,3422,1,1677
C,C,True,11.113718200009316,2789,1,1007
B,B,True,10.019652799936011,2923,1,1052
C,C,True,10.919608399970457,2773,1,1020
C,A,True,12.84685069997795,3083,1,1216
B,B,True,10.475172699894756,2863,1,1007
C,C,True,11.76725020003505,2885,1,1163
A,A,True,10.929566500009969,2604,1,970
A,A,True,6.934181499993429,2433,1,690
D,D,True,8.577012100024149,2470,1,775
D,D,True,11.917088699992746,2893,1,1116
C,C,True,24.40449359989725,4539,1,2583
C,C,True,10.541381400078535,2880,1,1002
B,B,True,11.112420700024813,2736,1,1034
B,B,True,14.414364100201055,3261,1,1546
A,B,True,19.761519100051373,3811,1,1878
B,B,True,7.617854899959639,2310,1,636
B,B,True,13.317287500016391,3179,1,1264
C,C,True,10.013092400040478,2845,1,971
C,C,True,13.2938840999268,3288,1,1419
B,B,True,15.001863500103354,3309,1,1509
C,C,True,11.283474000170827,2953,1,1086
B,B,True,35.246314799878746,5791,1,3810
C,C,True,13.702110399957746,3308,1,1433
C,C,True,10.301145900040865,2803,1,1018
D,D,True,9.178609800059348,2629,1,946
D,D,True,15.123890100046992,3391,1,1549
C,C,True,13.969641800038517,3357,1,1377
A,A,True,15.08620940009132,3423,1,1482
A,A,True,14.143355699954554,3151,1,1328
D,D,True,12.597551899962127,3155,1,1215
D,D,True,10.72461669985205,2789,1,1119
A,A,True,12.395801699953154,2929,1,1100
C,C,True,9.966397400014102,2636,1,946
C,C,True,13.649252299917862,2905,1,1143
C,C,True,9.747942700050771,2817,1,960
D,D,True,10.201781600015238,2819,1,1040
B,B,True,12.027900899993256,2854,1,1134
C,C,True,10.361506900051609,2918,1,982
C,C,True,8.387043500086293,2588,1,758
B,B,True,20.297794200014323,4182,1,2081
D,A,True,18.73961879988201,4316,1,2148
A,A,True,9.724648999981582,2677,1,1001
D,A,True,12.07325639994815,3304,1,1428
D,D,True,8.463433499913663,2483,1,833
D,D,True,10.845893599791452,2722,1,944
