answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,9.749363099923357,1823,339,320
A,C,True,11.48752349987626,2494,851,832
D,C,True,6.931609399849549,1908,403,384
C,C,True,7.258095299825072,2095,532,512
A,B,True,9.75100290006958,2069,595,576
D,D,True,6.043661399977282,1879,403,384
B,C,True,8.129064899869263,1941,531,512
C,B,True,5.221235000062734,1794,339,320
A,A,True,5.9306765999644995,1890,403,384
B,C,True,9.040451199980453,2145,659,640
D,D,True,7.913152199937031,2125,531,512
D,C,True,8.689993599895388,2036,595,576
A,B,True,15.354774599894881,2777,1171,1152
B,B,True,19.382484799949452,3065,1556,1536
D,D,True,15.194084000075236,2924,1171,1152
B,A,True,19.555162300122902,3245,1747,1728
D,B,True,12.667068999959156,2620,1107,1088
A,D,True,7.952722099842504,2170,595,576
C,A,True,25.470420700032264,3611,2068,2048
B,B,True,7.5984181999228895,2168,595,576
D,D,True,6.08426499995403,2128,467,448
A,C,True,5.986495099961758,1913,467,448
D,B,True,11.3590802999679,2667,979,960
D,C,True,10.275343099841848,2351,661,640
C,C,True,12.734278500080109,2625,1043,1024
D,D,True,7.129416400101036,2179,595,576
A,C,True,16.147497500060126,3079,1491,1472
B,B,True,7.109595699934289,2314,531,512
C,D,True,18.55922259995714,3077,1556,1536
B,A,True,7.265002500033006,2340,851,832
B,B,True,11.896642199950293,2643,1043,1024
B,D,True,9.465345800155774,2543,979,960
D,D,True,10.00412160018459,2370,787,768
C,A,True,7.025297800078988,2272,659,640
A,A,True,11.030429899925366,2296,659,640
B,A,True,31.034344699932262,4462,2708,2688
C,A,True,6.403798800194636,2290,595,576
C,A,True,10.75741730001755,2634,1108,1088
C,C,True,11.138676500180736,2884,1107,1088
B,B,True,10.817838799906895,2710,1043,1024
D,D,True,9.786263499874622,3003,915,896
C,B,True,24.9198638999369,4092,2579,2560
B,C,True,13.939105999888852,2867,1363,1344
C,A,True,19.845932099968195,3602,1939,1920
B,B,True,22.37269620015286,3819,2131,2112
C,C,True,21.04902909998782,3539,1939,1920
C,D,True,19.230363100068644,3156,1555,1536
C,B,True,8.734167800052091,2337,596,576
A,C,True,5.577595700044185,1882,403,384
C,B,True,13.845965400105342,2633,1171,1152
C,C,True,6.937812100164592,1988,531,512
A,A,True,11.870682399952784,2596,1043,1024
C,C,True,12.271509500220418,2682,1107,1088
B,B,True,5.092664000112563,2123,467,448
C,C,True,8.027534699998796,2089,531,512
C,A,True,5.811709099914879,2120,467,448
B,B,True,10.459775099996477,2528,851,832
C,B,True,12.866513799875975,2114,595,576
A,A.,True,10.153358800103888,2176,724,704
A,A,True,4.216269999975339,1765,211,192
D,D,True,7.7979065999388695,1967,467,448
D,B,True,9.902893299935386,2172,595,576
C,B,True,4.178298299899325,2002,275,256
C,C,True,9.379562699934468,2316,659,640
B,B,True,6.477345899911597,1917,403,384
B,C,True,8.989709199871868,2058,531,512
A,D,True,11.413386100204661,2698,979,960
B,B,True,9.266242200043052,2085,595,576
B,A,True,20.609666999895126,3190,1491,1472
C,D,True,15.840275399852544,3034,1363,1344
C,B,True,15.34270519996062,2897,1234,1216
B,B,True,20.607136700069532,3233,1619,1600
C,D,True,7.183671400183812,2183,531,512
B,B,True,16.468489000108093,3185,1428,1408
C,B,True,9.192805799888447,2446,787,768
C,B,True,55.86550910002552,5961,4371,4352
D,B,True,6.793260599952191,1955,467,448
D,D,True,5.740974299842492,2099,467,448
C,D,True,5.116306400159374,2094,339,320
A,B,True,7.786997199989855,2512,787,768
A,B,True,9.290544799994677,2468,851,832
D,D,True,12.956633400171995,2900,1171,1152
D,D,True,5.6346195000223815,1878,403,384
A,A,True,37.820258700056,4597,2964,2944
C,A,True,16.385133699979633,2988,1491,1472
C,A,True,5.951322100125253,1965,403,384
C,C,True,14.364803900010884,3078,1427,1408
D,D,True,6.010021299822256,2037,467,448
B,B,True,3.461905400035903,1795,275,256
C,B,True,9.291708000004292,2502,787,768
C,B,True,14.952474200166762,2729,1107,1088
B,C,True,3.997939199907705,2071,211,192
D,A,True,15.152716799871996,3163,1235,1216
A,D,True,12.148757399991155,2335,851,832
D,B,True,15.35013350006193,2824,1171,1152
D,D,True,4.3809675998054445,1736,275,256
D,C,True,7.001594699919224,2112,531,512
B,B,True,7.557193600106984,2385,595,576
D,C,True,6.829269699985161,2146,531,512
B,C,True,12.439568599918857,2716,979,960
A,B,True,25.174557900056243,3678,2067,2048
A,B,True,9.154536999994889,2493,851,832
A,B,True,5.498293100157753,2106,403,384
C,B,True,6.001120199915022,2031,467,448
B,D,True,5.953608799958602,2142,467,448
B,D,True,6.737585800001398,1863,275,256
A,A,True,8.259234400000423,2184,595,576
D,B,True,27.79869189998135,4162,2451,2432
D,B,True,9.051072199828923,2530,787,768
A,C,True,5.9183646000456065,1984,467,448
B,C,True,5.892630000133067,1918,403,384
B,C,True,9.678768600104377,2413,851,832
A,D,True,7.216416300041601,2280,595,576
B,A,True,23.018463399959728,3554,1938,1920
D,C,True,7.0241618999280035,2242,595,576
C,C,True,12.94443290005438,2976,1235,1216
B,C,True,8.441630400018767,2389,723,704
B,D,True,11.828572199912742,2841,1171,1152
B,D,True,8.182659500045702,2187,723,704
C,C,True,9.48623750009574,2268,595,576
C,D,True,14.387183099985123,2780,1235,1216
D,B,True,8.57945690001361,2254,659,640
B,B,True,10.88307510013692,2449,915,896
C,C,True,6.670998000074178,2227,595,576
A,A,True,13.01508990000002,2558,1171,1152
B,B,True,9.003239599987864,2493,851,832
A,A,True,15.68990290001966,3407,1619,1600
A,B,True,7.050800199853256,2503,595,576
C,C,True,11.364044799935073,2554,851,832
A,D,True,13.287566399900243,2440,723,704
D,C,True,8.690518900053576,2377,595,576
C,C,True,12.550618599867448,2915,1107,1088
B,B,True,6.028651099884883,2011,467,448
D,D,True,8.363190600182861,2665,725,704
D,D,True,13.903493699850515,3166,1491,1472
B,D,True,10.098065899917856,2749,979,960
C,C,True,5.717182099819183,2120,595,576
C,A,True,6.310015299823135,2190,659,640
C,D,True,9.220881100045517,2424,787,768
B,B,True,7.248684799997136,2002,403,384
C,C,True,9.16309649986215,2321,723,704
D,C,True,18.16900679981336,3494,1812,1792
C,C,True,6.824336300138384,2536,467,448
A,A,True,8.913016899954528,2266,659,640
B,B,True,9.53997809998691,4061,915,896
B,D,True,11.94442420010455,2616,979,960
B,D,True,24.115513499826193,4026,2323,2304
C,C,True,19.48993210005574,3155,1427,1408
A,A,True,9.710668900050223,2151,659,640
B,A,True,19.450580399949104,2997,1363,1344
C,D,True,4.204907999839634,1917,339,320
B,D,True,7.240896899951622,2097,467,448
D,B,True,14.634587600128725,2886,979,960
B,D,True,7.106936299940571,2168,531,512
A,A,True,10.276851899921894,2464,787,768
C,D,True,9.438424699939787,2743,787,768
B,C,True,12.60688850004226,2696,1044,1024
C,D,True,6.211986999958754,2018,467,448
C,C,True,5.58190320013091,1834,339,320
C,C,True,22.423696300014853,3599,2067,2048
A,B,True,8.380750099895522,2212,531,512
B,B,True,20.29495820007287,2907,1363,1344
B,C,True,8.229492000071332,2245,659,640
D,B,True,4.266742500010878,1975,275,256
D,B,True,7.331539200153202,2053,531,512
D,D,True,6.359221100108698,2054,531,512
A,D,True,7.4096405999735,2089,467,448
D,A,True,12.056322999997064,2558,851,832
C,A,True,9.2596152999904,2142,595,576
B,B,True,16.0086451000534,2781,723,704
D,B,True,14.170033100061119,2785,787,768
D,D,True,5.381684800144285,2014,275,256
C,D,True,4.710679000010714,1701,211,192
D,D,True,24.703675400000066,3122,1491,1472
D,A,True,13.635025899857283,2751,1171,1152
B,C,True,14.552015700144693,2859,1107,1088
C,D,True,8.576623399974778,2453,531,512
C,B,True,7.2953066998161376,1988,403,384
C,D,True,7.205600399989635,2098,467,448
A,D,True,12.885174699826166,2698,979,960
D,D,True,12.858509900048375,2636,915,896
D,B,True,8.234106899937615,2194,531,512
B,B,True,7.819231099914759,1972,531,512
