answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,3.456421900074929,1757,1,0.0
A,B,True,11.117835399927571,2343,403,
D,C,True,11.718309599906206,2188,394,
C,C,True,20.786771200131625,2524,676,
A,A,True,5.457048000069335,2818,1079,
D,B,True,17.415430000051856,2184,436,
B,A,True,6.3168732998892665,2623,950,
C,D,True,2.6561618999112397,1731,1,0.0
A,D,True,19.643218399956822,2339,576,
B,C,True,17.910738199949265,2197,440,
D,B,True,8.7022056998685,2134,230,
D,B,True,11.152766399784014,2122,412,
A,B,True,14.08979170001112,2365,459,
B,A,True,15.252332899952307,2197,400,
D,C,True,6.458919600117952,2381,285,
B,D,True,3.809557099826634,1774,1,0.0
D,D,True,10.306153299985453,2119,323,
A,C,True,10.191888800123706,2415,553,
C,D,True,2.3052912999410182,1835,1,0.0
B,B,True,2.565320099936798,2325,443,
D,B,True,12.978629500139505,2348,407,
A,B,True,17.844983599847183,2334,618,
D,C,True,11.347516000038013,2394,390,
D,C,True,7.8970566999632865,2345,322,
C,D,True,11.515899399993941,2427,535,
D,B,True,12.243901799898595,2446,565,
A,B,True,66.88021009997465,4171,2288,
B,A,True,10.157317399978638,2440,325,
C,D,True,2.402233200147748,2256,438,
B,D,True,10.499759999802336,2152,374,
B,B,True,2.100333800073713,1914,1,0.0
B,D,True,10.95231209998019,2297,424,
D,C,True,7.269608200062066,2160,287,
C,A,True,10.074627800146118,2310,401,
A,A,True,26.37068390008062,2589,646,
B,A,True,1.698565100086853,2693,620,
C,B,True,1.304419499821961,2282,274,
C,B,True,17.128459099913016,2338,512,
C,B,True,12.453452200163156,2424,311,
B,A,True,13.771092799957842,2317,342,
D,B,True,9.419979700120166,2842,327,
C,C,True,3.4857903998345137,1791,1,0.0
B,D,True,3.648308099946007,1788,1,0.0
C,D,True,2.591643499908969,2348,367,
B,B,True,23.781015400076285,2770,769,
C,B,True,5.338935399893671,1890,1,0.0
C,B,True,26.99184720008634,2829,927,
C,B,True,22.93556490004994,2484,427,
A,A,True,12.425822299905121,2271,521,
C,A,True,15.534577399957925,2443,703,
C,D,True,7.200498699909076,2087,365,
A,A,True,5.1508388998918235,3928,2077,
C,A,True,6.145800000056624,2142,253,
B,D,True,36.319505700143054,3743,1777,
C,D,True,13.60913040000014,2327,480,
C,B,True,8.857795499963686,2306,332,
B,B,True,14.956098400056362,2491,521,
C,A,True,18.40795120014809,2398,590,
A,A,True,12.598625699989498,2165,447,
A,C,True,2.3214308000169694,2103,271,
D,B,True,9.780260700033978,2237,443,
D,B,True,2.8892822999041528,2360,482,
C,A,True,15.06082889996469,2724,662,
C,B,True,13.849689899943769,2444,464,
B,B,True,19.853464799933136,2730,939,
B,B,True,19.6227645999752,2497,682,
A,B,True,20.639579199953005,2354,318,
B,C,True,4.891933999955654,1767,1,0.0
B,B,True,19.059843900147825,2509,499,
C,D,True,20.008092100033537,2647,668,
C,B,True,1.8994020998943597,1980,1,0.0
B,B,True,105.98713449994102,4869,2974,
C,A,True,20.005474799778312,2690,725,
B,C,True,27.146735799964517,3029,940,
C,B,True,28.033817999996245,2778,799,
C,B,True,65.29839510004967,4235,2355,
D,A,True,21.96542529994622,2578,802,
D,D,True,0.9737716000527143,2296,357,
C,D,True,11.884695099899545,2592,496,
A,C,True,10.596097100060433,2407,362,
A,B,True,4.116866199998185,1925,1,0.0
D,B,True,36.17583039985038,3250,1185,
D,B,True,3.2113907001912594,2336,576,
A,B,True,11.827326699858531,2306,375,
C,A,True,8.799061700003222,2048,269,
C,D,True,13.808546399930492,2456,615,
C,B,True,4.394188700011,2490,529,
D,B,True,15.240663100033998,2337,458,
B,B,True,16.77502409997396,2394,588,
C,B,True,26.198345999931917,2498,472,
C,A,True,17.35177190019749,2409,485,
B,A,True,1.4420142001472414,2516,303,
D,A,True,13.621060100151226,2727,407,
A,D,True,10.022616100031883,2168,403,
D,,True,105.46762409992516,5964,4000,
D,D,True,8.263261799933389,2032,295,
D,B,True,1.444790800102055,2173,296,
B,C,True,1.5746999999973923,2627,501,
D,C,True,6.073028099955991,2134,206,
B,B,True,4.223689900012687,2079,1,0.0
A,C,True,20.706991200102493,2698,786,
A,C,True,2.389885200187564,2307,354,
A,C,True,24.030019199941307,2988,965,
C,D,True,11.174116399837658,2247,385,
B,B,True,36.617120099952444,3452,1469,
B,C,True,15.722982499981299,2396,503,
A,A,True,7.699162499979138,2179,290,
D,A,True,26.876967900199816,2983,945,
D,C,True,26.000931599875912,2442,357,
A,B,True,27.157270499970764,2193,385,
B,D,True,3.995599899906665,2311,513,
B,B,True,8.284095600014552,2223,368,
A,D,True,12.815098399994895,2535,538,
B,D,True,17.661341900005937,2567,644,
D,B,True,16.466691500041634,2452,486,
C,C,True,9.500885999994352,2508,435,
B,D,True,9.426867600064725,2392,409,
B,D,True,23.81291069998406,2872,887,
B,C,True,10.758730800123885,2158,425,
C,C,True,6.8723296001553535,2271,292,
C,A,True,11.502099599922076,2187,340,
D,B,True,6.036417500115931,2199,286,
B,B,True,8.161509500117972,2262,430,
C,"

B",True,19.217760199913755,2378,434,431.0
A,C,True,13.030052100075409,2390,743,
B,B,True,9.44724729983136,2288,333,
A,B,True,16.90901879989542,3105,986,
A,B,True,11.35202890005894,2681,426,
C,C,True,20.939433600055054,2736,717,
A,B,True,11.292409300105646,2418,361,
D,A,True,2.3956156000494957,2596,483,
C,A,True,20.511137699941173,2691,551,
B,B,True,1.474336399929598,2143,310,
D,B,True,24.13676270004362,3126,843,
D,D,True,15.27428190014325,2404,413,
B,D,True,14.252355600008741,2588,474,
C,A,True,31.633503100136295,2104,291,
C,B,True,6.099049400072545,2220,410,
C,A,True,11.429455100093037,2386,438,
B,B,True,18.066064599901438,2122,217,
C,C,True,9.197913400130346,2317,362,
D,B,True,15.5025490000844,2554,538,
C,B,True,22.339373599970713,2967,500,
A,B,True,3.4164956000167876,1921,1,0.0
B,D,True,17.5167430001311,4168,505,
B,C,True,12.052459599915892,2236,284,
B,B,True,24.97296749986708,2902,888,
C,A,True,16.196361099835485,2710,641,
A,C,True,18.231710699852556,2352,589,
B,A,True,7.95459400000982,2217,265,
C,B,True,15.767066600034013,2443,561,
B,D,True,19.313085900153965,2673,722,
D,B,True,19.43208679999225,2712,453,
B,D,True,8.685934399953112,2237,296,
A,A,True,8.715740900021046,2255,280,
C,A,True,16.75531639996916,2821,519,
B,B,True,12.224052699981257,2438,473,
C,D,True,3.5055877999402583,2239,405,
C,B,True,9.713978299871087,2169,391,
C,A,True,24.652711500180885,2740,921,
A,A,True,8.563220100011677,2243,262,
B,A,True,17.3242154000327,2475,640,
B,B,True,53.51324860006571,2699,832,
D,D,True,21.05576240015216,2490,494,
D,C,True,30.290386999957263,2388,569,
D,B,True,6.72471969993785,2086,268,
A,A,True,12.69131139991805,2267,339,
D,B,True,12.276532100047916,2468,447,
C,C,True,3.367189999902621,2430,591,
B,A,True,9.556528500048444,2947,478,
D,"

C",True,28.774030900094658,3000,641,638.0
D,D,True,8.04361809999682,2449,362,
C,A,True,15.074616600060835,2262,492,
D,D,True,10.255710700061172,2300,351,
D,B,True,19.014202099991962,2544,667,
B,B,True,19.352758300025016,2539,450,
C,B,True,11.78559869993478,2764,462,
C,B,True,8.514853100059554,2202,337,
C,A,True,26.566406999947503,2363,411,
A,C,True,8.202859900193289,2410,345,
D,D,True,15.35677620000206,2736,688,
D,C,True,8.881301200017333,2377,393,
B,D,True,18.507747899973765,2565,857,
