answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,4.436047399882227,2022,1,797.0
C,C,True,6.500602699816227,2512,1,1170.0
A,D,True,4.619196200044826,1933,1,777.0
C,C,True,7.263430699938908,2572,1,1197.0
D,D,True,6.5401280000805855,2398,1,1200.0
A,A,True,7.391496299998835,2685,1,1311.0
D,D,True,6.99703609989956,2298,1,1201.0
A,B,True,15.518509899964556,3711,1,2607.0
C,D,True,7.043806999921799,2278,1,1095.0
B,D,True,7.818560400046408,2225,1,1217.0
C,C,True,7.556182799860835,2590,1,1306.0
C,C,True,6.627318299841136,2367,1,1131.0
C,C,True,6.5986663000658154,2455,1,1185.0
D,D,True,7.7418106000404805,2469,1,1292.0
C,C,True,6.023179200012237,2354,1,1072.0
C,C,True,4.879071400035173,1929,1,779.0
B,B,True,6.204399900045246,2299,1,902.0
D,D,True,6.707698200130835,2338,1,1172.0
B,B,True,5.2441445998847485,2000,1,860.0
D,B,True,5.440272900043055,2384,1,926.0
B,B,True,6.595026399940252,2305,1,1092.0
A,A,True,6.626339199952781,2751,1,1107.0
C,C,True,4.619587399996817,1715,1,724.0
C,C,True,7.6739829001016915,2688,1,1462.0
D,D,True,5.503054599976167,2055,1,912.0
D,D,True,6.572385099949315,2296,1,1050.0
A,C,True,4.915160399861634,2174,1,905.0
C,C,True,7.42560450010933,2586,1,1190.0
A,A,True,1.2094320999458432,998,1,
A,D,True,5.1384700001217425,2003,1,853.0
C,C,True,6.607422600034624,2659,1,1087.0
C,C,True,4.99146439996548,2082,1,856.0
D,D,True,6.930297600105405,2331,1,1088.0
C,C,True,5.423906299984083,2020,1,885.0
B,D,True,7.25768949999474,2435,1,1269.0
C,B,True,5.707065399968997,2056,1,938.0
B,D,True,4.673011499922723,1622,1,639.0
D,D,True,4.043258599936962,1604,1,599.0
B,B,True,7.143684899900109,2463,1,1287.0
D,D,True,4.673979799961671,1774,1,717.0
A,C,True,5.718320399988443,2161,1,969.0
C,B,True,10.968167599989101,3162,1,2044.0
B,B,True,5.688040399923921,2223,1,997.0
D,D,True,4.560519500169903,1885,1,757.0
C,C,True,6.883306999923661,2312,1,1126.0
A,B,True,6.847457000054419,2279,1,1058.0
C,C,True,5.906403699889779,2008,1,943.0
C,C,True,5.579700300004333,2259,1,981.0
C,C,True,1.0598322001751512,1163,1,
A,A,True,6.9791086001787335,2850,1,1389.0
C,D,True,11.125851700082421,3407,1,2124.0
D,D,True,5.222144400002435,2169,1,962.0
B,B,True,5.141803699778393,2299,1,999.0
B,A,True,5.377959500066936,2254,1,1028.0
B,B,True,5.034579399973154,2141,1,947.0
A,D,True,5.129699900047854,2169,1,977.0
B,B,True,5.696525200037286,2091,1,941.0
B,B,True,5.761422900017351,2391,1,1147.0
C,C,True,6.798060500063002,2653,1,1315.0
A,B,True,5.16971500008367,2018,1,933.0
C,C,True,5.551827499875799,2320,1,1001.0
C,C,True,6.966599199920893,2767,1,1358.0
C,C,True,5.086654699873179,2120,1,941.0
D,D,True,6.136835900135338,2503,1,1184.0
B,A,True,5.7408084000926465,2057,1,961.0
B,B,True,4.546507699880749,2023,1,872.0
D,A,True,10.735722899902612,3108,1,1957.0
D,C,True,5.224686699919403,2145,1,946.0
D,D,True,3.728182600112632,1837,1,731.0
A,A,True,3.419064699904993,1649,1,629.0
B,B,True,5.06443819985725,2096,1,897.0
B,B,True,5.339546200120822,2252,1,1071.0
C,D,True,6.634611499961466,2635,1,1276.0
D,D,True,6.255819099955261,2621,1,1233.0
C,C,True,7.711179499980062,2813,1,1447.0
C,D,True,6.7680627999361604,2685,1,1365.0
C,C,True,5.504384099971503,2211,1,1006.0
C,C,True,4.877624599961564,2252,1,983.0
B,C,True,6.82749139983207,2628,1,1292.0
A,C,True,4.278715999796987,1755,1,721.0
A,B,True,6.354429899947718,2240,1,1126.0
B,C,True,3.937705400167033,1749,1,717.0
B,B,True,5.564457800006494,2414,1,1080.0
D,A,True,5.6706958001013845,3622,1,1076.0
B,D,True,11.018760500010103,3418,1,2074.0
A,B,True,5.475115800043568,2268,1,981.0
A,A,True,5.502213600091636,2500,1,1127.0
C,C,True,5.680328999878839,2528,1,1156.0
C,C,True,5.052313899854198,2069,1,881.0
D,D,True,5.9987747999839485,2429,1,1148.0
A,A,True,5.327982500195503,2175,1,926.0
B,B,True,6.0564379000570625,2673,1,1295.0
A,B,True,5.077348599908873,2179,1,972.0
A,C,True,12.849837600020692,3676,1,2438.0
B,B,True,5.355949999997392,2154,1,1034.0
D,D,True,4.9093382998835295,2180,1,930.0
C,D,True,7.504162600031123,3719,1,1560.0
C,B,True,5.548643100075424,2614,1,965.0
B,B,True,7.052327699959278,2432,1,1233.0
C,B,True,7.452023799996823,3117,1,1538.0
B,C,True,10.88772329990752,3886,1,2218.0
C,C,True,5.760948000010103,2170,1,971.0
D,D,True,7.49952180008404,3183,1,1446.0
A,A,True,4.549403199926019,2069,1,872.0
D,B,True,6.163474699947983,2239,1,1018.0
C,B,True,5.698170099873096,2626,1,1061.0
C,C,True,6.555189799983054,2681,1,1189.0
C,C,True,4.626976100029424,1949,1,819.0
B,B,True,6.752979600103572,2670,1,1160.0
C,D,True,4.787471299991012,1922,1,825.0
