answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,12.969472999917343,2560,1,1335
C,C,True,13.43511509988457,2713,1,1371
A,D,True,10.904728200053796,2174,1,1018
C,C,True,15.794124000007287,2933,1,1558
D,C,True,19.033637800021097,3161,1,1963
A,A,True,16.481362000107765,3028,1,1654
D,B,True,11.36388469999656,2167,1,1070
A,D,True,122.67053289990872,14640,1,13536
C,A,True,14.245644900016487,2597,1,1414
B,B,True,18.075667300028726,2687,1,1679
C,B,True,12.917400799924508,2495,1,1211
C,C,True,13.077917699934915,2523,1,1287
C,C,True,16.346707199933007,2811,1,1541
D,D,True,23.67365500004962,3336,1,2159
C,C,True,12.753415600163862,2468,1,1186
C,C,True,45.80601889989339,5789,1,4639
B,B,True,11.23581390012987,2266,1,869
D,C,True,37.13033700012602,4840,1,3674
B,D,True,12.468049299903214,2272,1,1132
D,D,True,26.351775499992073,4179,1,2721
B,D,True,26.313084499910474,3578,1,2365
A,A,True,12.631943499902263,2859,1,1215
C,A,True,9.843511499930173,1895,1,904
C,C,True,13.281824999954551,2526,1,1300
D,A,True,13.7561476000119,2539,1,1396
D,D,True,16.513235099846497,2627,1,1381
A,C,True,22.13486890005879,3357,1,2088
C,C,True,13.916113199898973,2711,1,1315
A,A,True,9.064369099913165,1798,1,800
A,D,True,15.854811000172049,2720,1,1570
C,A,True,13.65585789992474,2867,1,1295
C,B,True,27.858153000008315,4018,1,2792
D,D,True,11.39591099997051,2298,1,1055
C,C,True,9.357776199933141,1900,1,765
B,D,True,12.456241400213912,2249,1,1083
C,D,True,11.815775299910456,2201,1,1083
B,B,True,12.702680699992925,2196,1,1213
D,D,True,9.790179700125009,1872,1,867
B,A,True,13.673916700063273,2419,1,1243
D,D,True,12.373595400014892,2188,1,1131
A,A,True,17.312811499927193,2841,1,1649
C,B,True,11.147618199931458,2144,1,1026
B,B,True,11.177647799951956,2361,1,1135
D,D,True,10.371909300098196,2051,1,923
C,C,True,12.492788600036874,2374,1,1188
A,B,True,11.494997000088915,2274,1,1053
C,C,True,11.956511399941519,2178,1,1113
C,C,True,11.197130699874833,2425,1,1147
C,C,True,9.032701299991459,1964,1,801
A,A,True,13.225612099980935,2725,1,1264
C,D,True,13.163055600132793,2638,1,1355
D,D,True,11.012066300027072,2304,1,1097
B,B,True,15.337717999937013,2417,1,1117
B,A,True,11.390787900192663,2304,1,1078
B,B,True,9.454249799950048,2149,1,955
A,D,True,14.215606899932027,2550,1,1358
B,B,True,11.70704110013321,2354,1,1204
B,D,True,16.76256319996901,3059,1,1815
C,B,True,17.924052299931645,3109,1,1771
A,B,True,10.158405400114134,1999,1,914
C,C,True,11.741246399935335,2337,1,1018
C,A,True,27.23691580002196,3856,1,2447
C,C,True,13.30919019994326,2460,1,1281
D,D,True,12.644581800093874,2589,1,1270
B,A,True,10.208089200081304,2108,1,1012
B,B,True,10.99866889999248,2156,1,1005
D,C,True,10.304264399921522,2012,1,861
D,D,True,7.887050700141117,1963,1,764
D,D,True,13.376249499851838,2432,1,1326
A,A,True,12.807423599995673,1925,1,905
B,B,True,10.090960499830544,2258,1,1059
B,B,True,12.931210299953818,2315,1,1134
C,D,True,13.984885900048539,2699,1,1340
D,D,True,13.332783699966967,2738,1,1350
C,C,True,14.033356999978423,2553,1,1187
C,D,True,21.027520699892193,3046,1,1726
C,D,True,14.07787170005031,2674,1,1469
C,C,True,12.913329400122166,2437,1,1168
B,C,True,13.845225600060076,2761,1,1425
A,C,True,14.953716800082475,2598,1,1564
A,B,True,11.638491200050339,2262,1,1148
B,B,True,10.28562769992277,2124,1,1092
B,B,True,8.772658900124952,2122,1,788
D,A,True,14.667347300099209,3965,1,1419
B,A,True,36.41879629995674,5075,1,3731
A,B,True,8.671586599899456,2155,1,868
A,A,True,12.937436999985948,2489,1,1116
C,C,True,11.649719800101593,2453,1,1081
C,C,True,11.585020500002429,2318,1,1130
D,D,True,15.470967300003394,2601,1,1320
A,A,True,10.248851799871773,2235,1,986
B,B,True,11.265161100076512,2226,1,848
A,B,True,8.758381400024518,1870,1,663
A,C,True,31.653748200042173,4695,1,3457
B,B,True,10.335703899851069,2058,1,938
D,C,True,13.171727899927646,2499,1,1249
C,D,True,16.756810900056735,3313,1,1154
C,B,True,11.358704600017518,2621,1,972
B,B,True,10.768858700059354,2258,1,1059
C,B,True,19.239540900103748,3333,1,1754
B,D,True,16.46744309994392,3434,1,1766
C,C,True,12.242259299848229,2177,1,978
D,D,True,15.167842900147662,3335,1,1598
A,A,True,15.037568299798295,2466,1,1269
D,B,True,12.825499100144953,2298,1,1077
C,B,True,12.722742799902335,2877,1,1312
C,C,True,12.997044800082222,2813,1,1321
C,C,True,11.398453899892047,2173,1,1043
B,B,True,15.7430457000155,2963,1,1453
C,C,True,8.546834799926728,1868,1,771
