answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,4.246615099982591,1870,1.0,645
C,C,True,5.11251729997457,2076,1.0,734
A,D,True,3.6120190999936312,1667,1.0,511
C,C,True,3.928038700018078,1962,1.0,587
D,D,True,22.612591500015697,4888,1.0,3690
A,A,True,3.2491681999817956,1821,1.0,447
D,B,True,8.140647599997465,2321,1.0,1224
A,D,True,20.548171000002185,4511,1.0,3407
C,C,True,48.396289800002705,9330,1.0,8147
B,B,True,318.6437985000084,63918,,62911
C,B,True,4.420536699995864,1911,1.0,627
C,C,True,5.286509300000034,2008,1.0,772
C,C,True,13.43104470000253,3413,1.0,2143
D,D,True,311.81084920000285,64088,,62912
C,C,True,15.258694299991475,3563,1.0,2281
C,C,True,5.322950800007675,1942,,793
B,B,True,3.8020611999963876,1951,1.0,554
D,D,True,12.04714489998878,2981,1.0,1815
B,A,True,11.352471500023967,2887,1.0,1747
D,D,True,3.6563948999973945,1951,1.0,493
B,D,True,4.928998799994588,1880,1.0,667
A,A,True,5.769959199998993,2473,,830
C,A,True,19.571788700006437,3954,1.0,2963
C,C,True,12.671680599974934,3143,1.0,1917
D,A,True,15.023091399983969,3482,1.0,2339
D,A,True,10.202740099979565,2811,1.0,1565
A,A,True,3.900054800004,1845,1.0,576
C,C,True,25.43822569999611,5673,1.0,4277
A,A,True,3.8693536999926437,1595,1.0,597
A,D,True,5.5817796000046656,1940,1.0,790
C,A,True,20.18265839997912,4657,1.0,3085
C,C,True,13.415941999992356,3200,1.0,1974
D,D,True,4.646007699979236,1926,1.0,683
C,D,True,19.06348439998692,4070,1.0,2935
B,B,True,8.810776700003771,2434,1.0,1268
C,C,True,13.224866000004113,3106,,1989
B,A,True,3.7934283000067808,1500,1.0,517
D,D,True,3.709443100000499,1556,1.0,551
B,B,True,312.4747008999984,64086,1.0,62910
D,D,True,4.345762000011746,1708,1.0,651
A,C,True,5.055423700017855,1935,1.0,743
C,B,True,8.498203800001647,2400,1.0,1282
B,B,True,3.9758968999958597,1847,1.0,621
D,D,True,3.9968626000045333,1763,1.0,635
C,D,True,6.555748600017978,2099,1.0,913
A,D,True,315.3857663999952,64132,,62912
C,C,True,6.66320499998983,2045,1.0,980
C,C,True,4.8587198999885,1929,1.0,651
C,C,True,3.8351796000206377,1725,1.0,562
A,A,True,15.401808299997356,3763,1.0,2302
C,C,True,32.200456199992914,6089,1.0,4806
D,D,True,4.4399933999811765,1830,1.0,623
B,B,True,4.144298799976241,1897,1.0,597
B,A,True,11.930956299998797,3072,1.0,1846
B,B,True,5.120115600002464,1958,1.0,764
A,A,True,7.495526500017149,2389,1.0,1197
B,B,True,4.986604199977592,1900,1.0,750
B,C,True,7.680159600015031,2441,1.0,1197
C,C,True,4.697766600002069,2092,1.0,754
A,C,True,8.855607400008012,2311,1.0,1226
C,C,True,6.180554599995958,2235,1.0,916
C,C,True,6.256374500022503,2351,1.0,942
C,C,True,4.978821400000015,1891,1.0,712
D,D,True,4.786589399998775,1909,1.0,590
B,A,True,4.853425600012997,1819,1.0,723
B,C,True,15.242636999988463,3487,1.0,2336
D,D,True,323.2199285000097,64061,1.0,62910
D,D,True,4.341035799996462,1808,1.0,609
D,D,True,7.942831499996828,2196,1.0,1090
A,A,True,4.028172399994219,1626,1.0,606
B,B,True,4.56826539998292,1843,1.0,644
B,D,True,25.0195032999909,5336,1.0,4155
C,D,True,4.16725420000148,1914,1.0,555
D,D,True,9.380437999992864,2722,1.0,1334
C,C,True,6.7609819999779575,2261,1.0,895
C,D,True,5.152769400010584,2068,,749
C,C,True,4.135024799994426,1743,1.0,538
C,C,True,3.8213499000121374,1738,,470
B,B,True,18.730671600002097,4592,1.0,3256
A,A,True,4.0699534000013955,1555,1.0,521
A,B,True,7.084485600003973,2118,1.0,1004
B,B,True,4.175229299988132,1601,1.0,569
B,B,True,4.342432700010249,1901,1.0,567
D,A,True,27.66636910001398,6849,1.0,4303
B,D,True,314.23537330000545,64254,1.0,62910
A,B,True,3.9372231000161264,1872,1.0,585
A,A,True,3.746979299990926,1944,1.0,571
C,C,True,4.86390460000257,2168,1.0,796
C,C,True,4.4716443000070285,1823,1.0,635
D,D,True,4.960324400017271,2041,1.0,760
A,A,True,5.09756200000993,2005,1.0,756
B,B,True,3.8646764000004623,1950,1.0,572
A,D,True,9.189642599987565,2511,1.0,1304
A,C,True,308.08401300001424,64149,,62912
B,B,True,3.2168797999911476,1621,1.0,501
D,D,True,4.607545200007735,1900,1.0,650
C,D,True,5.788657199998852,2995,,837
C,B,True,310.9683161000139,64559,1.0,62910
B,B,True,3.9259030999965034,1718,1.0,519
C,B,True,4.10118749999674,2110,1.0,531
B,C,True,68.22971349998261,13517,,11850
C,C,True,7.122337799984962,2300,1.0,1101
D,D,True,5.785786699998425,2547,1.0,810
A,A,True,308.85589810000965,64107,1.0,62910
D,B,True,10.513112200016622,2873,1.0,1652
C,B,True,10.590907000005245,3222,1.0,1657
C,C,True,9.242318700009491,2844,1.0,1352
C,C,True,12.99247880000621,3129,1.0,1999
B,B,True,4.365526100009447,2068,1.0,558
C,B,True,311.8645586000057,64007,1.0,62910
