answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,C,True,1.8698982000350952,1234,2,
C,B,True,1.2058747000992298,1351,2,
A,C,True,1.0788251999765635,1165,2,
C,C,True,1.166579999960959,1384,2,
D,C,True,0.6677153001073748,1207,2,
A,C,True,1.088499000063166,1383,2,
D,C,True,4.722188199870288,1106,2,
A,B,True,1.190244299825281,1113,2,
C,C,True,0.5618372999597341,1192,2,
B,D,True,0.5566907997708768,1017,2,
C,C,True,1.1480996999889612,1293,2,
C,C,True,0.5515217001084238,1245,2,
C,C,True,0.5174966000486165,1279,2,
D,B,True,0.5514624000061303,1186,2,
C,C,True,1.0866652000695467,1291,2,
C,C,True,0.5347581000532955,1159,2,
B,C,True,0.5844825999811292,1406,2,
D,C,True,0.5663734001573175,1175,2,
B,C,True,0.5176174999214709,1149,2,
D,C,True,0.5975353000685573,1467,2,
B,C,True,0.5856069999281317,1222,2,
A,C,True,0.573435400146991,1653,2,
C,B,True,0.5415892000310123,1000,2,
C,B,True,0.5246810000389814,1235,2,
D,B,True,0.6028755998704582,1152,2,
D,B,True,1.0970580000430346,1255,2,
A,C,True,0.6039342998992652,1278,2,
C,C,True,0.6064283000305295,1405,2,
A,B,True,0.5708463001064956,1007,2,
A,C,True,0.5527824000455439,1159,2,
C,C,True,0.5830316999927163,1581,2,
C,B,True,0.5681506001856178,1235,2,
D,D,True,0.6672153000254184,1252,2,
C,C,True,0.5553610001225024,1144,2,
B,B,True,0.5108472998254001,1175,2,
C,A,True,0.7100273000542074,1127,2,
B,A,True,0.6055083000101149,992,2,
D,B,True,0.5648077998775989,1014,2,
B,D,True,0.524829899892211,1185,2,
D,B,True,0.5798186999745667,1066,2,
A,C,True,0.7831383999437094,1201,2,
C,B,True,0.5585157999303192,1127,2,
B,C,True,0.5299508001189679,1235,2,
D,C,True,0.5219446998089552,1137,2,
C,B,True,0.5807949998416007,1195,2,
A,C,True,0.5355146999936551,1230,2,
C,B,True,0.568443400086835,1074,2,
C,C,True,1.6933473001699895,1287,2,
C,C,True,0.574496200075373,1172,2,
A,C,True,0.5440347001422197,1470,2,
C,C,True,0.5436891000717878,1292,2,
D,C,True,0.5540236998349428,1216,2,
B,C,True,0.5209717999678105,1309,2,
B,C,True,0.5336327999830246,1235,2,
B,C,True,0.5553663999307901,1203,2,
A,C,True,0.5853955999482423,1201,2,
B,A,True,0.5772315999493003,1159,2,
B,C,True,0.5909026998560876,1253,2,
C,C,True,0.5283307998906821,1347,2,
A,C,True,0.530078100040555,1094,2,
C,C,True,0.5363521999679506,1328,2,
C,A,True,0.5588136999867857,1418,2,
C,B,True,0.4911479998845607,1188,2,
D,C,True,0.5637431999202818,1328,2,
B,C,True,0.5259769998956472,1105,2,
B,C,True,0.5351627001073211,1160,2,
D,D,True,0.564150599995628,1160,2,
D,C,True,0.5086441999301314,1208,2,
D,C,True,0.5536226998083293,1115,2,
A,C,True,0.5072247001808137,1029,2,
B,B,True,0.5588336999062449,1208,2,
B,A,True,0.5314527999144047,1190,2,
C,C,True,0.8364440998993814,1368,2,
D,C,True,0.5618902000132948,1397,2,
C,C,True,0.6418876000680029,1375,2,
C,B,True,0.7166484999470413,1329,2,
C,C,True,0.956225800095126,1214,2,
C,C,True,0.5630628000944853,1278,2,
B,C,True,0.6558450001757592,1345,2,
A,B,True,0.5731720998883247,1043,2,
A,C,True,0.6493301999289542,1123,2,
B,B,True,0.6018753999378532,1041,2,
B,C,True,0.9676010000985116,1343,2,
D,B,True,1.111176999984309,2555,2,
B,C,True,0.6830923999659717,1353,2,
A,C,True,0.7628316001500934,1296,2,
A,C,True,0.8054298001807183,1382,2,
C,C,True,0.5570187999401242,1381,2,
C,C,True,0.6729447999969125,1197,2,
D,C,True,1.3762126001529396,1290,2,
A,C,True,0.5557572001125664,1258,2,
B,C,True,0.634586300002411,1387,2,
A,C,True,0.6267584001179785,1216,2,
A,B,True,0.5813326998613775,1247,2,
B,C,True,0.5979753001593053,1129,2,
D,B,True,0.6078593998681754,1259,2,
C,C,True,0.6583827999420464,2168,2,
C,C,True,0.6296137000899762,1658,2,
B,C,True,0.5753641999326646,1208,2,
C,D,True,0.6084508998319507,1588,2,
B,C,True,0.5812109999824315,1677,2,
C,C,True,0.548242500051856,1208,2,
D,C,True,0.5676743998192251,1746,2,
A,C,True,0.6013363001402467,1206,2,
D,C,True,0.5347602001857013,1230,2,
C,C,True,0.5453032997902483,1574,2,
C,C,True,0.5465655000880361,1501,2,
C,B,True,0.6076279000844806,1139,2,
B,C,True,0.6881097999867052,1519,2,
C,C,True,0.5429960999172181,1106,2,
