answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
B,B,True,2.7452042999793775,1147,76,66
C,C,True,3.5031844000332057,1277,93,83
A,D,True,4.235537400003523,1135,128,118
C,C,True,4.791622999997344,1348,151,141
D,D,True,12.386678499984555,1517,464,454
A,A,True,3.6489703999832273,1316,119,109
D,B,True,12.270407299976796,1439,467,457
A,A,True,38.71834839996882,2681,1714,1704
C,D,True,10.077267199987546,1474,447,437
B,B,True,9.645122700021602,1219,331,321
C,B,True,4.944962600013241,1324,181,171
C,C,True,4.06158310000319,1200,115,105
C,C,True,4.439550799957942,1260,150,140
D,D,True,7.123000100022182,1327,296,286
C,C,True,4.7445602000225335,1279,143,133
C,C,True,3.2742288999725133,1111,103,93
B,B,True,2.6544433999806643,1275,63,53
D,C,True,6.026467599964235,1249,217,207
B,A,True,5.282864100008737,1148,145,135
D,B,True,4.741462000005413,1495,197,187
B,D,True,5.954105899960268,1277,221,211
A,A,True,8.689690100029111,1695,283,273
C,A,True,7.388781799993012,1215,346,336
C,C,True,8.347355599980801,1420,335,325
D,A,True,5.2325688999844715,1198,192,182
D,D,True,2.4987413000199012,1167,73,63
A,C,True,3.127593800018076,1219,103,93
C,C,True,3.71439029998146,1314,87,77
A,A,True,3.521485900040716,975,100,90
A,D,True,3.103321800008416,1108,94,84
C,B,True,5.920604799990542,1597,205,195
C,D,True,4.704408299992792,1231,151,141
D,D,True,3.4474053000449203,1221,114,104
C,B,True,5.756271199963521,1195,191,181
B,C,True,16.364284900017083,1634,604,594
C,C,True,4.909381000034045,1204,219,209
B,B,True,7.429617800051346,1151,289,279
D,D,True,2.168207100010477,952,66,56
B,A,True,5.846521400031634,1279,240,230
D,D,True,4.704283600032795,1110,173,163
A,C,True,4.7580037000007,1224,151,141
C,C,True,3.146005699993111,1087,101,91
B,B,True,5.789138399995863,1316,237,227
D,D,True,3.3967524000327103,1104,111,101
C,C,True,6.751028599974234,1216,179,169
A,B,True,8.82456869998714,1376,293,283
C,D,True,10.945944799983408,1270,339,329
C,C,True,4.284835900005419,1275,144,134
C,C,True,2.7844895999878645,1109,86,76
A,A,True,3.634712200029753,1403,99,89
C,B,True,4.778765200055204,1265,142,132
D,D,True,4.226743199978955,1182,136,126
B,B,True,2.7699274999904446,1228,75,65
B,A,True,3.3110637000063434,1191,114,104
B,B,True,3.6446569999679923,1139,94,84
A,A,True,10.44358610000927,1488,446,436
B,B,True,7.193306899978779,1234,221,211
B,C,True,7.430963099992368,1345,252,242
C,C,True,5.964578100014478,1404,207,197
A,B,True,6.8280633999966085,1212,255,245
C,D,True,5.41964779997943,1343,192,182
C,D,True,2.7569741000188515,1317,69,59
C,C,True,4.908606400014833,1230,194,184
D,D,True,6.091406300023664,1377,219,209
B,A,True,14.565041700028814,1534,570,560
B,B,True,8.572762899973895,1265,251,241
D,D,True,4.97319950000383,1152,135,125
D,D,True,3.151602099998854,1164,112,102
D,A,True,4.505396699998528,1111,135,125
A,A,True,2.107745299988892,942,51,41
B,C,True,7.71586810000008,1316,270,260
B,D,True,3.6696333999861963,1115,85,75
C,D,True,3.0811898999963887,1281,83,73
D,D,True,5.637628600001335,1398,159,149
C,C,True,4.815525599988177,1377,155,145
C,D,True,3.608639599988237,1267,109,99
C,A,True,6.18281470000511,1263,206,196
C,C,True,3.0232721000211313,1197,92,82
B,C,True,8.202710999990813,1486,291,281
A,A,True,5.441505399998277,1096,186,176
A,B,True,2.726509200001601,1077,90,80
B,C,True,4.563639600004535,1071,166,156
B,B,True,2.5405101000214927,1254,79,69
D,B,True,5.610628099995665,2303,152,142
B,C,True,10.919982699968386,1578,391,381
A,B,True,3.478943399968557,1246,120,110
A,A,True,3.1961765000014566,1315,100,90
C,C,True,3.3751650000340305,1318,101,91
C,C,True,2.5172632000176236,1109,67,57
D,D,True,5.841433800000232,1261,126,116
A,A,True,3.207490000000689,1190,97,87
B,B,True,2.559446899977047,1289,83,73
A,D,True,2.559706100029871,1135,73,63
A,C,True,13.709405000030529,1601,501,491
B,B,True,3.7568967000115663,1104,124,114
D,C,True,8.347857899963856,1396,310,300
C,D,True,5.8917562999995425,2142,205,195
C,B,True,5.965305500023533,1683,242,232
B,B,True,2.6231214000144973,1130,78,68
C,B,True,8.611058700014837,1660,295,285
B,D,True,6.6044571999809705,1697,209,199
C,C,True,11.147375900007319,1428,369,359
D,D,True,3.7305452000000514,1639,92,82
A,A,True,4.595920399995521,1181,124,114
D,A,True,3.523907999973744,1201,130,120
C,B,True,7.122350699966773,1624,263,253
C,C,True,4.253129200020339,1450,131,121
C,C,True,4.235945000022184,1162,167,157
B,B,True,4.133327300020028,1483,139,129
C,B,True,4.453051399963442,1107,145,135
