answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,2.2409279999992577,2097,2,0
B,B,True,1.0099546999990707,2189,2,0
A,B,True,0.5422871000046143,2031,2,0
A,B,True,0.5459023000003072,2029,2,0
A,B,True,1.0631472999957623,2220,2,0
C,B,True,0.48483720001240727,2107,2,0
C,B,True,1.1164158000028692,2325,2,0
A,B,True,1.0562919000076363,2058,2,0
A,A,True,0.9974434000032488,2260,2,0
B,B,True,1.0440927000017837,2047,2,0
C,D,True,0.5242058000003453,2208,2,0
A,B,True,0.5273188999999547,2213,2,0
A,B,True,0.53358199998911,2222,2,0
B,B,True,1.0357133000070462,2283,2,0
C,B,True,0.5381168000021717,2212,2,0
B,B,True,0.5102676000096835,2164,2,0
D,B,True,0.5331203999958234,2212,2,0
C,B,True,0.9936582999944221,2430,2,0
A,A,True,0.5282246000133455,2113,2,0
A,B,True,0.457231899999897,2094,2,0
C,A,True,0.5212609000009252,2053,2,0
D,B,True,0.5065150000009453,2106,2,0
C,B,True,0.498612299998058,2221,2,0
D,B,True,1.0082953999954043,2141,2,0
D,D,True,0.5425493999937316,2082,2,0
C,B,True,0.6882299999997485,2079,2,0
C,B,True,0.495134800003143,2216,2,0
A,B,True,0.45964590000221506,2234,2,0
C,B,True,0.4952734000107739,2170,2,0
B,B,True,0.511075600006734,2402,2,0
A,D,True,0.5258079000050202,2307,2,0
D,B,True,1.0081959999952232,2315,2,0
B,B,True,0.5152515999943716,2178,2,0
C,B,True,0.5022080000053393,2139,2,0
C,B,True,0.47190499999851454,2221,2,0
D,B,True,0.9848647000035271,2173,2,0
B,C,True,1.0216346999950474,2381,2,0
C,B,True,0.4841102999926079,2368,2,0
B,B,True,0.6351619999913964,2316,2,0
D,B,True,0.5036918999976479,2303,2,0
C,B,True,0.8060865000006743,2271,2,0
D,B,True,0.56602820000262,2623,2,0
A,C,True,0.4849677000020165,2087,2,0
D,B,True,0.5502845000009984,2154,2,0
C,B,True,0.8473270000104094,2110,2,0
B,B,True,0.4848887999978615,2227,2,0
A,B,True,0.4793296999996528,2265,2,0
A,C,True,0.5007412999984808,2067,2,0
B,B,True,0.511658699993859,2167,2,0
B,B,True,0.5429457999998704,2468,2,0
C,B,True,0.556391199992504,2350,2,0
A,B,True,0.547489399992628,2469,2,0
C,B,True,0.5269885000016075,2258,2,0
A,B,True,0.5450343999982579,2379,2,0
B,B,True,0.5718233000079636,2458,2,0
B,D,True,0.49660850000509527,2179,2,0
C,B,True,0.5668608999985736,2187,2,0
D,B,True,0.5214626000088174,2379,2,0
A,B,True,0.5414561000070535,2314,2,0
A,B,True,0.5241291000129422,2500,2,0
C,B,True,1.0409319999889703,2525,2,0
D,B,True,0.6760560000111582,2622,2,0
C,B,True,0.5325693999911891,2301,2,0
B,B,True,0.5341991000022972,2470,2,0
D,B,True,0.5120764000021154,2303,2,0
C,B,True,0.5344598000083352,2313,2,0
A,B,True,0.5369484999973793,2355,2,0
C,B,True,0.5517504999879748,2448,2,0
A,B,True,0.5115371000138111,2711,2,0
C,B,True,0.5719964999880176,2473,2,0
D,B,True,0.5260348000010708,2728,2,0
D,B,True,0.6702640000003157,2490,2,0
D,B,True,0.579514900004142,2687,2,0
A,B,True,0.5661054999945918,2255,2,0
D,B,True,0.4947378000069875,2550,2,0
C,D,True,0.5190757000091253,2944,2,0
D,B,True,0.4981839999963995,2507,2,0
D,B,True,0.5112367999972776,2517,2,0
B,B,True,0.531728000001749,2364,2,0
A,B,True,0.5023904000117909,2220,2,0
D,B,True,0.5021095000120113,2251,2,0
C,B,True,0.8077134000050137,2352,2,0
A,B,True,0.5258876000007149,2338,2,0
A,B,True,0.4926402999990387,2178,2,0
A,A,True,0.5614748000079999,2854,2,0
A,B,True,0.4883973999967566,2205,2,0
D,B,True,0.50444650001009,2361,2,0
D,B,True,0.4942526000086218,2472,2,0
B,B,True,0.5007409999961965,2528,2,0
B,B,True,0.5536677999916719,2337,2,0
A,B,True,0.6297294999967562,2405,2,0
D,B,True,0.6658798999997089,2317,2,0
B,B,True,0.5365955000015674,2523,2,0
C,B,True,0.5336296999885235,2363,2,0
A,B,True,0.5475127000099747,2621,2,0
C,B,True,0.5105023000069195,2368,2,0
D,B,True,0.5361468000046443,2432,2,0
D,B,True,0.520848100000876,2336,2,0
D,B,True,0.6451749999978347,2562,2,0
C,B,True,0.5410021999996388,2550,2,0
C,B,True,0.7276339999953052,2594,2,0
B,B,True,0.5728606999909971,2382,2,0
A,B,True,0.5082167000073241,2359,2,0
D,B,True,0.49559560000489,2154,2,0
A,B,True,0.49811130001035053,2178,2,0
D,D,True,0.5384954000037396,2300,2,0
