answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,D,True,31.60868570000457,3508,1674,1664
B,B,True,22.420666399993934,2752,842,832
A,A,True,6.650085599991144,2225,458,448
A,A,True,8.662430700002005,2228,458,448
A,C,True,11.759744499999215,2839,906,896
C,C,True,16.492918500007363,2551,714,704
C,C,True,18.4582831000007,2860,842,832
A,A,True,7.966261200010194,2124,330,320
A,A,True,16.95754190000298,2940,970,960
B,B,True,8.368448799999896,2180,394,384
C,D,True,17.734639000002062,2831,906,896
A,B,True,9.971512299991446,2268,330,320
A,A,True,8.215853799993056,2268,330,320
B,B,True,17.671301800000947,2825,842,832
C,D,True,11.197836499995901,2647,714,704
B,B,True,4.764566099998774,2086,202,192
D,D,True,6.440610099991318,2252,330,320
C,C,True,13.394981600009487,2900,778,768
A,A,True,8.779652199998964,2428,586,576
A,A,True,12.831323499995051,2798,970,960
C,C,True,5.570835899998201,2116,330,320
D,B,True,10.942728299996816,2231,394,384
C,C,True,16.807258699991507,2589,650,640
D,D,True,29.426147900012438,2837,970,960
D,D,True,6.994617100004689,2146,330,320
C,A,True,10.97923680000531,2336,522,512
C,C,True,10.993534699999145,2437,522,512
A,A,True,20.161536700004945,2787,842,832
C,C,True,20.577573999995366,2544,650,640
B,D,True,22.278759900000296,2952,842,832
A,A,True,7.176116700007697,2403,394,384
D,A,True,64.43363530001079,4716,2698,2688
B,B,True,18.637239600007888,3191,1290,1280
C,C,True,8.950177399994573,2325,458,448
C,C,True,10.487986799998907,2526,586,576
D,D,True,7.821422699998948,2417,522,512
B,D,True,24.50776809999661,4017,1930,1920
C,A,True,18.890639200006262,2975,906,896
B,B,True,7.012670800002525,2413,394,384
D,D,True,8.988305599996238,2594,586,576
C,C,True,17.214267600007588,2882,906,896
D,D,True,6.882469899996067,2736,458,448
A,A,True,7.86678799999936,2212,394,384
D,B,True,20.11225479999848,2852,970,960
C,B,True,29.82901060000586,3195,1354,1344
B,B,True,20.405786399991484,2784,842,832
A,A,True,22.51444930001162,3184,1226,1216
A,D,True,30.97591100000136,3282,1482,1472
B,B,True,12.312494599987986,2928,1034,1024
B,D,True,10.92474790000415,2865,714,704
C,C,True,19.186726699990686,2892,842,832
A,B,True,22.810335200003465,3391,1226,1216
C,C,True,35.48965570000291,2931,970,960
A,A,True,37.40602379999473,3422,1354,1344
B,B,True,12.623302799998783,2612,458,448
B,A,True,13.137285299992072,2419,522,512
C,C,True,14.486727399998927,2618,714,704
D,D,True,18.104493600010755,2785,714,704
A,A,True,21.219465100002708,3118,1098,1088
A,A,True,25.852597099990817,3107,906,896
C,C,True,13.822805700008757,2669,458,448
D,A,True,29.180984100006754,3453,1162,1152
C,C,True,16.789453500008676,3030,1034,1024
B,B,True,11.094653799998923,2824,650,640
D,D,True,15.796042000001762,2841,842,832
C,B,True,21.17395119999128,2861,842,832
A,B,True,11.283855999994557,2752,714,704
C,C,True,21.583692600004724,3240,1099,1088
A,A,True,39.60970329999691,4932,2570,2560
C,C,True,18.745160999998916,3247,1098,1088
D,C,True,70.89483440000913,4757,2378,2368
D,D,True,25.673233000008622,3600,1418,1408
D,B,True,36.32463659999485,3527,1162,1152
A,B,True,24.1295325000101,2871,906,896
D,B,True,35.9831140999886,3774,1546,1536
C,B,True,27.852074399997946,3543,1034,1024
D,D,True,23.359370799997123,2965,778,768
D,D,True,39.650320699991425,3886,1674,1664
B,A,True,16.93326609999349,3151,1098,1088
A,C,True,19.303411499990034,2848,906,896
D,D,True,21.892612600000575,3373,1418,1408
C,C,True,15.885190800006967,2889,842,832
A,B,True,25.170094400004018,3146,1098,1088
A,A,True,23.60701850001351,2666,778,768
A,A,True,25.83824349999486,4442,1930,1920
A,D,True,17.527377499995055,2763,842,832
D,D,True,16.156203599995933,2963,906,896
D,C,True,52.40242980000039,5296,3146,3136
B,D,True,49.02353370000492,4906,2698,2688
B,C,True,12.352445199998328,3011,970,960
A,D,True,38.25134760000219,3843,1738,1728
D,D,True,23.891254599991953,3056,1034,1024
B,B,True,11.24834330000158,3047,842,832
C,C,True,34.62376190000214,4374,2314,2304
A,A,True,15.82859720000124,2865,587,576
C,C,True,19.210425500001293,3162,1098,1088
D,C,True,23.45318070000212,3281,1162,1152
D,D,True,10.744039400000474,2622,586,576
D,D,True,26.80791269999463,3394,1162,1152
C,C,True,17.836353100006818,3197,970,960
C,B,True,16.531173800001852,3240,970,960
B,B,True,13.251273899993976,2668,586,576
A,D,True,24.64462160000403,3680,1610,1600
D,B,True,23.161739600007422,3170,1290,1280
A,C,True,9.915250399993965,2296,394,384
D,B,True,18.324295300000813,2986,970,960
