answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,B,True,5.703482500000973,2301,467,448
B,A,True,3.605605699995067,2185,275,256
A,C,True,4.561496999987867,2170,403,384
A,A,True,3.227258200000506,2045,275,256
A,C,True,9.117265600012615,2976,1043,1024
C,D,True,5.280226200004108,2304,467,448
C,B,True,5.873111900000367,2549,531,512
A,A,True,4.918327999999747,2133,339,320
A,A,True,5.372784699997283,2501,531,512
B,B,True,3.3202038000017637,2061,275,256
C,D,True,5.3445417000039015,2392,467,448
A,A,True,4.794020100001944,2341,403,384
A,A,True,4.552390600001672,2469,531,512
B,B,True,11.47689539998828,3090,1107,1088
C,D,True,4.813329200012959,2272,339,320
B,B,True,7.387265700002899,2607,723,704
D,A,True,5.994771600002423,2453,531,512
C,C,True,10.315022700000554,3165,1043,1024
A,B,True,5.732168799993815,2309,467,448
A,C,True,9.138855200013495,2679,851,832
C,C,True,3.5004011999990325,2061,275,256
D,D,True,10.094270899993717,2944,1107,1088
C,C,True,5.6781442000065,2470,531,512
D,D,True,4.286696600000141,2206,339,320
D,D,True,6.6874556000111625,2475,659,640
C,C,True,7.970425699997577,2729,915,896
C,C,True,4.340042600000743,2318,403,384
A,A,True,7.1679941000038525,2540,595,576
C,C,True,3.6669844999996712,2233,339,320
B,D,True,7.608520599998883,3025,915,896
A,D,True,18.164801399994758,4268,2259,2240
D,"A,D",True,4.5845550000085495,2486,468,448
B,B,True,5.339121400000295,2432,531,512
C,C,True,12.101523000004818,2206,339,320
C,C,True,4.687509399998817,2407,467,448
D,C,True,6.921236499998486,2682,787,768
B,C,True,8.648836499996833,3066,979,960
C,A,True,12.258121200007736,3432,1363,1344
B,B,True,9.737137600008282,2998,979,960
D,A,True,7.869109399995068,2603,595,576
C,C,True,6.220599299995229,2635,659,640
D,D,True,6.426589499998954,2809,531,512
A,A,True,5.8100803999986965,2349,531,512
D,D,True,6.260094199999003,2413,531,512
C,D,True,4.4763354000024265,2244,403,384
B,A,True,11.652984300002572,3241,1299,1280
A,A,True,6.329273099996499,2617,659,640
A,B,True,3.3236076000030152,2075,275,256
B,B,True,4.453695899996092,2233,339,320
B,B,True,7.10487799999828,2874,723,704
C,D,True,9.366449599998305,3157,1107,1088
A,A,True,3.661014900004375,2440,275,256
C,D,True,3.032372600006056,2236,275,256
A,B,True,10.48297040000034,3175,1107,1088
B,B,True,12.50387580000097,3645,1491,1472
B,A,True,3.338092499994673,2172,275,256
C,C,True,4.680662500002654,2371,467,448
D,D,True,8.077434499995434,2666,595,576
A,A,True,7.85229700000491,2871,851,832
A,D,True,32.260391699994216,5484,3283,3264
C,C,True,12.230998600003659,3382,1171,1152
D,D,True,5.157795099992654,2758,467,448
C,C,True,9.84754069999326,2783,787,768
B,B,True,9.361010499997064,3025,851,832
D,D,True,8.884286600004998,2978,979,960
C,C,True,8.266842500001076,2934,915,896
A,D,True,8.362254399995436,2953,915,896
C,C,True,10.931377100001555,3056,915,896
A,D,True,9.646428399995784,3213,851,832
C,C,True,9.529746600004728,3128,979,960
D,C,True,10.68911210000806,3550,1171,1152
D,B,True,9.594060000003083,3161,979,960
D,B,True,9.986378100002185,3280,915,896
A,B,True,7.670308200002182,2496,531,512
D,B,True,7.102018699995824,2951,723,704
C,B,True,5.950175000005402,3040,531,512
D,D,True,7.278758100001141,2782,595,576
D,C,True,5.802046800003154,2679,467,448
B,A,True,4.342459999999846,2392,339,320
A,A,True,12.158671500001219,2921,979,960
D,D,True,24.919271699996898,4342,2387,2368
C,C,True,7.399037299997872,2706,659,640
A,B,True,7.732469599999604,2707,659,640
A,A,True,8.676133200002369,2611,723,704
A,A,True,6.376337299996521,3043,531,512
A,C,True,6.087205600008019,2388,467,448
D,D,True,5.888059500008239,2524,467,448
D,D,True,11.223506200010888,3385,1235,1216
B,D,True,14.220983599996543,3827,1619,1600
B,C,True,12.933357599991723,3276,1235,1216
A,C,True,4.819483500003116,2636,531,512
D,D,True,7.123631499998737,2873,851,832
B,B,True,3.334328099997947,2544,339,320
C,C,True,6.345728999993298,2783,723,704
A,A,True,10.076330799987772,3385,1107,1088
C,B,True,12.647907199992915,3491,1427,1408
D,A,True,8.723327600004268,3098,979,960
D,D,True,4.571969099997659,2439,403,384
D,C,True,5.6893387000018265,2635,403,384
C,D,True,17.636235799989663,4295,2068,2048
C,C,True,4.100219600004493,2673,403,384
B,D,True,3.2030171000078553,2357,275,256
A,D,True,7.955907199997455,2857,787,768
D,A,True,5.711999799998011,2411,531,512
A,C,True,4.512030600002618,2369,467,448
D,D,True,11.323553599999286,3315,1299,1280
