answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
D,A,True,16.071229199995287,2735,503,592
B,A,True,11.953384000007645,2954,625,791
A,C,True,13.703495499998098,3249,1090,1352
A,B,True,13.149929700011853,2614,452,489
A,C,True,24.59310660000483,3205,847,978
C,D,True,2.5095595000020694,2772,530,608
C,B,True,3.0917583999980707,2948,467,638
A,A,True,1.950486700006877,2716,520,614
A,B,True,7.918499099992914,2754,352,457
B,B,True,9.860584999987623,2640,459,567
C,B,True,7.440781299999799,2805,449,586
A,B,True,9.99539760001062,2791,434,431
A,B,True,14.429122000001371,2828,466,638
B,B,True,12.144936900003813,3203,773,994
C,D,True,6.595293800011859,2786,430,537
B,D,True,7.705348499992397,2753,451,608
D,A,True,6.701421399993706,2765,412,555
C,A,True,5.881270800004131,2953,366,486
A,B,True,5.620578599991859,2636,376,440
A,A,True,10.604867199988803,2581,356,513
C,C,True,7.867116400011582,2526,348,417
D,A,True,7.023906200003694,2869,627,760
C,C,True,14.007961800001794,2881,511,707
D,D,True,7.931146700007957,2541,265,344
D,C,True,15.605915899999673,2695,477,632
C,A,True,8.553410200009239,2510,299,402
C,B,True,11.758561099995859,2802,448,576
A,D,True,9.659075300005497,2816,424,534
C,A,True,6.508182899997337,2690,375,535
B,B,True,15.365080899995519,3105,539,735
A,A,True,5.16499209999165,2724,271,407
D,C,True,10.0184023000038,2820,343,458
B,C,True,99.61008610000135,3041,720,871
C,A,True,18.361253700000816,2940,673,804
C,B,True,16.09779250000429,2975,594,591
D,C,True,21.145675200008554,2850,531,683
B,B,True,5.761180100002093,2861,314,411
C,B,True,28.953957899997476,3020,487,668
B,B,True,7.136514400001033,2911,430,570
D,B,True,13.80874500000209,2908,460,570
C,C,True,18.08637680001266,3108,690,874
D,B,True,19.43703600000299,3183,425,535
A,C,True,13.913524899995537,2759,531,743
D,B,True,8.259482000008575,2829,529,635
C,D,True,21.3691414000059,2758,509,613
B,D,True,9.798083700006828,2778,404,401
A,B,True,20.089206599994213,2768,356,472
A,A,True,46.08270950001315,3726,1528,1642
B,C,True,10.378475200006505,2767,449,580
B,D,True,13.262578900001245,3019,393,529
C,B,True,2.091425299993716,2939,452,627
A,D,True,21.785141000000294,3201,559,556
C,B,True,53.52191820000007,2868,476,640
A,B,True,33.1435652999935,2932,391,515
B,D,True,2.299137099995278,3006,377,494
B,D,True,7.788748099992517,2837,523,567
C,C,True,56.822365900006844,2831,504,690
D,B,True,7.038108799999463,2990,459,645
A,A,True,58.5227709000028,3144,690,923
A,D,True,14.811687199995504,3225,536,533
C,A,True,9.653421000009985,3110,399,578
D,D,True,9.609983999995166,3232,436,573
C,C,True,9.41976699999941,2818,375,510
B,A,True,11.414449799995054,3126,496,493
D,B,True,17.300600799993845,3209,759,1021
C,B,True,12.176076699994155,2982,519,681
A,C,True,5.1963800999947125,2896,388,507
C,A,True,23.379941999999573,2906,289,388
A,A,True,21.566501300010714,3492,610,799
C,D,True,44.26093319999927,3250,605,803
D,D,True,16.690798199997516,3235,339,470
D,A,True,19.970240300011938,3216,567,726
D,B,True,9.863118699999177,3225,353,441
A,B,True,8.3562188000069,3076,674,894
D,B,True,25.945786700001918,3897,1176,1173
C,B,True,22.83776249999937,3514,456,621
D,B,True,37.31877510000777,3896,1221,1675
D,B,True,15.62372509999841,3147,462,617
B,D,True,7.279867899997043,3070,547,742
A,C,True,11.884053999994649,2737,374,486
D,B,True,15.016053200000897,2768,374,552
C,A,True,12.581600100005744,3045,541,640
A,B,True,15.642801699999836,2991,498,664
A,C,True,11.764955200007535,2829,499,604
A,A,True,8.703885199996876,3286,247,336
A,B,True,11.323363699993934,2779,434,431
D,A,True,7.2855126000067685,2989,469,603
D,A,True,14.289156900005764,3161,516,674
B,C,True,33.907845300011104,3167,453,605
B,A,True,20.47271709999768,3379,884,881
A,C,True,13.156416799989529,3028,468,601
D,B,True,11.40419980000297,3062,587,729
B,B,True,13.503837000011117,3154,463,596
C,C,True,13.003345099990838,2981,456,621
A,B,True,17.052955699997256,3280,480,654
C,D,True,24.922518699997454,2859,338,412
D,B,True,9.420484699992812,2949,364,487
D,B,True,30.23017370000889,2794,305,402
D,A,True,9.374407299997984,3083,366,460
C,A,True,33.04598980001174,4154,1438,1983
C,C,True,10.811371400006465,3251,502,689
B,C,True,32.074871499993606,2923,394,493
A,C,True,6.610242500013555,2972,454,612
D,B,True,24.396825000003446,2976,678,690
A,C,True,15.145984300004784,2798,478,572
D,B,True,15.607794800002011,2873,426,423
