answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,3.15743140000086,1207,4,0
D,D,True,2.728981099999146,1273,4,0
C,C,True,3.7396945000000414,1458,4,0
B,B,True,2.5162808999994013,1182,4,0
A,C,True,2.5669307000007393,1470,4,0
B,B,True,4.1684418999993795,1200,4,0
D,B,True,3.327447100000427,1371,4,0
C,D,True,2.7327975000007427,1361,4,0
A,B,True,2.3737474999998085,1321,4,0
C,C,True,3.7647007999985362,1239,4,0
A,C,True,3.310092199999417,1275,4,0
B,D,True,2.454595100000006,1278,4,0
B,B,True,2.691209800001161,1527,4,0
C,B,True,2.580481700000746,1157,4,0
D,D,True,3.7092104999992443,1313,4,0
D,D,True,2.8089033999985986,1215,4,0
B,B,True,3.4522078999998485,1435,4,0
B,B,True,2.3297440000005736,1326,4,0
D,B,True,2.4907022999996116,1194,4,0
B,A,True,3.006244300000617,1169,4,0
C,B,True,2.7772397000007913,1485,4,0
C,B,True,2.9578144999995857,1450,4,0
D,C,True,2.496000600000116,1277,4,0
C,C,True,3.0969786000005115,1677,4,0
C,C,True,3.3378592999997636,1325,4,0
D,B,True,2.5114544999996724,1364,4,0
B,C,True,3.1577727000003506,1282,4,0
D,D,True,2.7838460999992094,1421,4,0
C,C,True,2.696844100000817,1603,4,0
D,D,True,3.1092639999988023,1377,4,0
C,B,True,3.5681079999994836,1525,4,0
B,C,True,4.060357499998645,1398,4,0
D,D,True,14.517704500000036,1683,4,0
C,C,True,2.333643799998754,1555,4,0
C,B,True,2.5341638999998395,1325,4,0
D,B,True,2.540531999999075,1586,4,0
C,B,True,3.707947500000955,1868,4,0
C,C,True,3.1487550000001647,1372,4,0
D,B,True,2.380591299999651,1355,4,0
C,C,True,2.786233299999367,1680,4,0
