answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,1.672649600001023,1070,1,
D,B,True,1.1796630000008008,1128,1,
C,C,True,1.3261193000016647,1285,1,
B,B,True,1.1660924000007071,1048,1,
A,C,True,1.3192267999984324,1299,1,
B,D,True,1.4108439999999973,1060,1,
D,B,True,1.3969034999990981,1208,1,
C,C,True,1.0330305999996199,1209,1,
A,A,True,1.1353254999994533,1168,1,
C,B,True,1.214116399998602,1091,1,
A,A,True,1.3534318000001804,1132,1,
B,C,True,1.4595539000001736,1137,1,
B,B,True,1.4069168999994872,1354,1,
C,D,True,1.2875423000004957,1018,1,
D,B,True,1.307331099998919,1171,1,
D,D,True,1.342418700000053,1082,1,
B,B,True,1.2428471999992325,1268,1,
B,B,True,1.262215999999171,1170,1,
D,A,True,1.0651906000002782,1055,1,
B,A,True,1.0864560999998503,1032,1,
C,C,True,1.2083714999989752,1311,1,
C,A,True,1.3658704999998008,1281,1,
D,C,True,1.2231614000011177,1130,1,
C,C,True,1.2226439000005485,1482,1,
C,C,True,1.438734100000147,1173,1,
D,C,True,1.2241475999999238,1208,1,
B,C,True,1.1716271999994206,1136,1,
D,C,True,1.3196348000001308,1254,1,
C,C,True,1.2154411999999866,1407,1,
D,D,True,1.2988490000007005,1214,1,
C,C,True,1.2177715999987413,1345,1,
B,C,True,1.2223457000000053,1237,1,
D,D,True,1.41898940000101,1485,1,
C,C,True,1.163874299998497,1380,1,
C,C,True,1.4210358999989694,1145,1,
D,B,True,1.3575347000005422,1427,1,
C,C,True,1.1940809000006993,1618,1,
C,C,True,1.354174799998873,1212,1,
D,B,True,1.4039810000012949,1200,1,
C,C,True,1.31640569999945,1475,1,
