answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,4.725142499999492,1830,1,764
D,D,True,3.7456483999994816,1726,1,648
C,C,True,6.279659899999388,2419,1,1135
B,B,True,3.2892676000046777,1597,1,545
A,C,True,5.151485800000955,2178,1,926
B,D,True,4.403835400000389,1756,1,686
D,B,True,4.906470800000534,2064,1,878
C,C,True,5.120699300001434,2157,1,948
A,D,True,4.205613500002073,1772,1,715
C,C,True,5.567002700001467,2030,1,943
A,A,True,4.85977709999861,1869,1,748
B,B,True,4.069833000001381,1884,1,750
B,B,True,4.794916300001205,1959,1,787
C,C,True,3.4705579000001308,1598,1,580
D,C,True,4.446507599997858,1899,1,758
D,D,True,3.582608699995035,1724,1,639
B,B,True,5.528006400003505,2224,1,976
B,C,True,4.960469899997406,2044,1,873
D,C,True,3.8000041999985115,1646,1,609
B,D,True,5.27320360000158,1920,1,882
C,B,True,5.852750400001241,2442,1,1131
C,D,True,3.5871858000027714,1668,1,611
D,C,True,4.6566399000003,1902,1,810
C,D,True,7.831154499996046,3014,1,1495
C,C,True,4.766945100003795,1977,1,811
D,D,True,5.531803400001081,2249,1,1043
B,B,True,5.3281271000014385,1999,1,864
D,D,True,5.344843399994716,2212,1,971
C,D,True,3.868198099997244,1668,1,611
D,C,True,6.522179100000358,2353,1,1109
C,C,True,5.359464299996034,2419,1,1081
B,C,True,7.371864000000642,2580,1,1340
D,D,True,7.055794299994886,2864,1,1314
C,C,True,9.984672499995213,3264,1,1915
C,B,True,5.440267099998891,2124,1,979
D,D,True,6.441991600004258,2616,1,1212
C,D,True,5.671500000004016,2349,1,1104
C,C,True,5.917679199999839,2171,1,971
D,D,True,4.092821199999889,1668,1,611
C,C,True,6.608378900004027,2790,1,1329
