answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,8.53465370000049,1916,1,850
D,D,True,10.141060599999037,2062,1,984
C,C,True,12.210613600000215,2575,1,1291
B,B,True,5.654371800002991,1566,1,514
A,C,True,11.007478500003344,2285,1,1033
B,D,True,9.05483539999841,1848,1,778
D,D,True,10.135577400003967,2019,1,833
C,D,True,15.631322300003376,2863,1,1654
A,A,True,9.33774309999717,1939,1,882
C,B,True,10.343801100003475,2128,1,1041
A,A,True,7.585105799997109,1737,1,616
B,B,True,13.860050800001773,2423,1,1289
B,B,True,10.580492900000536,2164,1,992
C,C,True,9.065851500003191,1910,1,892
D,D,True,12.942617600005178,2518,1,1377
D,D,True,8.759606400002667,1824,1,739
B,B,True,10.7222374999983,2220,1,972
B,A,True,31.972179800002777,4747,1,3576
D,C,True,12.98645309999847,2253,1,1216
B,A,True,9.948296899994602,1811,1,773
C,B,True,9.858054100004665,2239,1,928
C,A,True,8.749161300002015,1939,1,882
D,C,True,21.23650409999391,3341,1,2249
C,C,True,13.244150600003195,2865,1,1346
C,C,True,6.927775600001041,1842,1,676
D,D,True,14.111416899999313,2825,1,1619
B,C,True,10.424509100004798,2201,1,1066
D,D,True,7.419957699996303,1985,1,744
C,A,True,9.433583999998518,1939,1,882
D,C,True,10.00270210000599,2258,1,1014
C,C,True,14.88878339999792,2767,1,1429
B,B,True,12.346428299999388,2388,1,1148
D,A,True,17.11378110000078,3289,1,1739
C,C,True,11.408243499994569,2465,1,1116
C,D,True,14.596372699998028,2498,1,1353
D,C,True,11.754546899996058,2635,1,1231
C,C,True,20.018530500005,3394,1,2149
C,C,True,10.937602400001197,2333,1,1133
D,A,True,10.550806700004614,2023,1,966
C,C,True,13.147048300001188,2756,1,1295
