answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,305.3622794000257,63983,1.0,62913
D,D,True,4.371954099973664,1667,1.0,589
C,C,True,5.400359899998875,2103,1.0,815
B,B,True,3.2908788999775425,1579,1.0,527
A,B,True,11.549430899991421,3097,1.0,1842
B,A,True,12.431913499982329,3085,1.0,2015
D,D,True,6.424946600018302,2080,1.0,893
C,D,True,8.904483100021025,2603,1.0,1389
A,A,True,52.91260919999331,9839,1.0,8782
C,B,True,304.693362799997,63998,,62912
A,A,True,3.7355276999878697,1679,1.0,555
B,B,True,4.300348999997368,1727,1.0,593
B,B,True,3.961734599986812,1727,1.0,550
C,C,True,3.9524376000044867,1586,1.0,568
D,D,True,11.645944499992765,3078,,1934
D,C,True,8.622730400005821,2323,1.0,1238
B,B,True,4.199964800005546,1965,1.0,713
B,C,True,6.429152199998498,2150,1.0,979
D,C,True,3.8226279000227805,1595,1.0,558
B,D,True,22.306614500004798,4803,,3766
C,B,True,4.842363500007195,2020,1.0,709
C,A,True,53.33549289999064,9839,1.0,8782
D,C,True,312.612690799986,64004,,62912
C,C,True,6.779288499994436,2563,1.0,1044
C,C,True,3.5458261000167113,1650,1.0,483
D,D,True,6.034442800009856,2228,1.0,1019
B,B,True,55.194101700006286,10583,1.0,9448
D,D,True,5.418443400005344,2081,1.0,840
C,A,True,53.58692050000536,9839,1.0,8782
D,C,True,4.6929212999821175,2038,1.0,794
C,A,True,6.1323689999990165,2334,1.0,996
B,B,True,14.415985400002683,3511,,2272
D,D,True,7.874436699989019,2722,1.0,1172
C,C,True,18.83405970002059,4621,1.0,3268
C,B,True,41.79578099999344,8125,,6976
D,D,True,4.06820599999628,2022,1.0,617
C,C,True,14.040680300007807,3446,1.0,2201
C,C,True,5.804827100015245,2123,,923
D,A,True,52.769248399999924,9839,1.0,8782
C,C,True,4.360095899988664,2065,1.0,604
