answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,59.26786409999477,5552,,4487
D,D,True,13.398806799959857,1888,1.0,810
C,C,True,9.727342400001362,1903,1.0,619
B,B,True,8.182168299972545,1567,1.0,515
A,A,True,41.757842599996366,4589,1.0,3337
B,D,True,39.962915800046176,4596,1.0,3526
D,A,True,54.79862100002356,5240,1.0,4054
C,C,True,56.945613600022625,5617,1.0,4408
A,A,True,7.022389999998268,1450,1.0,393
C,D,True,9.716716499999166,1446,1.0,359
A,A,True,8.076486799982376,1569,1.0,448
B,B,True,13.10155629995279,1985,,852
B,B,True,12.45974690001458,2067,1.0,895
C,C,True,11.611417400010396,1774,1.0,756
D,D,True,20.061268499994185,2492,1.0,1351
D,D,True,21.115144399984274,2636,1.0,1551
B,B,True,20.128573500027414,2799,1.0,1551
B,C,True,21.622515900002327,2629,1.0,1458
D,C,True,15.007759300002363,1960,1.0,923
B,C,True,20.492816899961326,2397,,1360
C,B,True,13.835005799948703,2139,1.0,828
C,A,True,7.228357499989215,1450,1.0,393
D,B,True,72.63082699995721,6909,1.0,5817
C,C,True,16.32522409997182,2543,1.0,1024
C,C,True,8.372242900019046,1686,1.0,520
D,D,True,49.85198899998795,5123,,3918
B,B,True,11.58318140002666,1932,1.0,797
D,D,True,9.974492500012275,1913,1.0,672
C,A,True,7.469637500005774,1450,1.0,393
D,C,True,16.48665910004638,2374,1.0,1130
C,C,True,21.304524399980437,2926,1.0,1588
B,C,True,85.92933179996908,7858,1.0,6618
D,D,True,14.368694900011178,2460,1.0,910
C,C,True,16.88424619997386,2447,1.0,1098
C,B,True,12.24793030001456,1955,1.0,810
D,C,True,14.131314199999906,2308,1.0,904
C,D,True,28.189677499991376,3314,1.0,2069
C,C,True,11.371180800022557,2046,1.0,846
D,A,True,7.4639295999659225,1450,1.0,393
C,C,True,10.189274800010026,2099,1.0,638
