answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,"
B",True,3.2457073999976274,1076,3,0
D,"
D",True,3.9035930999962147,1088,3,0
C,"
A",True,1.948442700006126,1294,3,0
B,"
B",True,1.9644391000038013,1062,3,0
A,"
C",True,0.7750569999989239,1262,3,0
B,"
D",True,1.1823339000038686,1080,3,0
D,"
A",True,1.8685961000010138,1196,3,0
C,"
C",True,0.719420599998557,1219,3,0
A,"
B",True,2.077878399999463,1067,3,0
C,"
A",True,0.7305726999984472,1097,3,0
A,"
B",True,2.84970869999961,1131,3,0
B,"
A",True,0.7909742000047117,1144,3,0
B,"
B",True,1.8451763999983086,1182,3,0
C,"
A",True,0.7936307000054512,1028,3,0
D,"
D",True,2.999053300001833,1151,3,0
D,"
B",True,0.7560995000021649,1095,3,0
B,"
B",True,0.6999715999991167,1258,3,0
B,"
D",True,1.821885100005602,1181,3,0
D,"
C",True,2.199338499995065,1047,3,0
B,"
A",True,0.6858511999962502,1048,3,0
C,"
B",True,1.52514119999978,1321,3,0
C,"
B",True,0.7857469000009587,1067,3,0
D,"
C",True,1.6033663999987766,1102,3,0
C,"
C",True,0.7104260999985854,1529,3,0
C,"
D",True,2.584477300006256,1176,3,0
D,"
C",True,0.8436740000033751,1216,3,0
B,"
C",True,1.749099299995578,1145,3,0
D,"
C",True,4.807014300000446,1251,3,0
C,"
B",True,3.6939480999935768,1067,3,0
D,"
C",True,5.650927100003173,1254,3,0
C,"
A",True,2.713444699998945,1348,3,0
B,"
C",True,4.510391800002253,1250,3,0
D,"
A",True,1.1409316000062972,1560,3,0
C,"
C",True,1.2075531000009505,1359,3,0
C,"
B",True,3.66856099999859,1155,3,0
D,"
C",True,2.018700499997067,1414,3,0
C,"
A",True,2.8302793000038946,1255,3,0
C,"
C",True,1.2059571999998298,1210,3,0
D,"
B",True,0.7900876999992761,1067,3,0
C,"
A",True,0.8107976999963284,1471,3,0
