answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,3.8032899999998335,1079,2,0
D,A,True,1.1533363999988069,1137,2,0
C,B,True,1.151048700001411,1294,2,0
B,C,True,1.2472405999997136,1057,2,0
A,C,True,0.639467599999989,1308,2,0
B,D,True,3.1676536000013584,1069,2,0
D,C,True,1.1457140000002255,1217,2,0
C,A,True,1.7650195999995049,1218,2,0
A,B,True,0.6348784000001615,1177,2,0
C,B,True,0.6622815999999148,1100,2,0
A,B,True,0.5611270999997942,1141,2,0
B,B,True,0.5467662000010023,1146,2,0
B,B,True,1.1509658000013587,1363,2,0
C,C,True,0.6254863000012847,1027,2,0
D,B,True,0.5622985999998491,1180,2,0
D,C,True,0.5951357000012649,1091,2,0
B,B,True,0.5634764999995241,1277,2,0
B,B,True,0.6102281000003131,1179,2,0
D,D,True,0.5632858999997552,1064,2,0
B,B,True,1.0921276999997644,1041,2,0
C,B,True,0.5870333000002574,1320,2,0
C,B,True,2.9777666999998473,1290,2,0
D,B,True,0.6254464000012376,1139,2,0
C,D,True,0.6856747000001633,1491,2,0
C,B,True,0.928240300001562,1182,2,0
D,B,True,0.612258600000132,1217,2,0
B,C,True,0.5781480000005104,1145,2,0
D,B,True,1.4300312000013946,1263,2,0
C,B,True,1.1308174000005238,1416,2,0
D,B,True,0.5829904999991413,1223,2,0
C,B,True,0.5754202999996778,1354,2,0
B,C,True,0.6542331000000559,1246,2,0
D,B,True,0.6486459000007017,1494,2,0
C,B,True,0.6730167999994592,1389,2,0
C,B,True,0.5399565999996412,1154,2,0
D,B,True,0.6196872999989864,1436,2,0
C,B,True,0.6230751000002783,1627,2,0
C,B,True,0.6125059000005422,1221,2,0
D,B,True,0.599645899999814,1209,2,0
C,A,True,0.5816549000010127,1484,2,0
