answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,22.794022800000675,2363,1419,1408
D,D,True,9.883677000005264,1546,586,576
C,C,True,10.570295299999998,1984,842,832
B,B,True,6.730031999999483,1319,394,384
A,C,True,27.76551749999635,2138,1034,1024
B,D,True,14.404599199995573,1660,715,704
D,B,True,38.86389909999707,3175,2123,2112
C,C,True,17.616465200000675,2038,970,960
A,A,True,24.537872799999604,1970,1034,1024
C,B,True,20.165690800000448,1994,1034,1024
A,A,True,10.84472509999614,1515,522,512
B,B,True,33.12749790000089,2866,1867,1856
B,B,True,12.29189690000203,1811,778,768
C,C,True,17.158415600002627,1813,906,896
D,D,True,13.896985999999742,1852,842,832
D,D,True,25.637848899998062,2000,1034,1024
B,B,True,23.220283899994683,2527,1418,1408
B,C,True,11.361290799999551,1810,778,768
D,C,True,14.898354600001767,1828,906,896
B,D,True,28.001888799997687,2916,1994,1984
C,B,True,15.047557099998812,1557,394,384
C,A,True,23.10450989999663,2354,1418,1408
D,D,True,18.557249700003013,2001,1034,1024
C,C,True,22.817391000004136,2794,1419,1408
C,A,True,20.552448499998718,2319,1290,1280
D,C,True,66.93931889999658,3504,2445,2432
B,B,True,46.447586199996294,2618,1610,1600
D,D,True,21.19385479999619,2130,1034,1024
C,D,True,31.715089800003625,2290,1354,1344
D,C,True,22.03413979999459,2199,1098,1088
C,C,True,37.37286170000152,2862,1674,1664
B,A,True,34.282630800000334,2769,1674,1664
D,D,True,25.335560599996825,2613,1226,1216
C,C,True,21.481770099999267,2284,1098,1088
C,B,True,15.336358599997766,1866,842,832
D,C,True,33.44353330000013,2960,1738,1728
C,C,True,17.493467000000237,1827,714,704
C,C,True,14.475844100001268,1843,778,768
D,A,True,58.057084200001555,4402,3466,3456
C,C,True,13.042474499998207,2278,970,960
