answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,A,True,11.069529200001853,1795,851,832
D,D,True,6.351971799995226,1557,597,576
C,C,True,7.254549899997073,1929,787,768
B,C,True,6.463630599995668,1520,595,576
A,B,True,9.4026984000011,2083,979,960
B,D,True,5.179136500002642,1348,403,384
D,B,True,8.937958299997263,1967,915,896
C,D,True,7.70104739999806,1727,659,640
A,D,True,11.312925700003689,2107,1171,1152
C,B,True,18.864249400001427,3220,2260,2240
A,A,True,4.002298300001712,1396,403,384
B,D,True,12.361845599996741,2554,1555,1536
B,B,True,5.156113199998799,1564,531,512
C,B,True,14.412914399996225,2846,1939,1920
D,D,True,7.283281399999396,1925,915,896
D,C,True,10.8493729000038,2329,1363,1344
B,B,True,13.610494999993534,2728,1619,1600
B,B,True,5.316843299995526,1563,531,512
D,C,True,7.270692600002803,1581,659,640
B,B,True,9.616184399994381,1902,980,960
C,B,True,7.904791599998134,2014,851,832
C,D,True,7.1693796000035945,1787,851,832
D,C,True,4.719951500002935,1498,531,512
C,C,True,8.106186000004527,2290,915,896
C,B,True,7.975311999995029,1944,915,896
D,B,True,7.6001419000022,1910,851,832
B,B,True,5.665409400004137,1411,403,384
D,C,True,7.09380339999916,1947,851,832
C,D,True,6.69716299999709,1723,787,768
D,C,True,5.917119700003241,1760,659,640
C,A,True,11.536837400002696,2744,1556,1536
B,C,True,5.144460999996227,1562,467,448
D,C,True,15.133752099995036,3262,1875,1856
C,C,True,17.37354509999568,3253,2067,2048
C,B,True,7.246305499997106,1875,851,832
D,B,True,6.088414199999534,1945,723,704
C,B,True,6.803383200000098,1900,787,768
C,C,True,4.422610199995688,1532,467,448
D,A,True,10.495699799997965,1979,1043,1024
C,C,True,8.342995200000587,2223,915,896
