answers,resps,success,Latency,TokensUsed,TokensUsedCompletion,TokensUsedReasoning
A,B,True,7.071109099997557,1625,501,535
D,B,True,15.850559899998188,1532,400,522
C,B,True,10.069796700001461,1764,411,453
B,A,True,8.530338399999891,1778,670,881
A,C,True,10.445400899996457,1685,368,501
B,D,True,22.40056669999467,1711,583,606
D,D,True,12.486617800001113,1940,694,784
C,B,True,11.517556400001922,1759,494,570
A,D,True,21.358599300001515,1687,570,567
C,B,True,8.072691100001975,1150,1,0
A,A,True,3.519285900001705,1402,225,281
B,D,True,8.657490300000063,1645,458,541
B,D,True,31.95440779999626,2521,1286,1284
C,D,True,12.012078300002031,1739,667,741
D,B,True,3.678296500002034,1204,1,0
D,C,True,8.3937259000013,1524,391,439
B,B,True,6.379442099998414,1658,337,452
B,D,True,2.2024480999971274,1233,1,0
D,C,True,6.67476020000322,1448,354,406
B,D,True,7.84657850000076,1498,407,449
C,B,True,12.5708958000032,2166,790,1018
C,B,True,5.649999300003401,1461,343,449
D,D,True,6.857713299999887,1559,409,520
C,B,True,8.50077830000373,2228,586,771
C,C,True,5.785143300003256,1598,377,468
D,C,True,12.789985600000364,1975,709,934
B,B,True,2.0748051999980817,1421,218,281
D,B,True,7.4854121999960626,1655,353,470
C,A,True,34.83458970000356,1652,534,558
D,C,True,9.8464640999955,1694,388,468
C,B,True,27.67473969999992,1905,490,652
B,C,True,22.94663440000295,1681,370,496
D,B,True,18.010705500004406,2193,531,715
C,C,True,12.896755800000392,2081,660,862
C,B,True,8.671212100001867,1664,448,617
D,B,True,12.50136940000084,2269,783,982
C,B,True,10.730860899995605,1581,261,325
C,A,True,3.894436800001131,1472,217,312
D,B,True,7.253918200003682,1567,450,582
C,C,True,21.298990999996022,2006,463,607
